c Random Network
p max  1000    8000
n         1  s
n      1000  t
a     319     107      24
a     817     198      57
a     274     565      66
a     291     175       3
a       6      10      42
a     140     457      49
a     986     314      48
a     135     374      99
a     134     178      55
a     418      52      72
a      15      83      13
a     694     998      40
a     847      56      49
a     261     145       5
a      42     448      83
a      59     124      65
a       7       8      29
a     453     234      62
a      10      21      42
a     684     573     100
a     392      97      17
a     910     837       8
a     159     269      83
a     925     696       4
a     429     378      25
a       4      16      94
a     119     354      45
a      17      57      23
a      67     192      56
a     252     340      63
a      15      24      51
a     953     599      39
a     150     326      16
a     437     984      58
a     119     140      52
a     120     242      20
a      44     387      25
a     119     713      92
a      22      25      43
a     385     561      15
a     462     460      46
a     817     156      47
a     230     410      11
a     754     253      97
a     564      79      39
a     996     244      58
a     384     395       5
a     196     922      80
a     696      52      99
a     686     151       1
a     554      38      75
a      46      65       1
a     942     693      66
a     318     719      83
a     685     511      13
a      21     122      49
a      86     743      38
a     210     635      57
a     445     852      26
a     819     408      91
a     384      36      24
a     578     455      68
a      10      53      36
a     351     520      74
a     695      65      82
a     614     339      77
a     334      11      38
a       3       5      69
a     365     960      20
a     176     662      31
a     126     795       7
a     110     332       7
a     947     180      64
a       6     122      91
a     599      96      63
a     158     203      32
a     860     477       6
a      70     595      46
a     473     466      25
a      94     228      23
a     414     200       1
a     367     412      49
a     832      49      35
a     251      47      97
a      60     550      77
a      18     101      73
a     503     902      31
a     121      19       8
a       3       9      16
a      31     420     100
a     718     362       5
a     348     825      64
a     286     639      98
a     184     600      59
a      80      84      54
a     181     406      80
a      72     135      96
a     798     111      19
a      86      23      41
a     286     476      84
a     101     141      88
a     998     781      37
a     503      41      61
a      66     260      56
a     950     532      30
a     715     761       1
a     736      82      33
a     852     899      96
a       2       7      84
a     291     732      73
a     188     443      50
a      37      45      81
a      96     376      33
a     654     740      55
a     384     471      12
a      52      64      44
a     213      45      42
a     226     876       4
a     483      55      43
a     258      22      36
a     653     258      45
a     513     224      58
a      41      75      25
a     140     252      77
a     234     364      49
a     762     289      61
a       4     612       3
a      89     629       8
a       2       1      72
a     681     306       9
a     509      92      46
a     524     260      58
a      32     146      87
a     601     249      43
a      32      73      40
a     887     766      58
a      20      55      15
a      21      40      63
a      50      13      31
a     118     180      23
a      11      25      48
a       8     312      12
a     305     690      29
a     464      79      72
a      58      72      39
a       2      16      12
a     447     258      20
a     499     915      29
a       4      79      98
a     306      96      80
a     394     971      62
a     476     481      65
a      28      30      85
a     237     243      84
a     323     989      92
a     192     223      41
a      50     693       4
a     625     502      45
a     522     866      28
a     112     487      66
a      45      57       1
a     803    1000      83
a     606     431     100
a     177     686      69
a       6      35      18
a     272     990      18
a      33      73      30
a     502     561      83
a      58     649      24
a     977     496      37
a     111     475      76
a     384     142      55
a      91     239      94
a      69     845      38
a     341     368       6
a     405      62      44
a     435     128      42
a     163       8      29
a      92     205      92
a     325     358      21
a     299      30      48
a       8       9      21
a     180      40      10
a     554     814     100
a     122     775      13
a     559     766      72
a     697     915      59
a     316     616      95
a       4      43       6
a     620     901      66
a      53     247      53
a     384      86      59
a      57      34      97
a     235     857      87
a      84      93      24
a      81     652      72
a     106      62      30
a     707     850      34
a      37     614      14
a     534     233      81
a     840     220      64
a     263     483      47
a     285     533      40
a      60     154      63
a      15      19      25
a     853     825      48
a      51      59      41
a     655     998     100
a      39     142      95
a     225     765      72
a     151     160      81
a     279     597      94
a     236     913      63
a       2     207      32
a     278     456      89
a     560     184      46
a      30     451      38
a     878     437      81
a      25     176      25
a      15      26      93
a     637     594      80
a      12      22      95
a       2     874      74
a     467      26      18
a     336     917      96
a     566      32      97
a     293     831      54
a       1     753      17
a     372     685       9
a     118     244      46
a     145     277      43
a     598     558      48
a     637     297      86
a     448     444      84
a     592      72      65
a       7      16      94
a     405     210      78
a      91     111      82
a     649     568      10
a      47      14      31
a     474     124      42
a      17     134      84
a     621     937     100
a     409     291      24
a      40     304      92
a     405      95      89
a     769     856      99
a     596     862      32
a     122     126      55
a     101     699      27
a     280      11      49
a       2      17       3
a      21     138      92
a     209     456      30
a     754     175      32
a      21     163      12
a     410     146      23
a     447     917      70
a     828     437      84
a     489     612      35
a     539     824       1
a     115     273      64
a       9     511      95
a       7      34       7
a     346      36      88
a     778     879       6
a     679      99      94
a      16      20      26
a     463      84       6
a       8      15      14
a     216     619      46
a     223      21      43
a     463     108      85
a      10      32      35
a     191     463      17
a     601     544      75
a     671     910      82
a      87      97     100
a     740     185      17
a      15      35      50
a     717     555      14
a     101     169      57
a     320     552      85
a     316     438       5
a      67     105      44
a     193     865      29
a     106     853      23
a      12      21      43
a     663     612      67
a      46      85      97
a     276     564      70
a     630     560      43
a     254     478      37
a     157     230      77
a     611     752      73
a       4      76      81
a     280     426      26
a     681     151      44
a      11      52      79
a     179      98       1
a     682     716      39
a     767     640      43
a     110     348      38
a     471     363      85
a     229     540      39
a     829     569      65
a     247     155      23
a     959     911       4
a      13      48      56
a      86     167      43
a     832     602      89
a       9      51      42
a     869     791      29
a     301     176      96
a     113     356      52
a     851      94      39
a     789     122      51
a     895     316      51
a      38     112      49
a     868     421      88
a     841     402      20
a     930     918      99
a     605      27      65
a     972     554     100
a     182     216      68
a     435     355      62
a     104     111      51
a     177     587      21
a     404      46      69
a     912     589      44
a      50     156      93
a      90     201      18
a      13      40      99
a      69     690      48
a     182     667      81
a     930     921       8
a      71     122      55
a     922     767      72
a      93     276       5
a     927     544      78
a     204     437       6
a      70      78      82
a     333     245      27
a     457     388       7
a     548     424       7
a     207      42      74
a     587     335      93
a     168     195      58
a     540     332      18
a      11     465       5
a      33     931      36
a       2       3      59
a     679     638      76
a     228     997      42
a     147     168      33
a      92     507     100
a      26      38      37
a       1      45      65
a     125      39      21
a     844     395      25
a     284     201      85
a     685      57      41
a    1000     169      66
a      12      30      59
a     805     939      23
a     180      41      21
a     238     250      70
a       1      19      73
a      22     139      77
a     162     725      24
a     466     219      56
a      54     197      29
a      20     187      89
a     105     931      71
a       4       7      48
a     639     142      91
a     551     573      43
a     285     809      31
a     284     473      15
a       1       8      23
a     603     983      22
a     833      68      80
a     388     559      84
a     127     187      15
a     895     207      56
a      48     102      80
a     426     938      99
a      47     195      53
a     761     916      88
a     207      87      92
a     252     714      71
a       6       7      23
a     379     568      43
a     113     141       2
a      79       4      85
a      15     708      36
a     883     150      73
a       3       1      11
a     218     424      75
a       4      37      22
a      35      55      34
a      64     422      44
a     181     425      17
a     123     233      54
a     490     154      91
a     905      45      54
a     641     384      82
a      14      73      76
a     360     159      92
a       5      13       2
a      60     624      70
a      94     106      84
a     718     679      40
a      61      66      61
a     826     273      52
a     226     392      24
a     606     360       8
a     166     215      29
a       3       2       2
a       6     303      54
a      56     411      10
a       5       1      60
a     886     525       9
a     644     374      71
a     709     795      84
a     601     189      20
a      14      44      66
a     153       6      77
a     295     354      11
a      37       3      54
a      11     550     100
a     938     751      20
a      11      36      22
a     312      45      99
a      62     241      90
a     329     362      75
a     953     881      63
a      24      87      87
a     611     621      92
a      39     913      19
a     828     665      56
a      18     107       9
a     147     170      84
a     618     795      36
a     252     137      15
a      83      87      40
a       3      11      65
a     774     227      83
a     502     235      87
a     674     125       1
a     281      18      97
a     684     100      99
a     852     585      11
a       3      64      67
a     886     866      64
a     947     638      29
a     458      62      42
a     726     128      91
a     459     508      97
a     240     358      34
a     385     938      40
a     328     139      12
a     198     328      40
a     712     298      60
a      45     138      48
a     236     519      17
a      28     119      98
a     576     376      23
a      11      24      14
a      47     573       8
a     436     148      83
a     645     199       6
a      40      91      29
a      84     254      26
a     600     561      45
a     389     373      40
a     117     537      17
a       6      17       1
a     690     247      55
a      58      83      87
a     200      23      26
a     621     798       4
a     981     919      37
a     498     209       7
a     581     871      65
a      23      49      97
a     167     158      70
a     485     498      92
a     339     914      78
a      52      22      49
a     169     232      36
a       1     100       4
a     255     988      87
a     169     153      69
a      50      95      16
a     175     935      69
a     630     904      52
a     866     914      89
a       2      36      15
a     683     305      64
a      37     472      20
a     266     388      49
a     404     260      93
a     540     408     100
a     515     776      27
a     294     385      74
a     480     291      96
a     482     208      85
a     599     329      58
a     144       2      21
a     493     707       2
a      10      19      40
a     712     951      10
a      43     285      86
a     521      42      58
a     166     445      92
a     935     339      91
a     444      82      94
a     749      94      57
a     178     205      38
a     560      12      46
a     880      43      13
a     945      49      59
a     185     298      13
a     291     358      12
a     307     564     100
a     636     629      21
a     943     997      57
a     411     134      90
a       5      10      99
a     583     150      71
a      76     181     100
a      76     113      24
a     228      60      65
a     533     816      15
a     634     242      31
a     662     721      19
a       1     570      61
a     658     654      82
a     135     686      73
a     310     355      12
a     575     561      13
a     600     858      58
a     395     644      99
a     274     103      33
a      44      45      73
a     211     999      26
a     424     141      53
a     235     109      48
a     136     777      14
a     376     531      36
a     429     961      19
a     636     520      43
a      72     127      27
a     162      87      24
a     355      82      58
a      59      63      83
a     113      52      38
a     684     337      11
a      78     191      82
a     969     330      69
a     274     154      18
a     665     275       6
a       1       4      38
a     607     641      60
a      10      29      21
a     435     596       6
a      31     133      26
a     234     921      88
a      11      61       4
a     108     379      81
a     200     404      78
a      15      16      57
a      69      95      92
a     226     224      82
a     292     322      16
a     294     467      51
a      55     208      40
a     711     930      29
a     248     225      73
a      46     240      56
a     373     687      28
a     775     336      31
a     923     902      88
a       4      55      16
a     117      74      72
a     765     239      47
a     380     430      34
a     239      10      14
a     432      25      51
a     192     166      13
a     943     938      82
a      86      93       6
a     986     200      82
a     109     296      82
a      25      72      53
a     123     134       9
a     372     621      71
a     371     729       1
a      99     149      55
a     347      56      46
a     331     402      16
a     824     531      98
a     248      24      64
a     535     142      43
a      17     163      52
a     957     179      85
a       3      10      23
a      36      39      16
a     620     150     100
a     140      40      63
a     110     290       4
a     333     604      56
a     604     915      61
a     506      12      30
a       4       8      84
a       9     266      80
a     330     642      99
a      22     656       3
a      59     107      47
a     484     116      61
a      14      81      25
a       3     135      13
a     420     235      18
a     164     345      86
a     741     266      61
a     396     338      78
a     929     814      70
a      93     158       2
a     527      36      63
a     213     151      16
a     424     168      70
a      38      88      28
a     223     294      73
a     555     119      80
a     336     969      30
a     427      25      99
a       1      22      75
a     187      63      70
a     861     520      34
a      87     157      55
a     690     704      45
a     423     754      83
a     593     660      81
a     422     565       9
a      39     179      80
a     332     267       2
a     855     841      43
a      93     183      10
a     102     270      65
a     409     460      40
a      45      37      62
a     522       6      18
a     455     198      24
a     605     868      88
a     190     279      60
a     428     372      26
a     527      71      59
a      93     881      27
a      21      62       5
a      35     120      46
a     147     835      97
a     606     665      92
a      65     365      24
a       4      12      92
a     265     159      25
a      42      43      88
a     767     598      44
a     284     206      16
a     275     950      34
a     665     254      99
a     268     879      92
a     242     275      15
a     955     981      95
a      32      38      17
a      97     425      33
a     559      47       9
a      74     994      40
a       9      13      51
a     397      14      71
a      44     351      69
a      65     101      95
a     170      13      97
a     498     964      87
a     351     515      44
a       4     171      40
a     337     718      32
a       1     112      66
a      91     119       5
a     929     350      59
a     582     671      23
a     277     119      19
a     793      92       7
a     526     330      45
a     275     220      75
a     159     177       9
a      65     131      51
a     414     180      97
a      28      44      19
a      25     988       5
a     814     458       1
a     477     726      52
a     482      86      79
a     411      70      36
a       2       9      32
a     151     330      14
a      32     150      70
a      85     560      65
a      15     513      62
a     758     483      17
a      12       7      67
a     204     428      73
a      16       6      97
a      24      40      68
a     184     171      93
a     393     639      43
a     358      50      26
a     579     419      21
a     311      43      18
a      86     104      58
a     691      22      87
a      15     215      40
a     624     355      23
a     857     258      75
a     819     473      84
a       6      29       3
a     483       3      73
a     276      39      85
a      37     189      18
a     194       2      11
a     478     476       4
a     932     854      22
a     850     724      22
a     170     307      60
a     257      74      35
a     480      41      82
a      17     107       1
a     183      60      62
a     876     476      76
a     687     196      61
a      58     119      33
a     198     177      36
a     706     418      73
a     903     763      73
a     244     274      80
a     446     602      56
a     171     553      90
a       5       3      47
a      23     306      83
a     743     301      53
a     777     924      88
a     225      12      33
a     280      23      37
a      63      98      27
a     151     453       2
a     262     454       5
a     351     709      34
a       1      81      52
a     720     990      11
a      85      76      24
a     803     179      71
a      22      60      28
a     113     173      93
a      42      79      55
a      79     894      61
a     346     651      21
a     261     901      96
a     872     209      14
a     984     407      61
a      41      47      98
a     455     641      53
a     729       3      11
a     799     195      38
a     248     277      43
a     327     112      63
a     369      92      32
a     454     774      59
a      92      95      56
a     478     847      33
a     185     275      21
a     617     398      65
a     893     365      18
a       6      97      43
a     268     138       5
a     424      92      49
a     983     470      50
a       8       7      14
a      48     254       7
a     624     382      54
a     938     366      45
a      40     137      89
a      62     315      21
a      25      31      99
a     104     508      62
a     854     259      76
a      11     754      72
a     165      76      86
a     153     865      89
a      33      86      20
a     146      75      13
a     423     751      77
a     735     159      58
a      79      99       9
a     478     128      76
a     546     144      48
a     754     255      32
a      39     129      84
a     335     416      97
a       2      10      92
a     124     289      13
a     877     127      14
a      48      63      77
a     663     397      34
a     340     316      48
a      15      32       7
a      49     285      45
a     784      85      50
a     910     420       4
a      12      23      14
a      41     296      72
a     817     602      36
a     320     319      54
a      13     147      83
a     114     817      29
a       6     625      27
a     102     988      93
a     176     876       3
a      18      24      47
a      27     342      66
a     231      21       8
a       3       6       8
a      16      98      57
a     460     951      66
a     844     183      10
a     133     140      96
a     187      67      57
a     954     896      35
a     357      93      82
a      89     503      63
a     210     990      50
a     320      76      55
a     631     443      11
a     303     450       1
a       1     654      30
a     572     266      32
a     711     853      53
a       1     155      85
a     410     177      18
a     703     327      65
a     490     130       4
a      20      45      34
a     651     261      89
a      59     141      77
a      53      62      49
a     107     223      94
a     721     450      68
a     935     677      95
a      40     151      40
a     872     637       6
a      25      41      78
a      11       1      50
a     768     683      46
a      22       1       5
a     329      54      67
a     688      93      42
a     932     481      48
a      73     237      72
a      23     657      73
a     299      48      49
a      97     242      69
a       1     131       2
a       9      20      75
a     172      44       2
a     817    1000      99
a      72      31      80
a     176     214      16
a     845     839      12
a       5      52      78
a     638     860      85
a     691     521      39
a     842     832      49
a      30     281      71
a      52     302      31
a     141     594      59
a     649     509       2
a      17      19      48
a     311     952      60
a     967     933      29
a     534     258      50
a     265     448      22
a     463     109      72
a      97     112      72
a     285     965      84
a     161     224       1
a      12     614      51
a     216     324      62
a     196     667      60
a     278     720      75
a      73     195      43
a       8     200      23
a     360     712      64
a      14      26      74
a     617       6      42
a     949      52      23
a     143     678      83
a     394      48      97
a      22     111      88
a     896      62      51
a      22      46      92
a     341     643       1
a     124     548      26
a     162     775       9
a      70      75      59
a     411     786      49
a      79     478      20
a      16       4      66
a      63     675      96
a     148     612      96
a     396     739      87
a     787     867      31
a      71     124      75
a     491     774      76
a      19     888      88
a     576     375      10
a      30      33      41
a     686     732      43
a     631     915      90
a     394      20     100
a      16     185      22
a     466      10      61
a     658     321      35
a      96     207      72
a     270       3      18
a     893     251      63
a     985     377      14
a     834     607      91
a     497     587      20
a     737     299      59
a      87      94      59
a     361     233      49
a     528     687      28
a     357     810      11
a     315     165      94
a     755     236      51
a      16      21      88
a     107     334      90
a     242     498      37
a      25      66      32
a     106      46      97
a     240     121      68
a     754     329       5
a       8     688      16
a      98     104      63
a     343     233      49
a     240     248      83
a      56     140     100
a     154      62      64
a     835     366      77
a     573     644      96
a       9      25      49
a     552     322      48
a     496     395      78
a     736     573      62
a     468      94      58
a     541     559      77
a      54       5      31
a     734      73       5
a      51      57      57
a     481     669      44
a     123      64     100
a      36      61      35
a     120     215      96
a     866     249      50
a     141     209       1
a     142     150      40
a     264      50      35
a     536     767      11
a     435     105       8
a     308     491      57
a     308     767      59
a      10      17      67
a     253     669      84
a      40      13      34
a     415     132      90
a     243     505      44
a     928     500      44
a      59     568      22
a      59     685      73
a      11      14      35
a     737     531      73
a     268     323      96
a     280     482      16
a      56     208      72
a     279     409      23
a     856     519      17
a     318     440      39
a     154     312      32
a     173       4      69
a     342       6      60
a       2      91      33
a     841      88      73
a     191     279      70
a     777     879      89
a      91     129      39
a     180     446      65
a      69      60      44
a     427     262      62
a      47      53       2
a      25      34      22
a     987     918      94
a       3       4       3
a     940     347       6
a     652     343      15
a     252     316      87
a     831     290      13
a      96      55      94
a      14      17      62
a     427     849      31
a      38      76      60
a     599     684      74
a      27     330      22
a     211      80     100
a       1     120      84
a     503     255      92
a     236     414      72
a       8      20      88
a     143     187      78
a       7     328      84
a      54      19      57
a      57     923      21
a       5       9      77
a     687     694      39
a     592     704      94
a     569     944      59
a     155     229      64
a      63      81      30
a     611     802      50
a     107     779      95
a     420     491      48
a      20     102      64
a     335     154      49
a      75     112      23
a      54     431      69
a      84      62      87
a     661     644      88
a     687     660     100
a     100     397      21
a       7      18      58
a     354     644      95
a      36      75      43
a     308     725      36
a      38     353      81
a     516     733      20
a      16     145      19
a     535     349      74
a     278      39      87
a      45     150      57
a     423     153       2
a     241     525      87
a     141     111      45
a     173     916      13
a     256     652      38
a     111     480      22
a     141     143      71
a     285     161       5
a      50      64       8
a     820     677      43
a     191       9      45
a     184      36      19
a     264     353      97
a     196     311      51
a     417     438      14
a      15      68      54
a     103     311      52
a     571     361      45
a     196     396      79
a     166     593      61
a     994     740       2
a     104     486      89
a       2      24      88
a      62     934      85
a     246     507       7
a      23     849      67
a      78     174      38
a     456     611      24
a     912     404      39
a     376     555      23
a       6       3      11
a     823     623      83
a     169     261      87
a     307     125      39
a     381     378      46
a     482     782      53
a      57      68      52
a     141     885      69
a      80     472      42
a     909     350      30
a      60     243      44
a      21      49      27
a     778     276      13
a     787     965      49
a     105     161      51
a      17      10      10
a     184     126      34
a      61     100      98
a     176     409      71
a      51     372      75
a      29     675      71
a     708     705      37
a       2      99      48
a      16      37      22
a      24     995      66
a     572     968      43
a       8     514      69
a      88     226      93
a     758     845       8
a     584     663      78
a     332      86      75
a       5       6      84
a     929     518      64
a       8      48      57
a     524     657      67
a     326     140      84
a     996     699       5
a     112      21      90
a      18      66      38
a     222     118      84
a     101     110      12
a     372     667      40
a     124     318      85
a     280     370      15
a     477     161      87
a     190     307       5
a     236     432      14
a     994     841       2
a       7      39      29
a     396     557       6
a     681     362      29
a     998     941      68
a     501     677      97
a     795     483       4
a       2      19      71
a     793     367      18
a      29     463      72
a     139     294      99
a      83     360      65
a     853     170      20
a     774     872       2
a     505      23      70
a      27      50      63
a     832      84      15
a      25     215      93
a     834       9      61
a      79     430      80
a     186     930      74
a      41      27      42
a      24     763      64
a     459     420       2
a      12      18      40
a     648     406      42
a     765     262      95
a     146     953      69
a     179     485      21
a     865     418      34
a     556      74      84
a      55     137      60
a       1     234      69
a      65     203      61
a     827     429      43
a      84     417      57
a      92     727      63
a      53      77      36
a      55     607      83
a     161     465      91
a     682     634      91
a      97     155      49
a      48       8      11
a     772     323       7
a     595     754      31
a     721     172      72
a      29      69      92
a      65     791      10
a     458     612      74
a     245     772      56
a     858     504      61
a       1     235      52
a       8     388      40
a     576     904      82
a     539     313       7
a     426     303      75
a     483     535      59
a      59      94      75
a      11      19      40
a     276     689      83
a     329     954      58
a     120     251      29
a     365     693      74
a     314     783       4
a     924     531      37
a      81     596      87
a      25     316       8
a       5      76      65
a     621     259      58
a     897     638      41
a     936     292      33
a      24     249       5
a     563     972      67
a       1      13      23
a    1000     456      21
a     214      19      93
a     442      30      52
a     201      90      16
a     518     116      28
a     660     708      71
a     834     656      84
a      16      62       2
a       8      46       1
a     103      72      37
a     785     288      50
a     258     143      14
a     298      62      47
a     698     384      61
a     130     147      25
a     523     150      52
a      95      29      61
a     311     338      57
a      16      30      25
a     287     413      77
a     486     194      40
a     799     978      12
a     230     134      23
a     111     278      23
a     204     549      13
a     521     588      29
a      43     116      48
a     408     598      60
a     666     824      78
a     265     688      70
a     416     229      96
a      19      58       3
a     341     839      95
a     917     205      74
a      81     308      96
a     141     318      82
a     892     501      90
a       7      70      67
a     560     188      28
a     209     140      32
a     116     903      96
a     197      33      77
a      27     142      87
a     670     857       4
a      96     118      71
a     705     448       4
a     154     199      10
a     639     793      21
a      14      60      90
a     316     339      73
a      70     355      87
a       8      10       2
a      30      45      98
a     606     469      62
a     291     482      63
a     315     494      25
a     462     554      23
a     293     406      71
a      50     130      52
a     902     827      72
a      41      25      53
a     699     972      95
a     197     981      90
a      22     315      91
a     205     381      40
a     121     482      31
a     520     789      10
a     175     849      47
a      31      14       2
a     108     386      96
a     113     410      34
a     732     248      57
a     801     858      52
a     988     986      60
a     159      80      78
a     816     832      82
a      62     126       5
a     820     378      50
a     223     107      28
a     536     488      57
a     187     199      32
a     993     429      34
a     579     599      80
a     198      56       3
a     448     378      35
a       4       3      67
a       2     154      79
a     735     451      84
a     906     759      93
a       1     590       3
a      24     256      87
a      46     263      71
a      21      10      16
a      11     228      42
a     659     140      78
a     730     338      15
a     320     348      97
a     938     890      88
a     310     314      95
a     434     803      36
a     156      26       4
a       7     181      32
a     878     933      69
a      10     130      75
a     446     744      14
a      37     484      25
a     152     188      19
a      60      87      49
a     835     365      22
a     861     135      69
a     334     976      21
a      16     280      58
a     123     616      63
a     835     330      96
a      26      31      43
a      81     275      85
a     339     340      48
a     779     283      30
a     533     606       9
a     354     542      89
a     859     732      61
a     703      64      62
a      38     814      72
a     831     129      28
a     477     831      21
a     719     177      60
a      26      51      16
a     166       9      23
a     195     219      63
a     254     506      80
a      68      30      34
a      86     542      49
a      49     330      74
a     253     100      93
a     112     191      56
a     357     426      26
a     744      20      97
a       5      11      91
a      95     151      23
a     343     337      90
a     912      49      59
a      83      96      24
a     236     329      72
a     326     756      23
a     761     416      32
a     179      76      86
a     737     334      13
a      56     177      67
a     865     738      99
a       5     152      72
a     341      40      88
a     362     788      77
a     872     601      30
a     144     640      14
a     339     658      72
a     120     260      85
a     778     542      94
a     331     612      72
a     640     343      86
a     396     954      33
a     897     552      47
a     193     476      98
a     232     653      84
a      40      48      72
a       9      52       7
a      54      49      43
a      75     636      32
a      61     184      20
a     441     262      65
a     652     267      74
a      16      38      25
a     665       7      75
a     208     424      55
a     722     741      67
a     856     224      86
