c Random Network
p max 10000    6000
n         1  s
n     10000  t
a    8351    6981       2
a    4815     876       6
a    8452    3145      10
a       1    4571       2
a    7590    1350       6
a     295    1393       3
a     109     129       1
a     732    4388      10
a    4854    1299       7
a    5253    9890       8
a    4159     606       5
a    5549    6281       5
a     243    5958      10
a    5258    6983       7
a    8097    7904       8
a      77     145       6
a      93     102       8
a     123    4208       3
a    3973     367       1
a     131    4671       9
a     347    9292       9
a    3463     539      10
a    8671    5122       6
a     112     113       2
a    5341    9430       9
a    1988    3508       1
a    5059    8872       5
a      98    1596       9
a     220     652       7
a    1552    1611       7
a    2704    3228       2
a    3217    4820       3
a    4981    9671       4
a    5729    3549       1
a    2642    6609       4
a     463    1441       9
a    3391    3289       1
a    1594    7145       9
a     918    1231       8
a    5950    5374       5
a    4908    1913       9
a    7006    5901       3
a    8742    6872       4
a    7253    9105       1
a    9170    5611       5
a    2303    4275      10
a    3646    4124      10
a    3424    6487       3
a    9275    7404       7
a    2999    4862       2
a    6377    2751       3
a    2053    6906       2
a    2942    7439       5
a    7488    3191       3
a     593    5413       7
a    8255     189      10
a     554     712       7
a       2      43       5
a     289    2937       5
a    3973    7512       4
a      30     467       8
a     660     165       6
a    2976    9754       1
a    7392    2533       7
a    1205    3497       3
a    2496    5003       8
a    8887    9430      10
a      68    1852       3
a    2740    1975       3
a     904    3123       5
a    5463    7430       8
a     948    1689      10
a       1       2      10
a      21     146       4
a    1221     486       3
a    9542    5779       9
a     950    3507       8
a    4616    6676      10
a    7172    3115       3
a     312     675       1
a    2893     519       7
a    1872    4575       2
a    4260    9364       4
a     444     589       3
a    4064    4993       7
a    7218    6582       4
a      48    4250       4
a     789    5111       2
a    2702    2748       9
a     133     188       9
a      37     126       6
a     127     301       8
a     331     510       3
a    3413    7913       2
a     421    1251      10
a    4020    8968       6
a    8028    3474       4
a     109    1723       8
a     504    1519       3
a    2296    2056       5
a    5630    4916       9
a    1188     167       7
a    2984     216       9
a    6256    8701      10
a    1754    1424       8
a     321     386       9
a    9663    6523       6
a    4511     467       3
a     522    1318       1
a    3145    6939       3
a    3577    2959       1
a    7973    7318      10
a    9392    7497       5
a     410    6220       3
a    6397    8807       3
a     671    1678       1
a      83      99       3
a     237    4910       2
a    7423    8343       9
a    8238    5374       6
a     243     293      10
a    3703    5818       9
a    4394    3115       8
a    6025    6133       4
a    5801    5956       2
a    5483    4383       2
a    2258    1582       5
a      68     695       2
a    1067    1420       3
a    3146    1991       3
a    7698    1672       1
a     158     289       7
a     456    1171       2
a    1419    2425       6
a     551    8265       4
a    4190    8963       3
a     318    9209       5
a    7307     816       6
a    1696    5730       2
a      76    6281       8
a      40     704       6
a      62    2212       9
a    4035    6489       5
a     203     556       9
a    1549     171       9
a     633    1352       1
a    2154    7915       3
a    7288    1457       9
a    4489    2168       8
a    9176    6428       1
a     292     382       3
a      67     106       5
a     142    1008       4
a    5875    5470       6
a    6562    1601       4
a      86     548       6
a     406    9475       1
a    3125    1378       8
a    6339    9259       1
a     830    4676       9
a    2904    8879       2
a    3530    6926       6
a     198     334       5
a     350    1012       8
a    2794    3600      10
a      37      39       5
a     470    3633       2
a      23      49       3
a     308     565       7
a     746    2023       8
a    9107    9363       4
a    1770    3339       6
a    8874    6609       2
a    8802    8107       3
a     452     536       4
a    3582    5505       9
a    7474    2159       2
a    5821    9619       8
a    2789    3612       1
a    6087    1763       3
a    7021    2162       7
a     171    2842       4
a    7403    1668      10
a    6325    2400       8
a    5429    9376       7
a      12      81       4
a     142    1594       9
a    3393    1864      10
a    2757     209       3
a    2575     949       5
a       9      78       8
a      78    1877       4
a    2274    1392       3
a    4842    8271       8
a     390    5310       3
a    4666    7134       3
a    1456    7774      10
a     370     482       3
a     131    3509       5
a    4646    5760       5
a    3238    8499       8
a     295     906       7
a    1747    1474       5
a    8532    7702       8
a    7666    6464       3
a    8570    9991      10
a     405    8830       6
a    6837    5634       3
a     338    1057       7
a    3535    4964       2
a    1400     991      10
a    1901    1697       3
a     888    1256       9
a     319     812       9
a    1019    4474       9
a    2473    7093       9
a     483    5659       7
a    3351    5983       2
a    7710    1929       6
a    5161    6416      10
a       4      99       4
a     309    1100       1
a    7202    4906       4
a    9048    8210       3
a     348     830      10
a    4398    3970       4
a    7740    9218       8
a    6638    4797       3
a    8048    7676       9
a     107    1698       9
a     720    3482       3
a    8344    4219       3
a    1341     241       1
a    2490     403      10
a    1631    8368       1
a    1950    1546       1
a    6845    3776       7
a      76     420       8
a     820     178       2
a    3179      90      10
a    6518    1245      10
a    1648    2018       7
a    2719    3025       6
a    8623    7830      10
a     741    3054       3
a    1509    2256       3
a    2502     866       3
a    8925    5692       2
a      83     115       7
a     541     228       6
a    6961     773       7
a    3545    1600       4
a    6547    7878       5
a     730    5121       6
a    5020    1074       6
a      21    2401       3
a    2965    1115       5
a    3443    1068       4
a    6808    3140       2
a     401    5711       7
a    1904    2670       4
a    3059    2073       3
a    3777    4237       8
a    8501    4388       7
a    7265    2241      10
a    6726    7812       7
a    4401    9603       6
a      46     609       1
a    2225    3406       2
a    1097    2356       5
a    1511    3924       5
a     377    2513       1
a    3252    4299      10
a    6075    6499       9
a    7394    3203       5
a    9548    7029       3
a     553     997       1
a     144     979       7
a     390     604       3
a     667    8255       7
a     832    8700       3
a    6245    1275       2
a    8470    7233       4
a    2656     519       3
a     168     337       3
a    3234    1054       1
a    3980    1460       3
a    7408    1521       9
a    5526    9346       7
a    3757    1618       2
a    8997    7234       5
a    1724    1852       3
a    7576    1055       6
a     221     801       1
a    1266    8318      10
a     234    9044      10
a      20      54       8
a     634     162       1
a     734    4410      10
a    4179    4523       2
a    1624     368       8
a    1049    2976       7
a    5399    1491       7
a       4       9      10
a      45      85       2
a     249      19       7
a     426     596      10
a    7579    2779      10
a     625     810       1
a    4183     180       3
a    6103    2670       4
a    6826    7886       7
a    9256    1440       9
a     476    7545       5
a    8120    1927       7
a     543    1988       8
a     162     391       9
a     440    6349      10
a    8301    5770       9
a       1      20       1
a      48      97       8
a      81     135       9
a    9999    6938       4
a    3187    5017       8
a    4795    7019       2
a    8557    5936       7
a     758    4421      10
a    6567    5132       8
a    3099    8640      10
a    1362    3270       4
a     262    1359       4
a    1523      94       7
a    8752     404       4
a     755    5169       8
a    1361    4668       4
a    9991     860       4
a    2959    3589       9
a       6     123       2
a     149    1528       5
a    7826    1019       1
a    8897    2229       2
a     389    1080       7
a     903     727       1
a    1345    6775      10
a    9604    7637       9
a    7847    8016       1
a     123     242       1
a      22    4213       4
a      18      46       8
a      46    1915       2
a      49    5412       8
a    4464    3374       9
a     231    1436       1
a    1908    5489       6
a    5025    4919       8
a    5733    9737       5
a    7912    8700      10
a    1056    8889       6
a      53    2582       7
a      75     190       2
a     414    2850       9
a    4173    2280       1
a    8247    3124       5
a    7124    6020       9
a     748     896       1
a    1232    1918       8
a    2030    7153       5
a    7521    3465       8
a     724    1429       7
a     875     930       8
a    1116    1713       2
a    4744    3453       1
a    2769    3560       7
a    3245    3642       9
a     725    6743       9
a       1    2003       9
a    2836    7389       4
a    2653     861      10
a    8176    2961       3
a    4016    8748       3
a    9060    7381       4
a    1049    1081       5
a      39     108       9
a      78     571       2
a     770    2000       6
a     934    6206       3
a    3359    8268       8
a    6131    6187       9
a     122     879       9
a    1094    7613       6
a    9206    9043       4
a      12      19       2
a     623    6457       7
a      48     212      10
a     797    3236       7
a     137     508       5
a    1364    2033       4
a    1368    4260       5
a    8120    7656       8
a    2920    2487       5
a    5743    3598       2
a    3145    4506       5
a    5970    4838       9
a    3852    9225       3
a    9864    6770      10
a     281     294       3
a     651    1818       5
a       1      14       2
a      23     423       9
a    1364    9015      10
a    1427    7883       4
a     461    5370       7
a    2152     497       8
a    9804    2447       7
a    8611    5356       6
a     239     681      10
a      34    1303       7
a    6711    2073       9
a    1350    2769      10
a     435    1065       4
a    3411    2782       5
a    3843    5853       2
a      37     116       8
a    9762    6031       3
a    7323     457       8
a    3306    6436       3
a      72      87       7
a    1545    1943      10
a    7262     377      10
a    1857    1046       6
a     950     247       1
a    2691     284       4
a    8875    4143       8
a    2278    1588       2
a     580     890       6
a    3435    5459       1
a    7628    1101       6
a    1662    1822       5
a    2387    2865       7
a    4091     417       1
a    5988     638      10
a    4326    6776       1
a    5812    7315       5
a    3437    6539       4
a     259    3685      10
a    5689    3017       8
a    4736    5915       6
a      39     199       2
a    1468    2280       1
a    4168    2498       2
a    8129    5979       2
a    6051    4306       3
a    3172    5801       3
a    4116    3513       2
a     470     932       6
a    2715    5714       7
a    3348    5031       3
a    7649    6961       3
a    1855    2029      10
a      54    7123       9
a    3642    8807       9
a    8628    9578      10
a    7562    5914       3
a      45      48       9
a     938    1732       9
a    1606    2772       4
a    4569     291       6
a    5547    3373       4
a    7410    1832       9
a    1401    2978       4
a    1469    6610       3
a    2091    7037       4
a    3032    4884       1
a     565    1110       5
a     902    1207      10
a     143     883       7
a     456     544       6
a    1490     652       9
a    3051    7675       1
a    3693    2910       2
a    5571    2810       2
a    1431    1929       1
a    9674    8339       6
a     429     365       3
a     466     545       6
a     562    3118       9
a    3652    7914       1
a    2667     602       9
a    3095    2280       9
a    6331    5332       8
a    1202    2364      10
a    9078    3320       1
a     110    1778       1
a    8100    6307       8
a    4466    6841       5
a    9662     416       5
a     790    2254       6
a     126     127      10
a     568    1829       6
a    4187    5125       3
a    2770    1227       7
a    6210    6423       4
a    1655    2308       2
a    3119    3882       7
a     705     712       7
a    5720    6029       4
a    8362    9887       1
a     386     552       1
a     826     491       8
a     228     138       2
a     836     351       4
a    2587     950       2
a    4676    7973       9
a    3900    7462       4
a      63     110       7
a    2819    3344       3
a    8664    9899       4
a    2163    9771       1
a      39     257      10
a     741    3156       8
a    4087    1287       6
a    4568    1505      10
a    5051    5942       6
a    9915    3546      10
a    6312    4056       4
a     445     666       5
a    1163    7746      10
a    8682    2478       6
a    4230    6970       4
a    1621    1807       1
a    4177     244       5
a    5944    7938       1
a    1530    1390      10
a    2624    1020      10
a    6797     190       1
a    3757    4696       4
a      42      51       8
a     875     267       5
a     432     351       8
a     435    2291       9
a     106     112       5
a     555    2467      10
a    3388     713       8
a    4511     866       1
a     521    8053       5
a    8766    2456       8
a    3510    2255      10
a    2831    6456       7
a      33      55      10
a     508    1934       4
a    1670     353       1
a    1745    4526       8
a     215     264       2
a     903    2460       9
a    1061    4410       6
a    9267    1014       1
a    8613    5212       4
a     258     615       6
a       6      61       6
a       4      14       2
a      23     223       7
a     790    4438       7
a    8766    9088      10
a    1120    1579       4
a       2      39       6
a      39    1286      10
a     658    1349       8
a    6432    4612       3
a    4273    9461       3
a    4294    1102      10
a    3694    2209       6
a     146     391       8
a    2175     948       7
a    2107    1130      10
a    9410    3443       6
a     407     445       2
a    4003     818       5
a    7925    8249      10
a    4695    7839       5
a    4487    8082       1
a     329    1661       7
a     487     791       7
a     223    1297       6
a    2352    2338       9
a    3815    8680       2
a    3541    5547       7
a    2810    5202       2
a     941     351       4
a    1705    4452       3
a    3252    6592       2
a    5407    7424       2
a    3923    4494       9
a     173     475       9
a       5     213      10
a    1178    3393      10
a    4417     284       8
a    7196    3879       7
a    9066    9586       8
a    1826    9900       7
a    2311    1472       6
a    6316    8631       1
a    9101    2940       2
a     506     582       1
a       7      26       4
a      42     971       8
a    1585    5341       9
a     555     640       7
a    4648     648       9
a    7039    2714       4
a      12      27       4
a    5785     787       4
a    5863     712       1
a    3745    8553       3
a       2       3      10
a     470     494       7
a    2719     383       7
a      22    1931       7
a    6465     375       4
a    8031    8391      10
a    8481     383       5
a    2790    3156       6
a    2561    5399      10
a     291    4531       8
a    9542    8053      10
a    1015    1753       7
a    7351    1931       9
a      38    3135       5
a     590    6397       4
a    9569    4760       6
a    3402     248      10
a    4922    1496      10
a       9      19       2
a     175     227       6
a    1770     167       7
a    3566    2818       5
a    5740    7714       3
a      78    1312       7
a    3405    4387       2
a    2703    2161       4
a    6716    5429       8
a    4968    7337       5
a    1597    3996       8
a    6708    3568       3
a    1256    1480       9
a       2      23      10
a      72    1967       4
a     615    2653       2
a      10     106       5
a     180    3655       1
a    6669    6065       4
a     913    7615       1
a    4454    5602       5
a    8968    6640       9
a    3721    1628       5
a      31      67       1
a     169    3485       6
a    2854    6712       4
a    3960    3009       1
a    6529    2274       1
a    8938    3410       5
a    2444    3170       6
a     158    1935       4
a    1989    1234       4
a    4401     616       3
a     291    2849       5
a    1063    3025       8
a    6618    2275       7
a    6126    6069       4
a     229     243       4
a    5681     908       6
a    4378    3651       2
a    1458    3114       4
a    5380    1818       5
a     337    1301      10
a     560    1606       1
a    5426    4114       2
a    9320    8697       7
a    4276    9100      10
a      47      64       6
a    2569    2926       2
a    3816    8329       7
a    5688    8987       8
a    5132      96       2
a       4      62       6
a    1238    1669       2
a    5126     633       7
a    6327    1220       4
a    1951    6291       4
a    2435    9080       8
a    4250    1660       4
a     388    1451       7
a      89     185       4
a    1340     664       1
a    5516    5267       3
a    2655    2742       8
a    3100    2733       3
a    3114    7842      10
a    4279    1061       7
a    6356     244       3
a    5265    4866       6
a    8780    9981       2
a    1678    3221       5
a    3878     253       2
a    1086    4136       1
a      53     105       2
a     164     371      10
a     569    1427       9
a    3629    1506       5
a    9465    3397       5
a     159    2647       1
a    5530    3585      10
a    4000     431       4
a     556     718       5
a    8623    2605       5
a     118    4408       5
a     516    8060       4
a      72     280       3
a     978    4074       1
a    2271    7166       2
a    4105    4362       4
a    2782     350      10
a      88     174       9
a       7      24       1
a      26      60       2
a      81    3614       9
a    6023    4356       1
a    4019    2260       9
a    1394    5152      10
a     428    2622       1
a    1620    3710       7
a    2321    4830       3
a    9313    7375       9
a    2778    6625      10
a      29     949       8
a     461     702       7
a     736    1217       1
a    3505     190       6
a    5595    1240       8
a    7828    8017       1
a    4962    6466       3
a    1170    1356       3
a    5788    3026       8
a    5802    4275      10
a      74     135       2
a    1931    4123       6
a    5593    2724       4
a    2611    1872       9
a    3114    2762       5
a    4458    4468       9
a    5664    6045       2
a    1522    1869       4
a    1855    5652       1
a     755    3426       6
a    1843    6009       5
a    4968    5986       9
a    4265     858       5
a     350     472       6
a     129     180       4
a    1846    5801       6
a    7039    2123       7
a    9233    7388       5
a    4774    8268       3
a    5869    4147       4
a     201      61       3
a    6733    6058       7
a    1740    7767       7
a       4     276       7
a     364     674       4
a    1467    2148       7
a    1463    2460       7
a     999    4196       4
a    6432    7120       5
a    8190    7820       9
a    1994    3472       8
a     548     819       6
a    2305     582       4
a     891    5190       6
a    6078    9842       3
a     982    1075       1
a     315     561       9
a     622    1812       6
a    3784    5698       1
a    4603    7047       6
a    9866    8729       5
a    7417    6870      10
a    4755    4758       8
a     155    3141       3
a    4357    8598      10
a    2818    5658       7
a    1982    3236       2
a    5837    3330       2
a     823    3706      10
a    9519    9612      10
a    8212    6685       8
a    1090    6386       6
a    7382    8394       9
a      26     416       4
a      53    1218       7
a    4395    6492       1
a    7987    8670       8
a      98     194       3
a    1579     272       1
a    2736     280      10
a    6879    1165       2
a    3713    8389       2
a    4639    3755       6
a    7105    8929      10
a     107    1877       1
a    1134    1156       1
a    1542     733      10
a    7822    8899      10
a     203     271       2
a     426    2484       7
a    1744    6013       9
a    5709    5933       3
a    8030    4820       6
a    4879    9930       6
a    7596    5799       5
a     837     909       7
a    1545    1940       5
a    1773    1360      10
a      10      15       3
a     451    4417       2
a     920    5940       4
a    6697    5438       1
a    1977    2707       5
a     117     398       9
a       6      10       6
a    1045    1207       7
a    3372    5430       5
a    4591    9601       6
a    5517    6952       4
a    3496    7616       1
a     127    1238       6
a    8798    2478       6
a    4626    3602       6
a    1261    4919       7
a      35     112       1
a     250     207       2
a    5453    4760       5
a    8297    3142       8
a    9263    4805       1
a    6499    3255       8
a    1215    6919       7
a    4464    4244       3
a    2312    2024       3
a    1941    2092       3
a    2366    5530       8
a    3185    3395       7
a    4961    4859       6
a    7809    8301       9
a    9872    1957       5
a    6255    6645       8
a     391    1061       6
a      24     765       5
a    2833    1927       3
a    8482     530       1
a    6302    5949       2
a    1980    1594       5
a    8150    7754       4
a    1364     308       6
a    1512     425       5
a    4800      62       3
a    7937    8376       7
a    3706    9543       6
a     316     757       8
a    2226    2331       8
a    3711    4028       3
a      86     389       6
a     786    9606       1
a     157     715       8
a    2978    4324       3
a     353     148       4
a    6012     298       3
a    3252    7364       4
a    7434    3398       9
a    1640    1895       8
a     149     161       4
a      81     342       8
a    1232    2969      10
a     223    6959       2
a     232     501       6
a     616     849       2
a    8896    5250       7
a    4335    9578       2
a    7301     929       8
a    4387    5433       7
a    3421    8370       5
a     199     240       7
a    1026    5178      10
a    5893    1107       8
a     651     358      10
a      54    2314       8
a    3752    1083       3
a    6483    1728       7
a    2694     936      10
a    2555    7341       8
a    8674    1927       2
a     606    6308       8
a      18     151       4
a    1636     196       8
a    2025    4878       9
a    4149    6677       9
a      40     169       4
a    6070    5488       4
a    9705    5744       3
a    9728    4981       7
a    5564    9964       6
a    1343    3229      10
a     362    1372       5
a     204     533       6
a    6361     889       8
a    6558    1840       3
a    4641    4554      10
a    1183     863       5
a    4134     332       2
a    3695    1170       7
a    7635    5337       6
a    5681    6850       4
a    2426    1251       6
a      73     761       1
a     315     458       3
a     150     255       8
a     828     449       4
a    7400     491       2
a    9346    1663       9
a    6175    5994       4
a    1316    3746       8
a    4581    1065       7
a     455    2132       2
a     941    2952      10
a     131     201       2
a    1591     355       4
a    3055     561       2
a    1025     637       1
a    3707    6924       1
a    7276    1547      10
a     319     517       8
a    5143    4309      10
a    1410    2308       2
a    5686    7080       2
a    7402    2640       1
a    3707    2222       3
a     392     606       5
a    1475    3275       4
a    5105    7261       3
a       2    2441      10
a     169    6149      10
a    7191    1821       1
a    7230    4998      10
a    4879    2646       8
a    5104     522       3
a    9559    4169       4
a    9053     534      10
a    3892    3781       9
a     132     693       7
a    1266    1816       3
a    1757    4066      10
a    5081    6139       9
a    8405    7883       4
a    9759    7258       9
a    5971    9981       9
a    7863    4751       3
a    1689    4451       9
a    2016    8325       9
a    9094    1313      10
a    2245    8963       6
a     506     703       2
a     824    1766       1
a     115     187       8
a    1904     114       6
a    6871     692       9
a    6457    6428      10
a    3831    5831       6
a    2375    6439       5
a    8106    7594       9
a    5030    9816       8
a     172     199       1
a     954    1161       8
a    4951    7559       9
a    3953    2731       4
a    4107     300       7
a    5866    3505       5
a    9625    4569       7
a     122    1679       6
a    9327    3684       7
a    2865      78      10
a    7128    8562       7
a      27      76       7
a     598     972       8
a    1294      28       7
a     580    4261       7
a    1426    3744       7
a    2111    5377      10
a    2639    2238       1
a     674    5940       6
a       8     207       4
a    4214    6368       7
a    2453    6082       1
a       3     149       9
a    2280     327       3
a    1288    1555       9
a    2115    5330      10
a    2557    1769      10
a    8642    1792       7
a    4653    4363       5
a     412     924       6
a     679    1074       1
a    6388    1069       6
a    7926    3020       3
a    4523    7807       4
a      16      30       1
a      65    4805       8
a    2601    5633      10
a    3167    6645       6
a    1885    6257       6
a    2540    3029       5
a    2074    8480       5
a     200     404       7
a    1142    1369       4
a    1510    1168       3
a    4781    9823       6
a     421     700       4
a    3180    3311       7
a    8346    9205       3
a    5828    2938       6
a    1610    5968       3
a    6052    6392       4
a    4517    9292       9
a     986    2442       9
a    4456     482       3
a    3405    5504       9
a    5205    5374       7
a    8901    7788       6
a    6251     727       8
a     922    1284       9
a     255     450       7
a    2710    3004       9
a    3217    9555       5
a    1856     188       2
a    7154    3555       7
a    7188    8426       5
a    9531    7340       3
a      27     252       6
a    7118    9688       9
a    7253    6523       4
a     398    1672       3
a    3594    3508       8
a    3808     143       6
a    9316    9194       5
a    4325    4512       9
a    4501    1324       9
a    8507    8291       8
a      46      68       7
a    1432    2647       2
a    3648     637       9
a    5446    5246       9
a    9191    7254       5
a    2414    2435       1
a    3805     575       9
a    1927     713       7
a    6423    4562       3
a    5222    2800       3
a    2704    5990       8
a    5085    8940       7
a    1217    1739       8
a      31     641      10
a    1723    2063       5
a    7593    9298       3
a    1648    1967       5
a    3190    2447       1
a    3485    2815       8
a    6730    3653       3
a    9533    4038       5
a    9460    5376       2
a    1040     627       9
a    2969    3826       7
a    4662    1470       4
a    8918    5582       8
a     107     417       5
a     359     390      10
a     439     484       6
a    5378    6560       7
a    2893    6166       9
a    6052    8761       3
a    6279    4974       9
a    1834    4675      10
a     568    1027      10
a    1223    3228       8
a     365    5611       9
a    5303    8715       1
a    6193    8069       2
a     746    1120       6
a    6332    4465       1
a     316    6294       4
a    9930    9361       3
a      78     390       3
a     212     235      10
a     872    1158       7
a    1864     652       5
a    3530    2091       8
a    2316    5853       7
a     505    7181       4
a    8831     663       7
a    1189     959       2
a    9538    6892       2
a     275    3788       9
a    8035    5094      10
a     615     747       4
a      89     496       2
a     949    1849       3
a    2441    5239       5
a    4930    7149       8
a    1384    2729      10
a    9236    5761       4
a    1191    2458      10
a    5112    5078       1
a    3392    7899       8
a      67     221       5
a    2231    3221       7
a    4206    2539       6
a     627    2689       3
a    3142    2662       5
a    8981    2684       4
a     158    6710       5
a    1860    2892       9
a     479     386       2
a    9467    3666       7
a    9664    4912      10
a    7528    3691       3
a     358    3723      10
a    2890    3685       3
a      28      61       3
a       7      18       3
a     209     976       4
a    3814    3099       5
a    3543    3559       8
a    2319    9868       7
a     359    3063       8
a    4622    8310       1
a    6718    2572       6
a      20     237       3
a    1890    4405       8
a    4621    1038       7
a     401     849       8
a     569    3107       4
a     957    3728       3
a    7089    7013      10
a    6659    9586       5
a      98     444       7
a     363    3711       4
a    1506     746       1
a    8077     172       3
a      85     190       8
a      17      19       7
a      97     685       4
a    1788     792       5
a    4667    1789       2
a    7382    1953       4
a    4573    4723       7
a    1240    6369       6
a     588     789       7
a    2617    4786       6
a    9882    7670       6
a      40    2263       1
a    4115     582       8
a    1942    2492       9
a    9126    6984       8
a    6984    3719       2
a    4098    9681       7
a    1846     713       6
a     261    1194       9
a    1508    6115       7
a     217    2837       8
a    2835    6633       2
a     274     364       9
a     844    2923       7
a     808    6744       3
a     920    7227       3
a    1878    2927       1
a      92     268      10
a    2423    7538       6
a     114     685       1
a       6      12       6
a      13     206       6
a    6586    6011       9
a     447    1064       5
a    1313    5104       2
a    2495    9132       3
a    8903     546       1
a      23    7301       6
a     348    7941       2
a     218    3818       5
a      27     405       6
a     765      99       5
a    2160    3508       8
a     250     609       9
a    1210    3069       9
a    8539    3383      10
a    5620     317       6
a    6556    2224       6
a      91     234       8
a     120     191      10
