c Random Network
p max  1000   10000
n         1  s
n      1000  t
a     428     102      11
a     716     654      17
a       7      23      54
a     705      32      74
a       8     183      24
a     222     312      75
a     151     510      17
a     746     983      33
a     358     100      93
a     234      79      14
a       3      84      49
a      70      71      96
a     336     947      92
a     790     451     100
a      48     382      24
a     468      87      23
a     964     816      85
a     767     198      95
a     840     596      95
a     152     184      83
a     264     288      51
a     802     584       3
a     674     242      88
a     478     803      94
a     798     567      61
a      13      48      47
a     336     221       2
a     128     386      58
a     632      70      98
a     153     246      24
a      56      62      86
a     186       4      73
a      21      54      88
a     249     288       3
a     517     467      52
a     720     530      77
a     320     725      23
a     841     757      85
a       4       6      88
a      50     220       7
a     219     746      28
a     693     778       5
a     113     154      82
a     338     256      71
a      49      73      31
a     549     162      16
a     835     321      86
a     873     877      97
a       3      49       8
a     384     238      31
a     899     673      92
a     568      40      13
a     405      94     100
a      68     102       1
a     142     287      44
a     255     320      45
a     198     475      34
a      27     916      88
a     152     204      67
a     222     214      31
a     661     734      37
a     100     103      71
a     646     539      30
a     486     595      52
a       2      17       7
a     427     251      72
a      46      49      24
a     282     159      32
a     773     366      15
a      25     420      81
a     232      75      53
a     126     319      41
a     827     425      21
a     614     513      89
a     101       5      39
a     727     149      59
a     264     237       1
a      34     108      48
a     426     279      78
a     313     601      28
a      28      37      38
a     530     124       8
a       5     444      40
a     347     715       3
a     500     185      38
a       5       3      37
a       4      15      31
a     440      35      16
a     479     312       6
a     144      32      47
a     908     805      94
a     108     778      14
a       6      78      94
a      98     193      11
a     302     253       7
a     493     446      61
a     587     912      77
a       1       3      95
a       4     143      66
a     639     877      89
a     635     781       5
a     632     310      68
a     242     620      78
a       5      18      76
a     389     125      29
a      19     365      15
a     638     267      32
a     224     845      40
a      33     143      25
a     263     102      99
a      11      17      96
a      16      65      92
a     147      73      71
a     463      99       5
a     615     846      18
a     338     970      20
a     189     252      64
a     258     215      63
a     508     304      55
a      63       5       6
a     153     208      30
a     885     328      23
a     654     725      97
a      35     242      69
a     582     255      21
a     817     333      58
a     419     319       8
a     246     421      48
a     995     602      82
a      94     167      30
a     323     178      54
a     293     565       5
a       2       3      45
a     102      57      88
a       5      38      21
a     717     933      56
a     747     519      99
a       8       9      74
a     482     330      59
a     123      92      58
a     155     109      55
a     909     231      42
a      43      70      75
a       1       9      43
a       6     151      85
a      37     170      28
a      57     183      43
a     999     933      15
a      16      19      21
a     349      40      35
a     437     489       9
a     122     292      49
a     308     373      19
a     767     422      56
a     943     394       2
a     876     296      35
a      89     115      19
a     349      55      14
a     974      13      45
a    1000     107      65
a     322     433      29
a     484     393      14
a      11     270      19
a       6     357      26
a     826       9      86
a     380     868      35
a     332     365      78
a     168     631       7
a       5     297      69
a     919     960      43
a      86     148      30
a     365     830      62
a     541     879      42
a     750     836      84
a     739     653      27
a      60      78      95
a     503     853      75
a       7      52      14
a       9     223      14
a     455     105      48
a     349     502      54
a       2       4      44
a     451      44      41
a       7      44       7
a     254     640      94
a     495      29      55
a     120     382      93
a     161     344      16
a      65     162      54
a     145     190      39
a     226      94      35
a     949     244      22
a      63     902      91
a     736     802      14
a       4      10      80
a      31     330      48
a      38     702      69
a     281     776      41
a      16      21       4
a     438     868      67
a     100     353      90
a     429      39      25
a     644     504      54
a     860      77      39
a      16      31      29
a      32     502      52
a     335     887      68
a     589     519      47
a     468     657      63
a      34     127      40
a     698     338      16
a     504     370      67
a      18     914      34
a     175     713      87
a       7       8      30
a      33     165      47
a     465     582      14
a       3       2      35
a     422     240      99
a     812     370      90
a       5      11      73
a     194     148      39
a      20     379      84
a     896     557      55
a     508     466      45
a      30      62      68
a     412      62      23
a     370     504      82
a      18      52      48
a     412      28      37
a     649     101      50
a     117     476      19
a     421     182      15
a     169     217      48
a       8      10      80
a      42     168      61
a      81     200      75
a     197     203      46
a      55     463      98
a     730     458      14
a       8      33      10
a       4     128      16
a      58     108      31
a     893     405      66
a       3       1      36
a     632     457      62
a     371     869      81
a     120     122      10
a     236     227      67
a     697     323      33
a     274     875      47
a     244     582      53
a      58      95      69
a     138     506      62
a     423     974      70
a     957     303      34
a     106     339      68
a     430     406      77
a      18      38      63
a      56     530      97
a     682     844      18
a     303     549      49
a     340     521      30
a     196     451       5
a     603     287      67
a      42     284      59
a     494      79      39
a     236      16      77
a     750      38      62
a     172     326      47
a     105     201      18
a       3      14      63
a      64      87      46
a     128     729      39
a      21     378      46
a       3      56      46
a      24      92      94
a      26      33      45
a      63     117      68
a      72     375      84
a     846     118      10
a     266     823       7
a      46     201       1
a     406     418      42
a      19      44      31
a     140     318      45
a     755      35      76
a     869      87      49
a     728     679      53
a     385     453      82
a      25      42      63
a     387      10       1
a     738     394       9
a     731     831      84
a      93     247      64
a     280      59      93
a      50     294      54
a     591     317      53
a     645     940      35
a     173     964      20
a     339     464      72
a       2       7       5
a      30     480      27
a     500     618      87
a     387     362      31
a     317     865      51
a     383     845      47
a     184     952      76
a     102     137      60
a      45     743      91
a     170     383      55
a     475     194      30
a     690     195      56
a      15      45      22
a     158     118      59
a     403     725      22
a     460     632       2
a     964     860      64
a     877     121      33
a      59     288      52
a      13      28      13
a     260      92      43
a     839     135      60
a     849     620      52
a      27      84      45
a     538     702      78
a     167     354      16
a     475     400       9
a      52      77      24
a      23      26      65
a     142     354      49
a      47     143      52
a     126     159      39
a      13      21      35
a      28     126      88
a     322     535      38
a     599       1      58
a     821      34      85
a     960     253      14
a     282     410      44
a      17      23      96
a     341     382       2
a     966     404       1
a     360     553       9
a     139     153      90
a     772     183       9
a     131     769       7
a     145     166      70
a     283     410      37
a     692     270      98
a     980     682      71
a     572     294      61
a      23     142      86
a     208     244      19
a     376     649      95
a     318      91      57
a     816     807      16
a     317     771      79
a       9      12      55
a     732     713      41
a      20     366      61
a     768     241      31
a      83     397      38
a     181      49      31
a       1      45      75
a     230     983      76
a      33      73      86
a      75     832      95
a     925     539      83
a     998     939      26
a     462     454      97
a     213      14      80
a     427     261      30
a     171     317      72
a     753     618      85
a     841     413      72
a     805     954      15
a       1      15      62
a     282     259      55
a      34     253      69
a     128     406      58
a     902     651      99
a      51     149      41
a      45     329      18
a      52      59     100
a     582     890      85
a       8     242      20
a      60     561      28
a     220     741      59
a     775     495      86
a     606     419      50
a      17      28      95
a      37      83      45
a     845     714      31
a       8      15      73
a     487      40      42
a     299     487      62
a       4       7      80
a     431      21       3
a      19     295      88
a      13     786      58
a      73     132      65
a       7      72      71
a     116       7      22
a     663     769      23
a       6      19      61
a      26     464      81
a     530     485      56
a     140     794      79
a     387     626      42
a      48      99       6
a     157     465      80
a     205     141      18
a     364      79      60
a     545     307     100
a     155     516      61
a       1       4      20
a     310     142      62
a      30      49      57
a     743     690       3
a     827     471       5
a       9      17      83
a     655     308      45
a       5      20      12
a     106     308      45
a     311      41      85
a     759     306      64
a     104     473       8
a     490     662       6
a      15      22      13
a      60     486      22
a     167     908       2
a     786     671      80
a     298     641      71
a     542     875      41
a     169     413      37
a     810      19      45
a     838     523       4
a     833     366      18
a      43     173      25
a     384     224      97
a     453     174       2
a      34     876      68
a     267     169       1
a      40      68      64
a      71     299      63
a     523     571      35
a     995     749       5
a      77     652      50
a     871     438      86
a       5     139      29
a      25      98       1
a     811     334      78
a     134     148      41
a     449     803      58
a     844     866      96
a     768     201      24
a     512     203      75
a     730     919      68
a       5     162      13
a      53     337      80
a     553     427      92
a     110     147      51
a     113      27      39
a     919     137      75
a     267     219      62
a      94     107      19
a       5     132      91
a     305       2       3
a     824     215      88
a      65     177      19
a       5      15      99
a     177     415      14
a       5      27      72
a      37     350      75
a     731     726       8
a     893     609      76
a     550     416      53
a     277     317      89
a     375     826      91
a      92     223      83
a     410      38       7
a     372     569      37
a     585     589      16
a     743     441      98
a      32     104     100
a      61     517      98
a     309     168      86
a     365     576      62
a     866     323      13
a      62     220       7
a     110     750      59
a      22      25      67
a     105     829      50
a     999     854      80
a      59     575      70
a     484      84       5
a      62      92      81
a     592     665      15
a     687     773      65
a     186     102      19
a     437     713      95
a      19     153      93
a     188     210      46
a     132     555      14
a       2       5      37
a      17      19      85
a      28      13      28
a      16      34      67
a     416     119      51
a       9       8      93
a      87     145      43
a       1      14      96
a      17     566      46
a     461     755      43
a     483     585      69
a     796     477      42
a      42      19      17
a      47      62      15
a      13      24      41
a     542     560      32
a     195      22      50
a     559     449      80
a     597     126      51
a      64      76      31
a     194     222      40
a     282     114      53
a     466     853      99
a     398       3      63
a      11     128      31
a     303     395      70
a      12      14      63
a     668     722      20
a     764     995      39
a     664     342     100
a     764      44      64
a       1      71      22
a     283      27      56
a     287      29      96
a     248     379      62
a     448     403      55
a     697     229      18
a     527     610      31
a      19      31      26
a     180     136      62
a      36     682      32
a     556     918      55
a     378     792      94
a      63     114      75
a     337     269      28
a      99     813     100
a     159     204     100
a     897     219      75
a     149     843      59
a      13      42      90
a     109     131       1
a     326     208      91
a     988     144      64
a      20     139      93
a     916     415      10
a     244     600      44
a      39      58      80
a     260     125      11
a     957     497      27
a     583     748      11
a     467     636      57
a     107     404      59
a     433      93       7
a     517     609      25
a     696     338      65
a     906     670       2
a     805     956      75
a     220     274      51
a     230      40      36
a     350     408      26
a      25     407      11
a      42     418      52
a       3       4      24
a       2     121      89
a      12      20      16
a     570     593       3
a     105     108      89
a     203     511      50
a     184     135       5
a     642     559       1
a      33     177      74
a     186     515      47
a     108      99      67
a      33     157      55
a      30     550      12
a     345     338      90
a     400     969      65
a     823     198      47
a     187     286      58
a      27      30       1
a      22     471      64
a     697     772      30
a       2     317      76
a     259     103      53
a     243     526       9
a       4       5      15
a      33      31      69
a     132     894      47
a      54     184       6
a     681     814      50
a       6      26      11
a     101      97      35
a     765     733      82
a     733     608      95
a      56     844      26
a      61     893      74
a     772     822      23
a      32      34      41
a      68     305      47
a     499     586       9
a     992     945      32
a     742      73      31
a     284     482       2
a      42     160      27
a     358     591      27
a     789     732      71
a      66      84      47
a      21      41      37
a     514     257      24
a      14     188      68
a     972     476       7
a      13      17      88
a      14       9      67
a     543     784      47
a     321       6      18
a     597     600      68
a     188     601      71
a     127     186      46
a       5       7      13
a     674     975      73
a     537      54      45
a     523     190      30
a     380     155      45
a     499     341      88
a      57      95      29
a     359     442      91
a     819       4      48
a     381     730      33
a     966     545      95
a      32      73      14
a     221       1      38
a     268     887       1
a     880     970      80
a     383     276       4
a     563     818      88
a       3     144      59
a     123      46      64
a     191     335      74
a     622     477      81
a     715      17      86
a     116     121      12
a     514     361      34
a      51     199      10
a      18      31      76
a     505     803      61
a     609     905      21
a     463     770      81
a     723     946      35
a     272     399      46
a     714     402       8
a     744     562       2
a     158     662      17
a     123     214      76
a     346     754       9
a       2      10      36
a      11      89      86
a     323     766      56
a      44     721      29
a     209     237      34
a     248     620      68
a     181     856      63
a     433     455      11
a      15      20      21
a      38     106       9
a     246     136      15
a      55     628      23
a     478      63      35
a     115     316       4
a     396     401      94
a     952     882      81
a     512     638      25
a      47      97      41
a     138     735      42
a      24     109      11
a     141     336      17
a     115     989      35
a     172     673      54
a     291     581      56
a      10      14      39
a      94     141      45
a     636     131      58
a     356     106      42
a     206      22      96
a     648      33       5
a      63     717      20
a      51      69      82
a     184     227      63
a      31     505      93
a     973     532      17
a     152     198      12
a     543     806      17
a     383      81       5
a     162     853      50
a      15     181      48
a     199      47      55
a     875     296      67
a     320     206      85
a     227     403      34
a     825     204      53
a     949     255      45
a     496     511      85
a     515     114      87
a     792     148      45
a     367     114      84
a     108     138      62
a      73     150      99
a     929     192      65
a     948     380      67
a     778     790      70
a     323     456      59
a     201      19      28
a     124     149      16
a     595     343       2
a     649     419      60
a     163      88      76
a     332     619      39
a     975     598      45
a      37      25      58
a     391      88      22
a     130     405      47
a     361      39      30
a     451     361      43
a     550     771      63
a     927     610      21
a     164     441      68
a       9      68      88
a      21     658      42
a     285     826      98
a       4     286      72
a     239     280      27
a      81     266      79
a     491     221      36
a       3      22      72
a     182     118      45
a     588     413      80
a     410     154      59
a      66     266      34
a     437     400      69
a     838     167      16
a     230     122      43
a     142     408      59
a     216     618      63
a      55      88      90
a      55     260      81
a     204     845      51
a     291     762      27
a     162     843       3
a      22      30      27
a     274     228      76
a     869     621      86
a      18      12      79
a      24     666       4
a     724     404      95
a       1       6      22
a       5      10      81
a     640     270      32
a     769     358      64
a     979     725      81
a       2     256      68
a      14       3      24
a      26     674      13
a     116     215      57
a     222      96      71
a     332     112      39
a     257     923      58
a     957     703      14
a      28      55      20
a     212      73      31
a     217     570      43
a     230     459      46
a     241     594      60
a      99     992      32
a       2      36      28
a      20     571       4
a     202     173      60
a     747     843      72
a       7      10      16
a      20     329      97
a      27     342     100
a      86     572       6
a      46      26      68
a     952     957      66
a     414     671      62
a     346     516      42
a     257     670      39
a      25      85      44
a      85     478      67
a     821     485       5
a       5       8      64
a      81     704      69
a     758     405      96
a      70     109      61
a      61     218       3
a     738     255      18
a     149     154      57
a     233     266     100
a     801     376      74
a      35     124      43
a      11     226      38
a     682     766      69
a     231     357      80
a     489      52      39
a     107     227      30
a     946     169      74
a     769     846       5
a       7      20      37
a      20       8      46
a     131     800      76
a     317     627      85
a      14      67      58
a     209     106      41
a     505     130      92
a     784     677      40
a      89     173      89
a     297      40      52
a     702     291      11
a       7       5      94
a      32     423      86
a     632      43      72
a     713     342      24
a      10     246      41
a      81      98      48
a      20      30      10
a      88      40      23
a     621     194      38
a     602      58      49
a      12      87       3
a     178     670      62
a       8      50      89
a      96     141       2
a     153     250      51
a     415     299      57
a     683     189      83
a      20      28      23
a     114     606      98
a     274     976      77
a     873     755       6
a     829     959      14
a     610     170      16
a     134     787      12
a      93     325      69
a      52     115      63
a     631      38      70
a     797     529      46
a     869      96      23
a      29      32      21
a     318     404      89
a     663      45      95
a      32       9      68
a     130      16      95
a      48     324      21
a       4      12      84
a      68     170      21
a     335      72      24
a     964     537      84
a     172      28      69
a     665      44       9
a     430     990      28
a      53      73       6
a     114       1      90
a     182      43      11
a     410     221      93
a     482     917      77
a      12      99      72
a     108      20      48
a     878     629      47
a      84     161      33
a     382     422      19
a     193     737      98
a      18      33      82
a     108     408      27
a     418      59      50
a     394     724      92
a     638     763      73
a      58      62      57
a     230     287      80
a       2      29      64
a     370     423      61
a     495     173      63
a     495     297      44
a      53     450      67
a     760     830      40
a     256     422      76
a     555      81      78
a     944     749      34
a     488     925      90
a     144     186      92
a     146     435      65
a     181     989      26
a       3      57      84
a      21     145      24
a     199      71      22
a     887      91      88
a       6      12      48
a     793     645      78
a     420     263      94
a      15     437      73
a      46     105      83
a     113      68      67
a     833     341      21
a     447     131      58
a     644     463      49
a     366     655      83
a     818     324      30
a     933     513      51
a     904     784       7
a     260     396      96
a     289     123      35
a      68     109       4
a     169     252      47
a     874     391       7
a     265      91      37
a     883     328      30
a     335     966      34
a       9      73      42
a      17      98      69
a     870     917       6
a     160     177      60
a     450     190      46
a     836     865      55
a     525     500      18
a     270     472      95
a      41      46      57
a     361     724      64
a     188     660      76
a     237     380      91
a     248     782      93
a     380     533      51
a       3      28      33
a     111     546      47
a      29     202      70
a     991     365      76
a     497     463      39
a      27      52       6
a     645      97      40
a     221     616      50
a     744     967      75
a       8      11      10
a      89     244      23
a     268     245      75
a     162     502      22
a     212     176      43
a      77      78      39
a     165     147      33
a     737     313      53
a     288     568      97
a     133     125      54
a     159     394     100
a      46     143      74
a      16     399      73
a     444     167      14
a     238     917      21
a      75     127      99
a     375     329      77
a     599     911      38
a     328     562      15
a       6       1      12
a     187     319      54
a     701     830      66
a     668     305      36
a     717     848      85
a     395     712      78
a       2     154     100
a       2     224      75
a     353     575      73
a      45      25      93
a     526     783      94
a     193     800      66
a     146     214      72
a     243     109      58
a     269     295      12
a     654     776      13
a      95     234      34
a     214     948     100
a     573     910      56
a     550     395      40
a      71     340      71
a     415      98      56
a     702      35      11
a     783     670      37
a     315     946      87
a      23      41      43
a     164       1      29
a     659     417      14
a     220     704      86
a     676     480      25
a     957     735      91
a     142     158      94
a      34     190      43
a     197      67      71
a     980     119      84
a     188      55      21
a      23      27      60
a      60      77      97
a      19      16      36
a     254     324      97
a     542     157       9
a     694     192      38
a      78     710      11
a     234     922       3
a     201     404      70
a       1      63      20
a       1      86      55
a     240     229      50
a      29      55      14
a     191     744      84
a     319     743      44
a      12      13      83
a     133     695      37
a     165     122      52
a     919      58      80
a     271     295      11
a     598       4      81
a      42     107      39
a     197     587       8
a     389     966      97
a       3     179      12
a      92     256      20
a      81     883      61
a     296     958      35
a     475     961      97
a      72      78      77
a     195     833      22
a      90      80      14
a      51     654      86
a     228     756      67
a     268     629      83
a       9      47      63
a      70      82      42
a     463      13      14
a     540      67      32
a     582     774      75
a      46     283      54
a      27      91      67
a       5     339       9
a      41     109      79
a     136     531      34
a     607      59      17
a     196     646      42
a      13     361      81
a      25      68      71
a     187      58      25
a     417     744      85
a     943     925      28
a     653      52      72
a     621     274      37
a       9      32      11
a     613      22      33
a     128     580      53
a     717     849      33
a     167     446      15
a     363     288      54
a     788     909      47
a     949       7      54
a     968     897      84
a      10      28      19
a     491       4      77
a      32     198      65
a     391     999      35
a     349     395      83
a      11      15      79
a     359     949      71
a     612     488      86
a     341     105      23
a     608     520      70
a     955     246      38
a     135     222      62
a      34     197      84
a     340     282      27
a     412     723      90
a     162     442      83
a      16      87      71
a     740     398      26
a     500     937      53
a      63      77      85
a     362       6      32
a     302     276     100
a     539       8      33
a     971     500      91
a       2      43      85
a     118     144      21
a     422       4      62
a     482      96      50
a      57     796      84
a     937     487      67
a       7      47      23
a      52      46      78
a     174       2      12
a     408     780      35
a       2      12      91
a     212     266      73
a      12      93      23
a      51     269      51
a     733     240      63
a     807     464       9
a      20     325      55
a     113     615      33
a       6     113      41
a     205      51      51
a     289     762      20
a     653     884      30
a       9      14      89
a     806     446      93
a     143     251      11
a     286      25      97
a     913    1000      57
a     431      50      26
a     407     978      33
a     362     626      48
a     629     657      21
a     406     847      93
a      60     230      23
a     188     472      97
a     842     484      60
a     657     775      70
a     167     172      77
a     143     221      38
a     342     470      49
a     465     829      15
a     674     135      84
a       9       3      67
a     257      44      70
a       3      10      67
a      21     373      10
a      21     567      87
a     988     896      52
a     928     373      86
a     278     130      65
a     935     305      79
a       8      87      39
a     218      97      93
a     162      10      62
a     169      87      62
a     713     659      95
a      27     117      78
a       2       6      27
a     116      16      99
a     217      48      27
a     549     533      69
a      69      77      39
a       6      15      28
a      63      66      50
a     750     294      23
a     758     373       5
a     339     743      48
a     750     984      84
a      14      21      17
a      32      69      95
a     927     259      94
a     776     440      79
a      90     225      15
a     745     232      46
a      19     737      53
a      19      22      84
a     236     175      52
a     293       8      28
a      47     632      39
a     331     641      55
a     196     219      37
a      21     110      11
a     356      11       3
a      93      67      30
a     360     535      91
a     438     774      12
a      16      27      67
a      15       6      45
a     812     978      77
a     715     810      31
a     438     418      26
a     371     421      68
a     724     228      56
a     141     192      58
a     197     183      85
a     476      76      66
a     399     204      87
a     222      25      84
a       3      12      65
a      72      13      69
a     724     286      46
a     197     457      74
a     551      78      95
a     565     595      42
a       5      24      74
a     126       7      59
a      52      74       6
a     557     293      10
a     597     877      68
a      61     116      61
a     117       9      39
a     108     216      31
a     424     230      60
a      21      66      33
a     606     109      37
a     338     655      52
a     767     218      48
a     606     357      98
a     128     239      47
a     307       7      51
a     925     271      48
a       6      37      14
a     545     352       2
a     723     589      92
a      20      61      51
a     276     327      49
a     184     167      35
a     309     929      22
a      49     271      37
a     569     879     100
a      29      41      86
a     152      46      86
a     463     928     100
a     263     269       9
a      43      62      96
a      58      70      13
a     869      60      15
a     912     239      96
a     620     895      33
a      62     371      81
a     179     159      24
a     516     813      14
a      15     317      57
a     138     928      78
a     724     870      99
a     718     426      14
a     313      99      11
a     101     130       9
a     326      28      73
a     778     556      44
a     293     214      38
a     731     547       7
a     990     791      73
a     611     789      16
a      96     117      28
a      86     137      28
a     112     204      92
a     204     931       6
a     185     608      86
a     717     234      28
a     550     515      24
a     857     199      18
a      12      70      71
a     370     304      44
a     510     230      98
a     673     423      64
a     127     182      66
a     228      22      81
a     934     828      64
a     318     469      80
a     840     152      58
a     934     727     100
a     921     800      62
a     139     516      48
a      12      36      25
a      56     334      42
a     613     662      56
a     787     650      94
a       8      12       8
a     127     471      58
a      52      27      12
a     121      45      17
a     355     708      59
a     270     914      23
a     679     814      19
a     406     474      36
a     672      66      67
a     685     569      83
a     631     205      98
a     178     530      56
a     837     593      99
a     616     582      45
a      11       5      90
a     792     141      22
a      28     181      79
a     303     645      67
a     373      89      85
a     101     618      11
a     146     217      97
a      32     207      69
a     116      34      69
a     159     770      69
a     246     239      26
a       9       1      88
a      38     108      20
a     717      15      21
a     152     622      22
a      98      14      75
a      76      93      43
a     465     208       3
a      91     822      38
a     108     109      17
a      88      57      14
a     233       8      85
a     894     471       7
a      38     330      72
a      11      16      54
a     290      27      38
a     497      56      32
a     124     582      48
a     872     943      48
a     231     620      84
a      20      29      64
a      23       7      19
a     303     186       2
a     441     407      68
a      10     709      23
a      32     255      39
a     409      75      24
a     140     119      65
a       7      12      39
a      75     167       8
a     527     584      87
a     402     865      18
a     278       4       8
a      80     417      99
a     422     270      97
a     276     724      38
a     610     276      76
a     656     511      95
a     856     333      10
a      45      48      73
a      52     391      89
a     255     628      92
a     717     737      32
a      14      32      55
a     974     524      37
a      65      73      95
a     140     143      63
a     735     193      92
a     879     209      76
a     627     628      52
a     741     975       7
a       6       4      38
a      11      48       9
a     318     254      67
a     756     123      50
a      37      78      55
a     785     786       1
a      10      34      70
a     141      19      54
a     498     615      21
a     502     769      29
a     609     896     100
a      29     136      69
a     339     140      13
a     737     329      88
a     447     118      62
a       3     131      51
a      68     697      75
a      34     221      96
a     852     649      82
a       7     128      39
a       7      14      97
a      54      36      39
a     716     162      13
a      81     475      51
a     597      80       5
a     422     324      78
a     544     395      76
a       7      97      52
a     316      76      59
a       8     797      33
a     880     895      16
a     121     177      45
a     774     559      59
a     305     623      98
a     988     196      18
a     649     323      44
a      86     227      97
a     518     106      43
a     269      96      13
a     462     239      90
a      39     764      83
a      63     113      18
a     198     219      63
a     702     441      55
a      82     371      17
