c Random Network
p max   500   10000
n         1  s
n       500  t
a      61     260      92
a     126     317      13
a     470     352      41
a     413     265      83
a      23      42      72
a      61      25      20
a     337     146      58
a     146     332      56
a      13      25      85
a     119     413      63
a     100     108      60
a     188      61      33
a     193     178      51
a     193     145      81
a     300     205      65
a       9      41       7
a      44      84     100
a     490     441      92
a      87      43      41
a       2       1      52
a       3     169      79
a     339     266      47
a      19      71      30
a     448     430      59
a      21     152      63
a     213      49      13
a     344     174      49
a     275     463      82
a      15     400       2
a     181      36       9
a      29      56      80
a     122      58      89
a     347     453      37
a     343     134      10
a       6      52      82
a     106     197      79
a     218      55      15
a     154      59      32
a      66       8       2
a      91      11      36
a     383     468      42
a      22      58      67
a      60      85      12
a      68      71       3
a     119     237      89
a     384     373      39
a       6       7      78
a     153      99      84
a       2       3      14
a      89      88      45
a     124     233       4
a     125     497      11
a     113     287       6
a      63     151      32
a     294     299      75
a     395     315      21
a     435     115      65
a     243     100      62
a     220     277      10
a      78     247      62
a      57      76      79
a     195      22      60
a      80     441      12
a     455     286      15
a     214     425      53
a      95     192      89
a      61     267      96
a     137     489      39
a     163     213      93
a     171     437       7
a     497     359      12
a      46      82      16
a       6      25      24
a      95     249      49
a     292     453      66
a      10     131      83
a     360     266      58
a      37     123      88
a     136     430      38
a     214     430      80
a     234       9      85
a     390     134      18
a       7       5      69
a      41     110      27
a     497     122       4
a     105       4      16
a      36      99      61
a     288     445      19
a     109     139      93
a     284     158      77
a      46     432      34
a     384     160      23
a     115     219      49
a     101     286      55
a      45     210      33
a      75      52      80
a     167      12      53
a       7       2      69
a      24      34      95
a     330     401      96
a     205     366      68
a     305     216      50
a      24      89      90
a     129      27     100
a     129      55      83
a      80     371      21
a      31      46       7
a     400     156      82
a      12      13      17
a      24     113      88
a     378     409      55
a     290     276      94
a     154     414      46
a       7      20      25
a     354      28      50
a     296     158      91
a     337      17      46
a      29      33      63
a      59      18      84
a      59      72      30
a     125     445      66
a     321     395       4
a     381     198      41
a       9     248      27
a     336     481      75
a     302     492      45
a      17      42      59
a     490     222      26
a     431     263      43
a       1       7      78
a     449      34      95
a      59      96      23
a      70     406       3
a     267     326      41
a      55      59      73
a      14     185       5
a     162      38      22
a     297     424      99
a       4      11      43
a      16     347      85
a     161      19      83
a      37     445      98
a     485     197      19
a       3       2      55
a      39      18      96
a     249      12      93
a     367      57      27
a     332     469      43
a     134      67       4
a       3      29      75
a     123     435      76
a      88      10       8
a     227     226      89
a      68      87      82
a     187     120      57
a     393     480      57
a     259     292      72
a     409     344      64
a      75     132      50
a     173     182       3
a     397     237      94
a     342     279      32
a     127     419      27
a     150     167      59
a     255      85      32
a     235     191      23
a       5     241      48
a      16     259      23
a      83     484      34
a       4       3      58
a      15     116      17
a      28      58      21
a     480     126      78
a     493     479      18
a      11      19      90
a       6      15      94
a     230     125      83
a       1      10      16
a     190     139      17
a      69     379       5
a     397     489      86
a     152     434      95
a       7       6      36
a      56     233      38
a     355     118      36
a       1     442      72
a      53     400      19
a     473      51       6
a       3       7      21
a      20     316      21
a      31      93      23
a     317     310     100
a     473     437      47
a     238     198      73
a      18      16      48
a      61     217      19
a      32      38      89
a     125      76      36
a      39     388       2
a     382     488      84
a     220     497      95
a       3       1      22
a       8     322      53
a     145     178      71
a      66     403      55
a     163     209       3
a     222     473      48
a     480     330      50
a      90     125      48
a      47       1      37
a     134     137      77
a     431     197      65
a     422     268      84
a      29       3      16
a     124     156      10
a     172     411      75
a      75     154      25
a     252      96      89
a     465     353      73
a     266     274      48
a     180      28       7
a     221     307      48
a      18     232      84
a      88      21       4
a     300     186      80
a       6     404      13
a      26     418      83
a      88     373      44
a     102       4      89
a       2      14      66
a      95      56      14
a     492      87      23
a      13      23       7
a       2       6      38
a      18      25      83
a     179     215      99
a     258     219      31
a     242     415      56
a     272      44       2
a     337     224      11
a      54      19      26
a     213     171      80
a     434     253      90
a       9      12      85
a     447      93      53
a     155     184     100
a       8     122      48
a     271       2      18
a     429     137      90
a      32     485       2
a     483      24       6
a      39     100      42
a      25     118      62
a      82     211      47
a      76     138      81
a     213       4      53
a     296      40      43
a     172     112      82
a     382      99      14
a      57     142      41
a     216      50      71
a     354      95      14
a     291     375      57
a      11      15      18
a     220     136       1
a      25     121      58
a     299     111      46
a      54     406      34
a     460     154      89
a      25      36      11
a      44     257      98
a      83      27      38
a     194     428      34
a      87       8      81
a     452     395      44
a     260     398      53
a      72      87      46
a      22      42      76
a     115     100      99
a     150     321      66
a     244     243      14
a      17      92      58
a     292     172      69
a       3      26      87
a      47      31      61
a     102     397      44
a     463     413      23
a     322      76      57
a     278     268       2
a      20      31      69
a      48      42      18
a     449     217      61
a     306     403      53
a      72      84      48
a     420     473      25
a      22     145      97
a      17      22      24
a      48     140      69
a      64      21       3
a      66     226      92
a     233     234      69
a       3      55       9
a     280     214      85
a      40      33      16
a       5      20       2
a     484      71      72
a      27     134       3
a     128      15       2
a     348     231      92
a      24      48      63
a     356      13      76
a     260      19      44
a     454      78      80
a      98     175      87
a     314      12      10
a     306     395      27
a     319      43      46
a     167     379      55
a      23      37       8
a     240     183      91
a     279     146      32
a     149     246      86
a      24     296       9
a     130      32      37
a      12     116      35
a       6     228      97
a     225      25      97
a     451     115      14
a     500     275      23
a     332     147      15
a      18     153      34
a      22      84      73
a     208      77      55
a      57      58      16
a     105      11      78
a       1     330      43
a     472      31      45
a     386     136      29
a     373     269      24
a       1      57      28
a     286     123      70
a      61     466       7
a     249      65      87
a     250     402      79
a     206      27      44
a     118     148      64
a      20      25      36
a      74     469      99
a     226     223      70
a      69     382      63
a     206      10      10
a     163      18      72
a       6     102      22
a     251     171      36
a     334     407      65
a     314     233      53
a     108     149      39
a      81     121      67
a     297      71      30
a     185     273      32
a     245     305      70
a      92     255       6
a     430     106      79
a      56      72      96
a       6      65      16
a      94     139      35
a     143     351      94
a     322     442      48
a       4       5      90
a      72     266      51
a      21      22      50
a     168     404      13
a     117     239      53
a     376     130      12
a      63     225      40
a     404     419      68
a     107     125      76
a     114     283      78
a      62      69      10
a      51      95      79
a     126     411      34
a     377     122      80
a     407     172      44
a     187     299      46
a     187     326      68
a       2      16      56
a     138     304       4
a     481      28      31
a      70      12      20
a      19      25     100
a     422     421      56
a      66     400      86
a       8      50      19
a     412      79      64
a     142     356      77
a     328      58      38
a     490     143      23
a       6     148      38
a      28      24      49
a     386     397      25
a      38      87      87
a      40     199      25
a     271     246      30
a      14      20      19
a      11      27      21
a      62      10      55
a     264      11      81
a     474     142      86
a      54      56      94
a     265     237      89
a     192     404      51
a     257     449      82
a      11      18       3
a      27      92      63
a     233     164      87
a     305     326      28
a     437     162      27
a       5       3      74
a      46     118      82
a      40     172      44
a      14     209      73
a      23     232      53
a      46     326      61
a       9      10      30
a      25      30      24
a     208      26      44
a     448     114      10
a     238     382      64
a      10      79      69
a      20      38      31
a     174      15      52
a     231     371       4
a      70      76      95
a     151       1      97
a      83      15      75
a     259     492      55
a     294     351      22
a      26      92      14
a     206     197      29
a     180     188      81
a     219      51      87
a     259     186      74
a     253     115       2
a      20      60      51
a      17      21      46
a      27      29      17
a      87     353      77
a     421     473      25
a      12      14      72
a     349     212       4
a     451     373      19
a      15      73      41
a      97      29      47
a     170      95      81
a     339     123       7
a      87     430      54
a       4       9      73
a      65      82      14
a     390     227       3
a     161      56      64
a       3     176      76
a     489     291      61
a     308     319      45
a       2      84      29
a     390     166      91
a     483     150      30
a     453     441      43
a     191     133      37
a      85      56      76
a     314      69      90
a     271      37      41
a       8      19      30
a      44      51      78
a      44     120      44
a     430     282      24
a     447     408      11
a      26      39      27
a     106      35      57
a      67     344       2
a      73     219      15
a     125     325      80
a     220     146      93
a      23      45      80
a      13       5      65
a     197     127      69
a     250     139      19
a     157     390       3
a      59     119      26
a     427      15      81
a     445     500      21
a      45     272     100
a     311      84      70
a     353     409      50
a     326     215      92
a     310     441      49
a      84      90      64
a      99      16      37
a     259     340      84
a     481     469      82
a     343      91      53
a     444       7      62
a       7      33      39
a      73      38       3
a      55     221      49
a     105      81      10
a     228     129      47
a      22      74      29
a      84     104      46
a     479      37      16
a      14      17      55
a      75      21      67
a     403     451      95
a     129     124      92
a     372     198      43
a       2      18      41
a      20     318      53
a     352     214      86
a     398       3      12
a     231      34      84
a      91      96      98
a       1      20      83
a      45      18      55
a      27     132      68
a     334     439      73
a     475     187      21
a      26       3      18
a     323     415      37
a      20      22       2
a     397     497      81
a       4      44      12
a      14     164      56
a     370     443      10
a     183      44      58
a       9     180      27
a      54     123      63
a     360      30      25
a     350     183      59
a      16     231       7
a     496      80      80
a     311     421      75
a       7      37      72
a      94      20      45
a      57      63      22
a     448     392      55
a      26      66      14
a     345     399      49
a     192     184      66
a     143      10      37
a     145     446      76
a       9      34      52
a     107       8      44
a     102     460      89
a      13     253      74
a     136     413      87
a      32      59       5
a      13     170      35
a     200     460       1
a     152     246      52
a     483     391      23
a     420     462      69
a      12      25      18
a       4       1      65
a     322     120      21
a     390     249      64
a      34     484      84
a      82     227       9
a     470     273      14
a     435     433       4
a       1       5      78
a     130     221      21
a     121     228      29
a     215     289      57
a     193     389      93
a      21      63      41
a      88     194      11
a     425     212      53
a     107     324      97
a     456     461      52
a     280     119       6
a      29     215      50
a     134     195      35
a     244     133      16
a     156     276      76
a      36     130      65
a      34     353      30
a       8      20      70
a      36      69      23
a     103      18      99
a     226      82      93
a      59     311      85
a     398      99      87
a     387     128      17
a      59     253      99
a     348     343      73
a     118     215       1
a       4      13      54
a     491      49      94
a     139     376      37
a       6      26      89
a     365      39      84
a      81      46      25
a     407      87      28
a     360      84       2
a      28     111      29
a     376      39      53
a      26     318       4
a       1      35      11
a      68     165      35
a     492     206      15
a     199     432      81
a     113     312      98
a      71     117      69
a     390     200      64
a     423     234      64
a     164     476      14
a     119     227      54
a      68     336      54
a      28      89      27
a      90      43       5
a     183     122      38
a     129      45      71
a      51     109      54
a     142      21      71
a     438     343      40
a      44       1       8
a      77     154      65
a     205       3      40
a     434       8      84
a     427     490      64
a     262      86      25
a     264     467      93
a      61     222      80
a      75     311      17
a     362     446       3
a      49      53      75
a     480     338      17
a     419     421      49
a      56     121      87
a     316      84      33
a     359     227      94
a     130     160      80
a     176     123      15
a     205     312     100
a       2      38      57
a      97      15      94
a     374     240       7
a      14      32      51
a      33     226      37
a     371     274      72
a      36     240      46
a     408     170      58
a       2       4      18
a      31      67      73
a     272     234      26
a       4     124      13
a      18     368      72
a     347     175      74
a      20      14      91
a      12     168      36
a      12      70      49
a     167     412      67
a     189     158       1
a      46      43       8
a     196     325       3
a     145     352      73
a     175     497       4
a       2     285      11
a      37     310      64
a      28     389       9
a     489     389      61
a     190     175      17
a       2      30      78
a     209      90      19
a     147       8      56
a      18      62      86
a      86     137      51
a      91     402      36
a       5      10       9
a       8     189      73
a      83      60      61
a     157     237      25
a     398     433      40
a      36      54      63
a      21      29      75
a     184     126      47
a      35      48       1
a      57     175      77
a      77     374      51
a      91     263      13
a     216      16      70
a       7      15      34
a      40     360      77
a     365     437      77
a      65     288      64
a     497     133      38
a       4     262      93
a      97     234      67
a     383      63      94
a     242     412      85
a     258     180      53
a      82     307      69
a     488     391       9
a      15      51      68
a     164      31      81
a     254     209       2
a     200     413      47
a      88     162      91
a       5       1      43
a      30     355      30
a     100     372      38
a     301     325      51
a       4      30      92
a      11       1      64
a     327      97      24
a       8     340      61
a       8     470      27
a      71     119      49
a     258     195      86
a      35     321      29
a      58      61      51
a      68       1      91
a      73     338      70
a      20      18      71
a     354     256      82
a      10      38      51
a      38     446      18
a      85     299      34
a     499      78      73
a     236     377      21
a       2      10      98
a      53     166     100
a     155     189      19
a      19     319      59
a     498      57      19
a     404     208      93
a       4       2       8
a      24      29      88
a      39      84      72
a     395     429      97
a     224      28      53
a     177     219      24
a     230     236      27
a     238     398      12
a      95     136      66
a     154      68      16
a     143       3      66
a     168     108      33
a      69     375       4
a       3      48      52
a     126       3      60
a     161     371      96
a      89     351      80
a     381     181      35
a     124     186      86
a       1      47      21
a     158      42      40
a      75     142       1
a     453     313      63
a     146      78      49
a      19     153      77
a     152      57      60
a      17      85      41
a       4      35      31
a      95      52      76
a     457     285      20
a      75     114      18
a      12      11      99
a      79      21      38
a     279     276      88
a     447     479      61
a      90     474      54
a       7      21      50
a      77     116      59
a     121      81      87
a     123       3       8
a     141     452      13
a     153      17      22
a      18      63       3
a      82      32      98
a     182      99       7
a      19     240      34
a      21      53      97
a      68      84      72
a     442      84      76
a      28     268      90
a      94     330      89
a       4       8      76
a      12      78      11
a      90     155      86
a     411     447      70
a      15      34      82
a     368      60      52
a      44      60      38
a      68     113      85
a     479     382      40
a     128     430      57
a      58     376      45
a     155     271      41
a     364     153      91
a     401     485      32
a      64      13      32
a      41      22      57
a       9      55      55
a      62      86      25
a     252      84      77
a     472     137       5
a      15      83       6
a      22      20      59
a      32      23      45
a     347     493      31
a       5     453       7
a     313     294      94
a     211     200      22
a      15      49      90
a      38      73       8
a     113     476      28
a     350     120      22
a       4      12      49
a      12     138      89
a     142      28      54
a      75     325      45
a       2      55      15
a     207     460      57
a     362     331       2
a     428     483      53
a     478     291      89
a     202     251      27
a     285      84      24
a     204     188      27
a     453     361      26
a     392     301      23
a     397      80      37
a      27     103       7
a     144     272      57
a     164     109      11
a     311      42      86
a      78     315      91
a      12      19      29
a     294      19      10
a      12      30      15
a       8      29      12
a     123      76      82
a     222     183      96
a     293       8      96
a     409     126      24
a      52      82      25
a     134     146       7
a     343     158      19
a      59     231      78
a      80     287      12
a     165     387      35
a     238     460      41
a      50     212      16
a      67      20      31
a     151     451      24
a     206      49      95
a       9      51      59
a     289     264      55
a     477     119      48
a     428       1      81
a     335     198      82
a      25      43      79
a     147       1      16
a      45     209      59
a     296     357      70
a     166     335      47
a      29      38      39
a     158     256      24
a     104     433      26
a      18      20       4
a     368      32      75
a     221     425      38
a     169      13      27
a       1       6      33
a     327     453      89
a     131      10      94
a     256     164      83
a     177     170      15
a     266     362      89
a      56      39      99
a     107      45      99
a     396     340      71
a       1      14      48
a      34      44      23
a      38      68      99
a      51     444      97
a      40     482     100
a       6      21      82
a     164      66      77
a      40      47      50
a     135     351      56
a     215     483      50
a     287     341       3
a     112     171      67
a      70       1      70
a     190     354      94
a      11      65      98
a     149     236      65
a     396      94     100
a      92     236      83
a      69      82      80
a      85      88      37
a     147     322      88
a      13     454      90
a     376     313      47
a      25      32      73
a       2     189      56
a     313     376      18
a      56     148      84
a     327      15      88
a     477     343       6
a      37     308      97
a     182     142       3
a       8      11      54
a      28     246      48
a     116     294      58
a     246     319      98
a      41     370      82
a     420     301      67
a     124     301      63
a      16      40      62
a     100      69      77
a     143      93      98
a     102     320      85
a      46     435      74
a      33      73      49
a      71     250      23
a     386     267       9
a      87      25      42
a     153     106      90
a     441       4      69
a       5      11      31
a       5      34      19
a     383     167      55
a     401      49      77
a     311      47      29
a     276     112      28
a     147     344      54
a     106     128      45
a       4      15      68
a      30      38      72
a      39      17      46
a     164     221      67
a      52      85      38
a       7       9      23
a      85     154      58
a     124     322      46
a     254      58       1
a     488     283      49
a     250     190      30
a      39      68      42
a      53      62      23
a      45      29      32
a     361     269      46
a     330       9      25
a       3      33      21
a      68     195      31
a      44     307      80
a       5       9      11
a      18      99      28
a     157     427      65
a      73     279      35
a     187     500      98
a      19      39      37
a     127     218      90
a     113      17      57
a     402     348      72
a      45     474      42
a     147       5       4
a      15      38      21
a      30     301      32
a      46      17      86
a      29     112      30
a       6       5      35
a     377     433      67
a     207     264      25
a       7       3      32
a      18      97      62
a     155     148       6
a       6     242      17
a     127     112      24
a       2      25      80
a      54     278      80
a     239     453      22
a      59      32      45
a      35      60      83
a      62     259      63
a     478      25      34
a     180      11      34
a      30      91      80
a     181      23      60
a     269     287      18
a     173     286      10
a       8      30      84
a     238     218      17
a     183     173      68
a       6       2      89
a      12     345      42
a     212     473      27
a     220     436       4
a      91      65      53
a      57     208      75
a       1      75      91
a     105      93      27
a     304     106      40
a      28      45      40
a     411     229      64
a      23      15      30
a      16       2      32
a     243      77      94
a     234      99      45
a      75     170      43
a      86      62      51
a     261      22      37
a      57      42       6
a      17     126      33
a     191      57      57
a      56     101      77
a       9       4      67
a     157     171      55
a     311     404      36
a      11     100      43
a       1       8      16
a     209     125      88
a     458     398      27
a      99       6      96
a     106      26      77
a      93     287      18
a       5       8      63
a     172     209      60
a      38      16      59
a     260      46       8
a     189      99      89
a       4      26      30
a     236      97      83
a     194      19      59
a      31      37      93
a      43       2      71
a     324     347      11
a      44      17      22
a     185      59      75
a      34      59      48
a     268     197      85
a      99     135      76
a      46       5      86
a      27     180      85
a      36     327      27
a      98     295      62
a      11      24       6
a      51      40      24
a     341      47      81
a     374     432      68
a     352     476      67
a      63      87      98
a      14       6      17
a     289      14      19
a     138     342       6
a      46      71      42
a     262      10      92
a     119     110      90
a     150     453      43
a     437      83      12
a     238     247      98
a     105     110       2
a     164     173      82
a      42     103      18
a     103     416      33
a      56     247      32
a      36      42      25
a      52      87      53
a     279      89      35
a     334     178      92
a      92      43      17
a      28       9      88
a      98     289      44
a     319     455      29
a       8     101      81
a      11      14      12
a      66     348      99
a     212     123       9
a      33      39      49
a     377      85      73
a     219     260      70
a      11       4      26
a     367     360      96
a     104     268      40
a       4     164      59
a       4     481      27
a     370      63       3
a     353     152       1
a      44      54      25
a      76      48      17
a     465     304      85
a      37     192      47
a       2      24      47
a      97     375      13
a     229     412      56
a     192     400      68
a      14     482      69
a     215     120      87
a       3      52      88
a       7     114      38
a     208     281      46
a     130     157      29
a       7     364       7
a     222     440      98
a     296     250      64
a       3       6      75
a      22       8      88
a     213     203      30
a     437     301      71
a     117      50      52
a      13      32      22
a     166     122      67
a     490      88       5
a      84     196      27
a     236      31      64
a     297     149      60
a     438     234      24
a     128     487      23
a      84     105      46
a     118      83       9
a      62      72      17
a     164     202      40
a      41     442      11
a      95     447       2
a     165     256      99
a       6      36      21
a       7      42      52
a      27     246       3
a       5      76      28
a       5     183      90
a     318     346      87
a     400     117      24
a     406     396      59
a      50      54      15
a     207      25      34
a      78     203      19
a     412      16      21
a     478     153      33
a      94     167      89
a     161       1      17
a     189     272      33
a     134      59      63
a     461     347       4
a     292     318       6
a      41      88      91
a      37      79      49
a      18     118      17
a      97     306      42
a     130      90      26
a      25     394      94
a     197     101      13
a     359     151      73
a     453     149      71
a       8      12      79
a     103     115      90
a      14     103      80
a     205     239      36
a     306     251      53
a     445     119      74
a      36      43      11
a     354     183      26
a      20      62      42
a      97      51      25
a     235      80       7
a     353     335      47
a     216     424       8
a     297     465      70
a      56     452      62
a     285     185      42
a     392     217      91
a       4     247      83
a       8     491       2
a     320      93      41
a     148      44      37
a      23      76      55
a      60      95      14
a     137      62      75
a     459     114      98
a     296     500       6
a      54     203      47
a     245     262      96
a       2      60      99
a     216     186      61
a     445     437      15
a     288     404      57
a     310      51      43
a      13     193      97
a     239     414      23
a     242     193       6
a     428     464      59
a      22      32       3
a      23      90      82
a      43     231       3
a       7       4      12
a      99     117      89
a     124      48      86
a     158     389      93
a     267     499      92
a      10      23      57
a     144      24       4
a     185     172      50
a       8     316      54
a      25     464      19
a     146     213      67
a      13      64      11
a      11      20      55
a      28     127      34
a     116      90       2
a       4       7      32
a       6       3      57
a       9     413      45
a      50     467      79
a     352     109      23
a      24      35      80
a       8      10      29
a      21     341      23
a     373     392      93
a      75     402      51
a     148     178      78
a     433     376      56
a     467     372      24
a     119      95      30
a     326     145      14
a     265     150      95
a     253     104     100
a     234      98      35
a     210     296       5
a     145      42      13
a     239     246      36
a      19      24      89
a      88       3      90
a     224       3      25
a     350     450      55
a      93      34      11
a     496     429      26
a      12     133      26
a      23     173       3
a      78     450      58
a      24      81      69
a      36     442      36
a     190     297      48
a      25      27      49
a      23     238      51
a      48     211     100
a     175     452      54
a     156     450      24
a     156     174      13
a      22     105      69
a     187     131      62
a     159     304      83
a      51     121      58
a     125      71      57
a     224     249      87
a     427     101      30
a     440     487      76
a      41      58      28
a     208      45      73
a     320     256      47
a      23     138      66
a      36     152      62
a      59     372      75
a      86     313      84
a      77     189      13
a      97     157      32
a     423      64      17
a     476     119      25
a      38     397      88
a     248     269      61
a     492     148      67
a     210     202      40
a      23      13      80
a       8      23      44
a     147     173       1
a      52      30      27
a      71      34      42
a     160      14      20
a       2      44      75
a     213     273      78
a      38      91      31
a      91      10      40
a     202      10       2
a     115     341      78
a     151     490      32
a     264      92      77
a     485     116       6
a      23      63      43
a       1      38      35
a     154     252      27
a     330     494      22
a      69     110      20
a      80      89      44
a     131      70       4
a       9     169       1
a      78     297      71
a     131      56      37
a     115     160      89
a     349      71       3
a     476     360      88
a      88     148       4
a     253     100      49
a     337     227      78
a     270     180      23
a     161      53      70
a      21      30      60
a      46       4       4
a      49     150      12
a     437     127       5
a     178       2      19
a     376      12      76
a      29     296      17
a      12     134      56
a      23      28      70
a      47      74      68
a     402     152      81
a     199     239      72
a      11      47      80
a      29     150      21
a       2       8      93
a      14      83      23
a      67      83      56
a     397     273      56
a     127     296       4
a     307     164      62
a     398     195      68
a     192     285      33
a      25     482      70
a     158     106      77
a      10      13      42
a      51     204      14
a      62     436      67
a     241     308       7
a     399     190      10
a     458     224      79
a      48      30      26
a       4     142      52
a     384     394      98
a       8       4      41
a      13     136      48
a     219     318      72
a      47     113      18
a     326      83      54
a      91     131      33
a     392     144      36
a     453     229      71
a      10     394      19
a      16      20       3
a      92     179      71
a     230     119      55
a      32      37      99
a      37      93       1
a     281     362      11
a      15       6      20
a     245      12      57
a     236     477      80
a      13      14      52
a     471     394      36
a       7       1      70
a       8     168      81
a     221     282      37
a     290     368      68
a      76     436      95
a       8     149      78
a     103     292      97
a     105     112      58
a      60      19      80
a      20      44      20
a      84      55      30
a     140     122      83
a     220     170      95
a      51      71      81
a      15      18      40
a     158      11      75
a     165     375      45
a     219     344      36
a      84     199      68
a     235     199      70
a      24      28      17
a      82     393      62
a      70     376      80
a      83     402      40
a     143     184      84
a      19      42       4
a      70     366      67
a     290      58      10
a     170     452      24
a      10       3      61
a      26     218      27
a     248     357      28
a     203      35      65
a     471     292      46
a     216     230      32
a     352     144      73
a     499     339      26
a      63      52      71
a       4      27       5
a     310     456      90
a     285     391      53
a      84     379      22
a     220     345       8
a     208     417      85
a     295      98      64
a       9       1      85
a      97     206      33
a     359      90       6
a     273      11      32
a     499     434      46
a       7      86      15
a     175       5      39
a     126      21      58
a      30     371      54
a      22     176      60
a     117     129      95
a       4     291      65
a     258      25      41
a      31     159      53
a      88     157      71
a     159     357      69
a     321     303      44
a     303      68       8
a     125     149      77
a     254     477      51
a      13     141      95
a      84     145       7
a     160     253       6
a     194     111      90
a      10      12      72
a      20     212      59
a     459     167      24
a     273     286      23
a     153     192      90
a     150     187      31
a     290      90       1
a      69     434      60
a      39      51      84
a     138      11      77
a     191     304      27
a      23      43      14
a      94       4      69
a      50     296      35
a     154     269      25
a      15      42      70
a     494      43      66
a      33     184      73
a       4     106      88
a     209      78      11
a     307      86      43
a     346     264      77
a     421     229      42
a      44      97      14
a     101     242      69
a     167     486      95
a     247     395       2
a      32     162      25
a     270      39      26
a     322     310      72
a      13     238       4
a      16      22      44
a     141     396      15
a     153     305      47
a     500     435      53
a     344     131      37
a      33      77      99
a     477      10      64
a     176     271      28
a      19     106      84
a     132     310      53
a     293     191      55
a     417     397      39
a     421     177      94
a       3      34      52
a      44     134      70
a     217     164      18
a     298     138     100
a     385     446      95
a     289     396      14
a       2      11      11
a     174      30      92
a     127     134      38
a       5     115      26
a      97     142       8
a     477     308      79
a     229     464      32
a       2      39      36
a      95     373      84
a     424      39      12
a     453      82      30
a      14     283      24
a      13      55      85
a     102      74      66
a     492     303      15
a      16     312      36
a     463     346      29
a      31     226      87
