#####################################################################
# Copyright (c) 2009, International Business Machines Corporation and
# others. All Rights Reserved.
#####################################################################

###################
# This file was generated from RFC 3454 (http://www.ietf.org/rfc/rfc3454.txt)
# Copyright (C) The Internet Society (2002).  All Rights Reserved. 
###################

###################
# WARNING: This table is generated by filterRFC3454.pl tool with
# options: --sourcedir=. --destdir=out --src-filename=rfc3454.txt --dest-filename=rfc3491.txt --A1 --B1 --B2 --C12 --C22 --C3 --C4 --C5 --C6 --C7 --C8 --C9 --normalize --check-bidi 
###################

@normalize;;
@check-bidi;;

# This table contains code points from Table A.1 from RFC 3454

0221; ; UNASSIGNED
0EBA; ; UNASSIGNED
0EBE..0EBF; ; UNASSIGNED
0EC5; ; UNASSIGNED
0EC7; ; UNASSIGNED
0ECE..0ECF; ; UNASSIGNED
0EDA..0EDB; ; UNASSIGNED
0EDE..0EFF; ; UNASSIGNED
0F48; ; UNASSIGNED
0F6B..0F70; ; UNASSIGNED
0F8C..0F8F; ; UNASSIGNED
0F98; ; UNASSIGNED
0FBD; ; UNASSIGNED
0FCD..0FCE; ; UNASSIGNED
0FD0..0FFF; ; UNASSIGNED
1022; ; UNASSIGNED
1028; ; UNASSIGNED
102B; ; UNASSIGNED
1033..1035; ; UNASSIGNED
103A..103F; ; UNASSIGNED
105A..109F; ; UNASSIGNED
10C6..10CF; ; UNASSIGNED
10F9..10FA; ; UNASSIGNED
10FC..10FF; ; UNASSIGNED
115A..115E; ; UNASSIGNED
11A3..11A7; ; UNASSIGNED
11FA..11FF; ; UNASSIGNED
1207; ; UNASSIGNED
1247; ; UNASSIGNED
1249; ; UNASSIGNED
124E..124F; ; UNASSIGNED
1257; ; UNASSIGNED
1259; ; UNASSIGNED
125E..125F; ; UNASSIGNED
1287; ; UNASSIGNED
1289; ; UNASSIGNED
128E..128F; ; UNASSIGNED
12AF; ; UNASSIGNED
12B1; ; UNASSIGNED
12B6..12B7; ; UNASSIGNED
12BF; ; UNASSIGNED
12C1; ; UNASSIGNED
12C6..12C7; ; UNASSIGNED
12CF; ; UNASSIGNED
12D7; ; UNASSIGNED
12EF; ; UNASSIGNED
130F; ; UNASSIGNED
1311; ; UNASSIGNED
1316..1317; ; UNASSIGNED
131F; ; UNASSIGNED
1347; ; UNASSIGNED
135B..1360; ; UNASSIGNED
137D..139F; ; UNASSIGNED
13F5..1400; ; UNASSIGNED
1677..167F; ; UNASSIGNED
169D..169F; ; UNASSIGNED
16F1..16FF; ; UNASSIGNED
170D; ; UNASSIGNED
1715..171F; ; UNASSIGNED
1737..173F; ; UNASSIGNED
1754..175F; ; UNASSIGNED
176D; ; UNASSIGNED
1771; ; UNASSIGNED
1774..177F; ; UNASSIGNED
17DD..17DF; ; UNASSIGNED
17EA..17FF; ; UNASSIGNED
180F; ; UNASSIGNED
181A..181F; ; UNASSIGNED
1878..187F; ; UNASSIGNED
18AA..1DFF; ; UNASSIGNED
1E9C..1E9F; ; UNASSIGNED
1EFA..1EFF; ; UNASSIGNED
1F16..1F17; ; UNASSIGNED
1F1E..1F1F; ; UNASSIGNED
1F46..1F47; ; UNASSIGNED
1F4E..1F4F; ; UNASSIGNED
1F58; ; UNASSIGNED
1F5A; ; UNASSIGNED
1F5C; ; UNASSIGNED
1F5E; ; UNASSIGNED
1F7E..1F7F; ; UNASSIGNED
1FB5; ; UNASSIGNED
1FC5; ; UNASSIGNED
1FD4..1FD5; ; UNASSIGNED
1FDC; ; UNASSIGNED
1FF0..1FF1; ; UNASSIGNED
1FF5; ; UNASSIGNED
1FFF; ; UNASSIGNED
2053..2056; ; UNASSIGNED
2058..205E; ; UNASSIGNED
2064..2069; ; UNASSIGNED
2072..2073; ; UNASSIGNED
208F..209F; ; UNASSIGNED
20B2..20CF; ; UNASSIGNED
20EB..20FF; ; UNASSIGNED
213B..213C; ; UNASSIGNED
214C..2152; ; UNASSIGNED
2184..218F; ; UNASSIGNED
23CF..23FF; ; UNASSIGNED
2427..243F; ; UNASSIGNED
244B..245F; ; UNASSIGNED
24FF; ; UNASSIGNED
2614..2615; ; UNASSIGNED
2618; ; UNASSIGNED
267E..267F; ; UNASSIGNED
268A..2700; ; UNASSIGNED
2705; ; UNASSIGNED
270A..270B; ; UNASSIGNED
2728; ; UNASSIGNED
274C; ; UNASSIGNED
274E; ; UNASSIGNED
2753..2755; ; UNASSIGNED
2757; ; UNASSIGNED
275F..2760; ; UNASSIGNED
2795..2797; ; UNASSIGNED
27B0; ; UNASSIGNED
27BF..27CF; ; UNASSIGNED
27EC..27EF; ; UNASSIGNED
2B00..2E7F; ; UNASSIGNED
2E9A; ; UNASSIGNED
2EF4..2EFF; ; UNASSIGNED
2FD6..2FEF; ; UNASSIGNED
2FFC..2FFF; ; UNASSIGNED
3040; ; UNASSIGNED
3097..3098; ; UNASSIGNED
3100..3104; ; UNASSIGNED
312D..3130; ; UNASSIGNED
318F; ; UNASSIGNED
31B8..31EF; ; UNASSIGNED
321D..321F; ; UNASSIGNED
3244..3250; ; UNASSIGNED
327C..327E; ; UNASSIGNED
32CC..32CF; ; UNASSIGNED
32FF; ; UNASSIGNED
3377..337A; ; UNASSIGNED
33DE..33DF; ; UNASSIGNED
33FF; ; UNASSIGNED
4DB6..4DFF; ; UNASSIGNED
9FA6..9FFF; ; UNASSIGNED
A48D..A48F; ; UNASSIGNED
A4C7..ABFF; ; UNASSIGNED
D7A4..D7FF; ; UNASSIGNED
FA2E..FA2F; ; UNASSIGNED
FA6B..FAFF; ; UNASSIGNED
FB07..FB12; ; UNASSIGNED
FB18..FB1C; ; UNASSIGNED
FB37; ; UNASSIGNED
FB3D; ; UNASSIGNED
FB3F; ; UNASSIGNED
FB42; ; UNASSIGNED
FB45; ; UNASSIGNED
FBB2..FBD2; ; UNASSIGNED
FD40..FD4F; ; UNASSIGNED
FD90..FD91; ; UNASSIGNED
FDC8..FDCF; ; UNASSIGNED
FDFD..FDFF; ; UNASSIGNED
FE10..FE1F; ; UNASSIGNED
FE24..FE2F; ; UNASSIGNED
FE47..FE48; ; UNASSIGNED
FE53; ; UNASSIGNED
FE67; ; UNASSIGNED
FE6C..FE6F; ; UNASSIGNED
FE75; ; UNASSIGNED
FEFD..FEFE; ; UNASSIGNED
FF00; ; UNASSIGNED
FFBF..FFC1; ; UNASSIGNED
FFC8..FFC9; ; UNASSIGNED
FFD0..FFD1; ; UNASSIGNED
FFD8..FFD9; ; UNASSIGNED
FFDD..FFDF; ; UNASSIGNED
FFE7; ; UNASSIGNED
FFEF..FFF8; ; UNASSIGNED
10000..102FF; ; UNASSIGNED
1031F; ; UNASSIGNED
10324..1032F; ; UNASSIGNED
1034B..103FF; ; UNASSIGNED
10426..10427; ; UNASSIGNED
1044E..1CFFF; ; UNASSIGNED
1D0F6..1D0FF; ; UNASSIGNED
1D127..1D129; ; UNASSIGNED
1D1DE..1D3FF; ; UNASSIGNED
1D455; ; UNASSIGNED
1D49D; ; UNASSIGNED
1D4A0..1D4A1; ; UNASSIGNED
1D4A3..1D4A4; ; UNASSIGNED
1D4A7..1D4A8; ; UNASSIGNED
1D4AD; ; UNASSIGNED
1D4BA; ; UNASSIGNED
1D4BC; ; UNASSIGNED
1D4C1; ; UNASSIGNED
1D4C4; ; UNASSIGNED
1D506; ; UNASSIGNED
1D50B..1D50C; ; UNASSIGNED
1D515; ; UNASSIGNED
1D51D; ; UNASSIGNED
1D53A; ; UNASSIGNED
1D53F; ; UNASSIGNED
1D545; ; UNASSIGNED
1D547..1D549; ; UNASSIGNED
1D551; ; UNASSIGNED
1D6A4..1D6A7; ; UNASSIGNED
1D7CA..1D7CD; ; UNASSIGNED
1D800..1FFFD; ; UNASSIGNED
2A6D7..2F7FF; ; UNASSIGNED
2FA1E..2FFFD; ; UNASSIGNED
30000..3FFFD; ; UNASSIGNED
40000..4FFFD; ; UNASSIGNED
50000..5FFFD; ; UNASSIGNED
60000..6FFFD; ; UNASSIGNED
70000..7FFFD; ; UNASSIGNED
80000..8FFFD; ; UNASSIGNED
90000..9FFFD; ; UNASSIGNED
A0000..AFFFD; ; UNASSIGNED
B0000..BFFFD; ; UNASSIGNED
C0000..CFFFD; ; UNASSIGNED
D0000..DFFFD; ; UNASSIGNED
E0000; ; UNASSIGNED
E0002..E001F; ; UNASSIGNED
E0080..EFFFD; ; UNASSIGNED

# Total code points 3653

# This table contains code points from Table B.1 from RFC 3454

00AD; ; MAP
034F; ; MAP
1806; ; MAP
180B; ; MAP
180C; ; MAP
180D; ; MAP
200B; ; MAP
200C; ; MAP
200D; ; MAP
2060; ; MAP
FE00; ; MAP
FE01; ; MAP
FE02; ; MAP
FE03; ; MAP
FE04; ; MAP
FE05; ; MAP
FE06; ; MAP
FE07; ; MAP
FE08; ; MAP
FE09; ; MAP
FE0A; ; MAP
FE0B; ; MAP
FE0C; ; MAP
FE0D; ; MAP
FE0E; ; MAP
FE0F; ; MAP
FEFF; ; MAP

# Total code points 27

###################
# WARNING: This table is generated by filterRFC3454.pl tool with
# options: --sourcedir=. --destdir=out --src-filename=rfc3454.txt --dest-filename=rfc3491.txt --A1 --B1 --B2 --C12 --C22 --C3 --C4 --C5 --C6 --C7 --C8 --C9 --normalize --check-bidi 
###################

# This table contains code points from Table B.2 from RFC 3454

0041; 0061; MAP
0042; 0062; MAP
0043; 0063; MAP
0044; 0064; MAP
0045; 0065; MAP
0046; 0066; MAP
0047; 0067; MAP
0048; 0068; MAP
0049; 0069; MAP
004A; 006A; MAP
004B; 006B; MAP
004C; 006C; MAP
004D; 006D; MAP
004E; 006E; MAP
004F; 006F; MAP
0050; 0070; MAP
0051; 0071; MAP
0052; 0072; MAP
0053; 0073; MAP
0054; 0074; MAP
0055; 0075; MAP
0056; 0076; MAP
0057; 0077; MAP
0058; 0078; MAP
0059; 0079; MAP
005A; 007A; MAP
00B5; 03BC; MAP
00C0; 00E0; MAP
00C1; 00E1; MAP
00C2; 00E2; MAP
00C3; 00E3; MAP
00C4; 00E4; MAP
00C5; 00E5; MAP
00C6; 00E6; MAP
00C7; 00E7; MAP
00C8; 00E8; MAP
00C9; 00E9; MAP
00CA; 00EA; MAP
00CB; 00EB; MAP
00CC; 00EC; MAP
00CD; 00ED; MAP
00CE; 00EE; MAP
00CF; 00EF; MAP
00D0; 00F0; MAP
00D1; 00F1; MAP
00D2; 00F2; MAP
00D3; 00F3; MAP
00D4; 00F4; MAP
00D5; 00F5; MAP
00D6; 00F6; MAP
00D8; 00F8; MAP
00D9; 00F9; MAP
00DA; 00FA; MAP
00DB; 00FB; MAP
00DC; 00FC; MAP
00DD; 00FD; MAP
00DE; 00FE; MAP
00DF; 0073 0073; MAP
0100; 0101; MAP
0102; 0103; MAP
0104; 0105; MAP
0106; 0107; MAP
0108; 0109; MAP
010A; 010B; MAP
010C; 010D; MAP
010E; 010F; MAP
0110; 0111; MAP
0112; 0113; MAP
0114; 0115; MAP
0116; 0117; MAP
0118; 0119; MAP
011A; 011B; MAP
011C; 011D; MAP
011E; 011F; MAP
0120; 0121; MAP
0122; 0123; MAP
0124; 0125; MAP
0126; 0127; MAP
0128; 0129; MAP
012A; 012B; MAP
012C; 012D; MAP
012E; 012F; MAP
0130; 0069 0307; MAP
0132; 0133; MAP
0134; 0135; MAP
0136; 0137; MAP
0139; 013A; MAP
013B; 013C; MAP
013D; 013E; MAP
013F; 0140; MAP
0141; 0142; MAP
0143; 0144; MAP
0145; 0146; MAP
0147; 0148; MAP
0149; 02BC 006E; MAP
014A; 014B; MAP
014C; 014D; MAP
014E; 014F; MAP
0150; 0151; MAP
0152; 0153; MAP
0154; 0155; MAP
0156; 0157; MAP
0158; 0159; MAP
015A; 015B; MAP
015C; 015D; MAP
015E; 015F; MAP
0160; 0161; MAP
0162; 0163; MAP
0164; 0165; MAP
0166; 0167; MAP
0168; 0169; MAP
016A; 016B; MAP
016C; 016D; MAP
016E; 016F; MAP
0170; 0171; MAP
0172; 0173; MAP
0174; 0175; MAP
0176; 0177; MAP
0178; 00FF; MAP
0179; 017A; MAP
017B; 017C; MAP
017D; 017E; MAP
017F; 0073; MAP
0181; 0253; MAP
0182; 0183; MAP
0184; 0185; MAP
0186; 0254; MAP
0187; 0188; MAP
0189; 0256; MAP
018A; 0257; MAP
018B; 018C; MAP
018E; 01DD; MAP
018F; 0259; MAP
0190; 025B; MAP
0191; 0192; MAP
0193; 0260; MAP
0194; 0263; MAP
0196; 0269; MAP
0197; 0268; MAP
0198; 0199; MAP
019C; 026F; MAP
019D; 0272; MAP
019F; 0275; MAP
01A0; 01A1; MAP
01A2; 01A3; MAP
01A4; 01A5; MAP
01A6; 0280; MAP
01A7; 01A8; MAP
01A9; 0283; MAP
01AC; 01AD; MAP
01AE; 0288; MAP
01AF; 01B0; MAP
01B1; 028A; MAP
01B2; 028B; MAP
01B3; 01B4; MAP
01B5; 01B6; MAP
01B7; 0292; MAP
01B8; 01B9; MAP
01BC; 01BD; MAP
01C4; 01C6; MAP
01C5; 01C6; MAP
01C7; 01C9; MAP
01C8; 01C9; MAP
01CA; 01CC; MAP
01CB; 01CC; MAP
01CD; 01CE; MAP
01CF; 01D0; MAP
01D1; 01D2; MAP
01D3; 01D4; MAP
01D5; 01D6; MAP
01D7; 01D8; MAP
01D9; 01DA; MAP
01DB; 01DC; MAP
01DE; 01DF; MAP
01E0; 01E1; MAP
01E2; 01E3; MAP
01E4; 01E5; MAP
01E6; 01E7; MAP
01E8; 01E9; MAP
01EA; 01EB; MAP
01EC; 01ED; MAP
01EE; 01EF; MAP
01F0; 006A 030C; MAP
01F1; 01F3; MAP
01F2; 01F3; MAP
01F4; 01F5; MAP
01F6; 0195; MAP
01F7; 01BF; MAP
01F8; 01F9; MAP
01FA; 01FB; MAP
01FC; 01FD; MAP
01FE; 01FF; MAP
0200; 0201; MAP
0202; 0203; MAP
0204; 0205; MAP
0206; 0207; MAP
0208; 0209; MAP
020A; 020B; MAP
020C; 020D; MAP
020E; 020F; MAP
0210; 0211; MAP
0212; 0213; MAP
0214; 0215; MAP
0216; 0217; MAP
0218; 0219; MAP
021A; 021B; MAP
021C; 021D; MAP
021E; 021F; MAP
0220; 019E; MAP
0222; 0223; MAP
0224; 0225; MAP
0226; 0227; MAP
0228; 0229; MAP
022A; 022B; MAP
022C; 022D; MAP
022E; 022F; MAP
0230; 0231; MAP
0232; 0233; MAP
0345; 03B9; MAP
037A; 0020 03B9; MAP
0386; 03AC; MAP
0388; 03AD; MAP
0389; 03AE; MAP
038A; 03AF; MAP
038C; 03CC; MAP
038E; 03CD; MAP
038F; 03CE; MAP
0390; 03B9 0308 0301; MAP
0391; 03B1; MAP
0392; 03B2; MAP
0393; 03B3; MAP
0394; 03B4; MAP
0395; 03B5; MAP
0396; 03B6; MAP
0397; 03B7; MAP
0398; 03B8; MAP
0399; 03B9; MAP
039A; 03BA; MAP
039B; 03BB; MAP
039C; 03BC; MAP
039D; 03BD; MAP
039E; 03BE; MAP
039F; 03BF; MAP
03A0; 03C0; MAP
03A1; 03C1; MAP
03A3; 03C3; MAP
03A4; 03C4; MAP
03A5; 03C5; MAP
03A6; 03C6; MAP
03A7; 03C7; MAP
03A8; 03C8; MAP
03A9; 03C9; MAP
03AA; 03CA; MAP
03AB; 03CB; MAP
03B0; 03C5 0308 0301; MAP
03C2; 03C3; MAP
03D0; 03B2; MAP
03D1; 03B8; MAP
03D2; 03C5; MAP
03D3; 03CD; MAP
03D4; 03CB; MAP
03D5; 03C6; MAP
03D6; 03C0; MAP
03D8; 03D9; MAP
03DA; 03DB; MAP
03DC; 03DD; MAP
03DE; 03DF; MAP
03E0; 03E1; MAP
03E2; 03E3; MAP
03E4; 03E5; MAP
03E6; 03E7; MAP
03E8; 03E9; MAP
03EA; 03EB; MAP
03EC; 03ED; MAP
03EE; 03EF; MAP
03F0; 03BA; MAP
03F1; 03C1; MAP
03F2; 03C3; MAP
03F4; 03B8; MAP
03F5; 03B5; MAP
0400; 0450; MAP
0401; 0451; MAP
0402; 0452; MAP
0403; 0453; MAP
0404; 0454; MAP
0405; 0455; MAP
0406; 0456; MAP
0407; 0457; MAP
0408; 0458; MAP
0409; 0459; MAP
040A; 045A; MAP
040B; 045B; MAP
040C; 045C; MAP
040D; 045D; MAP
040E; 045E; MAP
040F; 045F; MAP
0410; 0430; MAP
0411; 0431; MAP
0412; 0432; MAP
0413; 0433; MAP
0414; 0434; MAP
0415; 0435; MAP
0416; 0436; MAP
0417; 0437; MAP
0418; 0438; MAP
0419; 0439; MAP
041A; 043A; MAP
041B; 043B; MAP
041C; 043C; MAP
041D; 043D; MAP
041E; 043E; MAP
041F; 043F; MAP
0420; 0440; MAP
0421; 0441; MAP
0422; 0442; MAP
0423; 0443; MAP
0424; 0444; MAP
0425; 0445; MAP
0426; 0446; MAP
0427; 0447; MAP
0428; 0448; MAP
0429; 0449; MAP
042A; 044A; MAP
042B; 044B; MAP
042C; 044C; MAP
042D; 044D; MAP
042E; 044E; MAP
042F; 044F; MAP
0460; 0461; MAP
0462; 0463; MAP
0464; 0465; MAP
0466; 0467; MAP
0468; 0469; MAP
046A; 046B; MAP
046C; 046D; MAP
046E; 046F; MAP
0470; 0471; MAP
0472; 0473; MAP
0474; 0475; MAP
0476; 0477; MAP
0478; 0479; MAP
047A; 047B; MAP
047C; 047D; MAP
047E; 047F; MAP
0480; 0481; MAP
048A; 048B; MAP
048C; 048D; MAP
048E; 048F; MAP
0490; 0491; MAP
0492; 0493; MAP
0494; 0495; MAP
0496; 0497; MAP
0498; 0499; MAP
049A; 049B; MAP
049C; 049D; MAP
049E; 049F; MAP
04A0; 04A1; MAP
04A2; 04A3; MAP
04A4; 04A5; MAP
04A6; 04A7; MAP
04A8; 04A9; MAP
04AA; 04AB; MAP
04AC; 04AD; MAP
04AE; 04AF; MAP
04B0; 04B1; MAP
04B2; 04B3; MAP
04B4; 04B5; MAP
04B6; 04B7; MAP
04B8; 04B9; MAP
04BA; 04BB; MAP
04BC; 04BD; MAP
04BE; 04BF; MAP
04C1; 04C2; MAP
04C3; 04C4; MAP
04C5; 04C6; MAP
04C7; 04C8; MAP
04C9; 04CA; MAP
04CB; 04CC; MAP
04CD; 04CE; MAP
04D0; 04D1; MAP
04D2; 04D3; MAP
04D4; 04D5; MAP
04D6; 04D7; MAP
04D8; 04D9; MAP
04DA; 04DB; MAP
04DC; 04DD; MAP
04DE; 04DF; MAP
04E0; 04E1; MAP
04E2; 04E3; MAP
04E4; 04E5; MAP
04E6; 04E7; MAP
04E8; 04E9; MAP
04EA; 04EB; MAP
04EC; 04ED; MAP
04EE; 04EF; MAP
04F0; 04F1; MAP
04F2; 04F3; MAP
04F4; 04F5; MAP
04F8; 04F9; MAP
0500; 0501; MAP
0502; 0503; MAP
0504; 0505; MAP
0506; 0507; MAP
0508; 0509; MAP
050A; 050B; MAP
050C; 050D; MAP
050E; 050F; MAP
0531; 0561; MAP
0532; 0562; MAP
0533; 0563; MAP
0534; 0564; MAP
0535; 0565; MAP
0536; 0566; MAP
0537; 0567; MAP
0538; 0568; MAP
0539; 0569; MAP
053A; 056A; MAP
053B; 056B; MAP
053C; 056C; MAP
053D; 056D; MAP
053E; 056E; MAP
053F; 056F; MAP
0540; 0570; MAP
0541; 0571; MAP
0542; 0572; MAP
0543; 0573; MAP
0544; 0574; MAP
0545; 0575; MAP
0546; 0576; MAP
0547; 0577; MAP
0548; 0578; MAP
0549; 0579; MAP
054A; 057A; MAP
054B; 057B; MAP
054C; 057C; MAP
054D; 057D; MAP
054E; 057E; MAP
054F; 057F; MAP
0550; 0580; MAP
0551; 0581; MAP
0552; 0582; MAP
0553; 0583; MAP
0554; 0584; MAP
0555; 0585; MAP
0556; 0586; MAP
0587; 0565 0582; MAP
1E00; 1E01; MAP
1E02; 1E03; MAP
1E04; 1E05; MAP
1E06; 1E07; MAP
1E08; 1E09; MAP
1E0A; 1E0B; MAP
1E0C; 1E0D; MAP
1E0E; 1E0F; MAP
1E10; 1E11; MAP
1E12; 1E13; MAP
1E14; 1E15; MAP
1E16; 1E17; MAP
1E18; 1E19; MAP
1E1A; 1E1B; MAP
1E1C; 1E1D; MAP
1E1E; 1E1F; MAP
1E20; 1E21; MAP
1E22; 1E23; MAP
1E24; 1E25; MAP
1E26; 1E27; MAP
1E28; 1E29; MAP
1E2A; 1E2B; MAP
1E2C; 1E2D; MAP
1E2E; 1E2F; MAP
1E30; 1E31; MAP
1E32; 1E33; MAP
1E34; 1E35; MAP
1E36; 1E37; MAP
1E38; 1E39; MAP
1E3A; 1E3B; MAP
1E3C; 1E3D; MAP
1E3E; 1E3F; MAP
1E40; 1E41; MAP
1E42; 1E43; MAP
1E44; 1E45; MAP
1E46; 1E47; MAP
1E48; 1E49; MAP
1E4A; 1E4B; MAP
1E4C; 1E4D; MAP
1E4E; 1E4F; MAP
1E50; 1E51; MAP
1E52; 1E53; MAP
1E54; 1E55; MAP
1E56; 1E57; MAP
1E58; 1E59; MAP
1E5A; 1E5B; MAP
