#####################################################################
# Copyright (c) 2009, International Business Machines Corporation and
# others. All Rights Reserved.
#####################################################################

###################
# This file was generated from RFC 3454 (http://www.ietf.org/rfc/rfc3454.txt)
# Copyright (C) The Internet Society (2002).  All Rights Reserved. 
###################

###################
# WARNING: This table is generated by filterRFC3454.pl tool with
# options: --sourcedir=. --destdir=out --src-filename=rfc3454.txt --dest-filename=rfc4518.txt --A1 --ldap --C3 --C4 --C5 --C8 --normalize 
###################

@normalize;;

# This table contains code points from Table A.1 from RFC 3454

0221; ; UNASSIGNED
0EC7; ; UNASSIGNED
0ECE..0ECF; ; UNASSIGNED
0EDA..0EDB; ; UNASSIGNED
0EDE..0EFF; ; UNASSIGNED
0F48; ; UNASSIGNED
0F6B..0F70; ; UNASSIGNED
0F8C..0F8F; ; UNASSIGNED
0F98; ; UNASSIGNED
0FBD; ; UNASSIGNED
0FCD..0FCE; ; UNASSIGNED
0FD0..0FFF; ; UNASSIGNED
1022; ; UNASSIGNED
1028; ; UNASSIGNED
102B; ; UNASSIGNED
1033..1035; ; UNASSIGNED
103A..103F; ; UNASSIGNED
105A..109F; ; UNASSIGNED
10C6..10CF; ; UNASSIGNED
10F9..10FA; ; UNASSIGNED
10FC..10FF; ; UNASSIGNED
115A..115E; ; UNASSIGNED
11A3..11A7; ; UNASSIGNED
11FA..11FF; ; UNASSIGNED
1207; ; UNASSIGNED
1247; ; UNASSIGNED
1249; ; UNASSIGNED
124E..124F; ; UNASSIGNED
1257; ; UNASSIGNED
1259; ; UNASSIGNED
125E..125F; ; UNASSIGNED
1287; ; UNASSIGNED
1289; ; UNASSIGNED
128E..128F; ; UNASSIGNED
12AF; ; UNASSIGNED
12B1; ; UNASSIGNED
12B6..12B7; ; UNASSIGNED
12BF; ; UNASSIGNED
12C1; ; UNASSIGNED
12C6..12C7; ; UNASSIGNED
12CF; ; UNASSIGNED
12D7; ; UNASSIGNED
12EF; ; UNASSIGNED
130F; ; UNASSIGNED
1311; ; UNASSIGNED
1316..1317; ; UNASSIGNED
131F; ; UNASSIGNED
1347; ; UNASSIGNED
135B..1360; ; UNASSIGNED
137D..139F; ; UNASSIGNED
13F5..1400; ; UNASSIGNED
1677..167F; ; UNASSIGNED
169D..169F; ; UNASSIGNED
16F1..16FF; ; UNASSIGNED
170D; ; UNASSIGNED
1715..171F; ; UNASSIGNED
1737..173F; ; UNASSIGNED
1754..175F; ; UNASSIGNED
176D; ; UNASSIGNED
1771; ; UNASSIGNED
1774..177F; ; UNASSIGNED
17DD..17DF; ; UNASSIGNED
17EA..17FF; ; UNASSIGNED
180F; ; UNASSIGNED
181A..181F; ; UNASSIGNED
1878..187F; ; UNASSIGNED
18AA..1DFF; ; UNASSIGNED
1E9C..1E9F; ; UNASSIGNED
1EFA..1EFF; ; UNASSIGNED
1F16..1F17; ; UNASSIGNED
1F1E..1F1F; ; UNASSIGNED
1F46..1F47; ; UNASSIGNED
1F4E..1F4F; ; UNASSIGNED
1F58; ; UNASSIGNED
1F5A; ; UNASSIGNED
1F5C; ; UNASSIGNED
1F5E; ; UNASSIGNED
1F7E..1F7F; ; UNASSIGNED
1FB5; ; UNASSIGNED
1FC5; ; UNASSIGNED
1FD4..1FD5; ; UNASSIGNED
1FDC; ; UNASSIGNED
1FF0..1FF1; ; UNASSIGNED
1FF5; ; UNASSIGNED
1FFF; ; UNASSIGNED
2053..2056; ; UNASSIGNED
2058..205E; ; UNASSIGNED
2064..2069; ; UNASSIGNED
2072..2073; ; UNASSIGNED
208F..209F; ; UNASSIGNED
20B2..20CF; ; UNASSIGNED
20EB..20FF; ; UNASSIGNED
213B..213C; ; UNASSIGNED
214C..2152; ; UNASSIGNED
2184..218F; ; UNASSIGNED
23CF..23FF; ; UNASSIGNED
2427..243F; ; UNASSIGNED
244B..245F; ; UNASSIGNED
24FF; ; UNASSIGNED
2614..2615; ; UNASSIGNED
2618; ; UNASSIGNED
267E..267F; ; UNASSIGNED
268A..2700; ; UNASSIGNED
2705; ; UNASSIGNED
270A..270B; ; UNASSIGNED
2728; ; UNASSIGNED
274C; ; UNASSIGNED
274E; ; UNASSIGNED
2753..2755; ; UNASSIGNED
2757; ; UNASSIGNED
275F..2760; ; UNASSIGNED
2795..2797; ; UNASSIGNED
27B0; ; UNASSIGNED
27BF..27CF; ; UNASSIGNED
27EC..27EF; ; UNASSIGNED
2B00..2E7F; ; UNASSIGNED
2E9A; ; UNASSIGNED
2EF4..2EFF; ; UNASSIGNED
2FD6..2FEF; ; UNASSIGNED
2FFC..2FFF; ; UNASSIGNED
3040; ; UNASSIGNED
3097..3098; ; UNASSIGNED
3100..3104; ; UNASSIGNED
312D..3130; ; UNASSIGNED
318F; ; UNASSIGNED
31B8..31EF; ; UNASSIGNED
321D..321F; ; UNASSIGNED
3244..3250; ; UNASSIGNED
327C..327E; ; UNASSIGNED
32CC..32CF; ; UNASSIGNED
32FF; ; UNASSIGNED
3377..337A; ; UNASSIGNED
33DE..33DF; ; UNASSIGNED
33FF; ; UNASSIGNED
4DB6..4DFF; ; UNASSIGNED
9FA6..9FFF; ; UNASSIGNED
A48D..A48F; ; UNASSIGNED
A4C7..ABFF; ; UNASSIGNED
D7A4..D7FF; ; UNASSIGNED
FA2E..FA2F; ; UNASSIGNED
FA6B..FAFF; ; UNASSIGNED
FB07..FB12; ; UNASSIGNED
FB18..FB1C; ; UNASSIGNED
FB37; ; UNASSIGNED
FB3D; ; UNASSIGNED
FB3F; ; UNASSIGNED
FB42; ; UNASSIGNED
FB45; ; UNASSIGNED
FBB2..FBD2; ; UNASSIGNED
FD40..FD4F; ; UNASSIGNED
FD90..FD91; ; UNASSIGNED
FDC8..FDCF; ; UNASSIGNED
FDFD..FDFF; ; UNASSIGNED
FE10..FE1F; ; UNASSIGNED
FE24..FE2F; ; UNASSIGNED
FE47..FE48; ; UNASSIGNED
FE53; ; UNASSIGNED
FE67; ; UNASSIGNED
FE6C..FE6F; ; UNASSIGNED
FE75; ; UNASSIGNED
FEFD..FEFE; ; UNASSIGNED
FF00; ; UNASSIGNED
FFBF..FFC1; ; UNASSIGNED
FFC8..FFC9; ; UNASSIGNED
FFD0..FFD1; ; UNASSIGNED
FFD8..FFD9; ; UNASSIGNED
FFDD..FFDF; ; UNASSIGNED
FFE7; ; UNASSIGNED
FFEF..FFF8; ; UNASSIGNED
10000..102FF; ; UNASSIGNED
1031F; ; UNASSIGNED
10324..1032F; ; UNASSIGNED
1034B..103FF; ; UNASSIGNED
10426..10427; ; UNASSIGNED
1044E..1CFFF; ; UNASSIGNED
1D0F6..1D0FF; ; UNASSIGNED
1D127..1D129; ; UNASSIGNED
1D1DE..1D3FF; ; UNASSIGNED
1D455; ; UNASSIGNED
1D49D; ; UNASSIGNED
1D4A0..1D4A1; ; UNASSIGNED
1D4A3..1D4A4; ; UNASSIGNED
1D4A7..1D4A8; ; UNASSIGNED
1D4AD; ; UNASSIGNED
1D4BA; ; UNASSIGNED
1D4BC; ; UNASSIGNED
1D4C1; ; UNASSIGNED
1D4C4; ; UNASSIGNED
1D506; ; UNASSIGNED
1D50B..1D50C; ; UNASSIGNED
1D515; ; UNASSIGNED
1D51D; ; UNASSIGNED
1D53A; ; UNASSIGNED
1D53F; ; UNASSIGNED
1D545; ; UNASSIGNED
1D547..1D549; ; UNASSIGNED
1D551; ; UNASSIGNED
1D6A4..1D6A7; ; UNASSIGNED
1D7CA..1D7CD; ; UNASSIGNED
1D800..1FFFD; ; UNASSIGNED
2A6D7..2F7FF; ; UNASSIGNED
2FA1E..2FFFD; ; UNASSIGNED
30000..3FFFD; ; UNASSIGNED
40000..4FFFD; ; UNASSIGNED
50000..5FFFD; ; UNASSIGNED
60000..6FFFD; ; UNASSIGNED
70000..7FFFD; ; UNASSIGNED
80000..8FFFD; ; UNASSIGNED
90000..9FFFD; ; UNASSIGNED
A0000..AFFFD; ; UNASSIGNED
B0000..BFFFD; ; UNASSIGNED
C0000..CFFFD; ; UNASSIGNED
D0000..DFFFD; ; UNASSIGNED
E0000; ; UNASSIGNED
E0002..E001F; ; UNASSIGNED
E0080..EFFFD; ; UNASSIGNED

# Total code points 3653

# code points from      Table C.3 

E000..F8FF; ; PROHIBITED
F0000..FFFFD; ; PROHIBITED
100000..10FFFD; ; PROHIBITED

# Total code points 2051

# code points from      Table C.4 

FDD0..FDEF; ; PROHIBITED
FFFE..FFFF; ; PROHIBITED
1FFFE..1FFFF; ; PROHIBITED
2FFFE..2FFFF; ; PROHIBITED
3FFFE..3FFFF; ; PROHIBITED
4FFFE..4FFFF; ; PROHIBITED
5FFFE..5FFFF; ; PROHIBITED
6FFFE..6FFFF; ; PROHIBITED
7FFFE..7FFFF; ; PROHIBITED
8FFFE..8FFFF; ; PROHIBITED
9FFFE..9FFFF; ; PROHIBITED
AFFFE..AFFFF; ; PROHIBITED
BFFFE..BFFFF; ; PROHIBITED
CFFFE..CFFFF; ; PROHIBITED
DFFFE..DFFFF; ; PROHIBITED
EFFFE..EFFFF; ; PROHIBITED
FFFFE..FFFFF; ; PROHIBITED
10FFFE..10FFFF; ; PROHIBITED

# Total code points 18

# code points from      Table C.5 

D800..DFFF; ; PROHIBITED

# Total code points 0

# code points from      Table C.8 

0340; ; PROHIBITED
0341; ; PROHIBITED
200E; ; PROHIBITED
200F; ; PROHIBITED
202A; ; PROHIBITED
202B; ; PROHIBITED
202C; ; PROHIBITED
202D; ; PROHIBITED
202E; ; PROHIBITED
206A; ; PROHIBITED
206B; ; PROHIBITED
206C; ; PROHIBITED
206D; ; PROHIBITED
206E; ; PROHIBITED
206F; ; PROHIBITED

# Total code points 15

# Map table for LDAP profile (rfc4518.txt)

00AD; ; MAP
034F; ; MAP
1806; ; MAP
180B; ; MAP
180C; ; MAP
180D; ; MAP
FE00; ; MAP
FE01; ; MAP
FE02; ; MAP
FE03; ; MAP
FE04; ; MAP
FE05; ; MAP
FE06; ; MAP
FE07; ; MAP
FE08; ; MAP
FE09; ; MAP
FE0A; ; MAP
FE0B; ; MAP
FE0C; ; MAP
FE0D; ; MAP
FE0E; ; MAP
FE0F; ; MAP
FFFC; ; MAP
0009; 0020; MAP
000A; 0020; MAP
000B; 0020; MAP
000C; 0020; MAP
000D; 0020; MAP
0085; 0020; MAP
0000; ; MAP
0001; ; MAP
0002; ; MAP
0003; ; MAP
0004; ; MAP
0005; ; MAP
0006; ; MAP
0007; ; MAP
0008; ; MAP
000E; ; MAP
000F; ; MAP
0010; ; MAP
0011; ; MAP
0012; ; MAP
0013; ; MAP
0014; ; MAP
0015; ; MAP
0016; ; MAP
0017; ; MAP
0018; ; MAP
0019; ; MAP
001A; ; MAP
001B; ; MAP
001C; ; MAP
001D; ; MAP
001E; ; MAP
001F; ; MAP
007F; ; MAP
0080; ; MAP
0081; ; MAP
0082; ; MAP
0083; ; MAP
0084; ; MAP
0086; ; MAP
0087; ; MAP
0088; ; MAP
0089; ; MAP
008A; ; MAP
008B; ; MAP
008C; ; MAP
008D; ; MAP
008E; ; MAP
008F; ; MAP
0090; ; MAP
0091; ; MAP
0092; ; MAP
0093; ; MAP
0094; ; MAP
0095; ; MAP
0096; ; MAP
0097; ; MAP
0098; ; MAP
0099; ; MAP
009A; ; MAP
009B; ; MAP
009C; ; MAP
009D; ; MAP
009E; ; MAP
009F; ; MAP
06DD; ; MAP
070F; ; MAP
180E; ; MAP
200C; ; MAP
200D; ; MAP
200E; ; MAP
200F; ; MAP
202A; ; MAP
202B; ; MAP
202C; ; MAP
202D; ; MAP
202E; ; MAP
2060; ; MAP
2061; ; MAP
2062; ; MAP
2063; ; MAP
206A; ; MAP
206B; ; MAP
206C; ; MAP
206D; ; MAP
206E; ; MAP
206F; ; MAP
FEFF; ; MAP
FFF9; ; MAP
FFFA; ; MAP
FFFB; ; MAP
1D173; ; MAP
1D174; ; MAP
1D175; ; MAP
1D176; ; MAP
1D177; ; MAP
1D178; ; MAP
1D179; ; MAP
1D17A; ; MAP
E0001; ; MAP
E0020; ; MAP
E0021; ; MAP
E0022; ; MAP
E0023; ; MAP
E0024; ; MAP
E0025; ; MAP
E0026; ; MAP
E0027; ; MAP
E0028; ; MAP
E0029; ; MAP
E002A; ; MAP
E002B; ; MAP
E002C; ; MAP
E002D; ; MAP
E002E; ; MAP
E002F; ; MAP
E0030; ; MAP
E0031; ; MAP
E0032; ; MAP
E0033; ; MAP
E0034; ; MAP
E0035; ; MAP
E0036; ; MAP
E0037; ; MAP
E0038; ; MAP
E0039; ; MAP
E003A; ; MAP
E003B; ; MAP
E003C; ; MAP
E003D; ; MAP
E003E; ; MAP
E003F; ; MAP
E0040; ; MAP
E0041; ; MAP
E0042; ; MAP
E0043; ; MAP
E0044; ; MAP
E0045; ; MAP
E0046; ; MAP
E0047; ; MAP
E0048; ; MAP
E0049; ; MAP
E004A; ; MAP
E004B; ; MAP
E004C; ; MAP
E004D; ; MAP
E004E; ; MAP
E004F; ; MAP
E0050; ; MAP
E0051; ; MAP
E0052; ; MAP
E0053; ; MAP
E0054; ; MAP
E0055; ; MAP
E0056; ; MAP
E0057; ; MAP
E0058; ; MAP
E0059; ; MAP
E005A; ; MAP
E005B; ; MAP
E005C; ; MAP
E005D; ; MAP
E005E; ; MAP
E005F; ; MAP
E0060; ; MAP
E0061; ; MAP
E0062; ; MAP
E0063; ; MAP
E0064; ; MAP
E0065; ; MAP
E0066; ; MAP
E0067; ; MAP
E0068; ; MAP
E0069; ; MAP
E006A; ; MAP
E006B; ; MAP
E006C; ; MAP
E006D; ; MAP
E006E; ; MAP
E006F; ; MAP
E0070; ; MAP
E0071; ; MAP
E0072; ; MAP
E0073; ; MAP
E0074; ; MAP
E0075; ; MAP
E0076; ; MAP
E0077; ; MAP
E0078; ; MAP
E0079; ; MAP
E007A; ; MAP
E007B; ; MAP
E007C; ; MAP
E007D; ; MAP
E007E; ; MAP
E007F; ; MAP
200B; ; MAP
00A0; 0020; MAP
1680; 0020; MAP
2000; 0020; MAP
2001; 0020; MAP
2002; 0020; MAP
2003; 0020; MAP
2004; 0020; MAP
2005; 0020; MAP
2006; 0020; MAP
2007; 0020; MAP
2008; 0020; MAP
2009; 0020; MAP
200A; 0020; MAP
2028; 0020; MAP
2029; 0020; MAP
202F; 0020; MAP
205F; 0020; MAP
3000; 0020; MAP

# Total code points 238
