# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.1
# Generated: 2010-04-13, 01:33:25 GMT
# Checkin: $Revision: 1.29 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Latin: [ةۃ]

0629          ; Arab; Latn; L #      (ة)  ARABIC LETTER TEH MARBUTA
# Total code points: 1

# Armenian; Gurmukhi: [օ]

0585          ; Armn; Guru; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Hebrew: [օ]

0585          ; Armn; Hebr; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Kannada: [օ]

0585          ; Armn; Knda; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Lao: [օ]

0585          ; Armn; Laoo; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Latin: [ագզհյոռսցքօ]

0561          ; Armn; Latn; L #      (ա)  ARMENIAN SMALL LETTER AYB
0563          ; Armn; Latn; L #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Latn; L #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Latn; L #      (հ)  ARMENIAN SMALL LETTER HO
0575          ; Armn; Latn; L #      (յ)  ARMENIAN SMALL LETTER YI
0578          ; Armn; Latn; L #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Latn; L #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0581          ; Armn; Latn; L #      (ց)  ARMENIAN SMALL LETTER CO
0584..0585    ; Armn; Latn; L #  [2] (ք..օ)  ARMENIAN SMALL LETTER KEH..ARMENIAN SMALL LETTER OH

# Total code points: 11

# Armenian; Malayalam: [օ]

0585          ; Armn; Mlym; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Myanmar: [օ]

0585          ; Armn; Mymr; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Sinhala: [օ]

0585          ; Armn; Sinh; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Tamil: [օ]

0585          ; Armn; Taml; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Telugu: [օ]

0585          ; Armn; Telu; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Thai: [օ]

0585          ; Armn; Thai; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Canadian_Aboriginal: [ծ]

056E          ; Armn; Cans; L #      (ծ)  ARMENIAN SMALL LETTER CA

# Total code points: 1

# Bengali; Devanagari: [ঁ়]

0981          ; Beng; Deva; L #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Deva; L #      (়)  BENGALI SIGN NUKTA

# Total code points: 2

# Bengali; Greek: [০]

09E6          ; Beng; Grek; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Gujarati: [ঁ়]

0981          ; Beng; Gujr; L #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Gujr; L #      (়)  BENGALI SIGN NUKTA

# Total code points: 2

# Bengali; Gurmukhi: [ঃ়৪৭]

0983          ; Beng; Guru; L #      (ঃ)  BENGALI SIGN VISARGA
09BC          ; Beng; Guru; L #      (়)  BENGALI SIGN NUKTA
09EA          ; Beng; Guru; L #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Guru; L #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 4

# Bengali; Han: [০]

09E6          ; Beng; Hani; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Kannada: [ঃ]

0983          ; Beng; Knda; L #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Malayalam: [ঃ০]

0983          ; Beng; Mlym; L #      (ঃ)  BENGALI SIGN VISARGA
09E6          ; Beng; Mlym; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 2

# Bengali; Myanmar: [ঃ]

0983          ; Beng; Mymr; L #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Oriya: [ঁ়০৪৭]

0981          ; Beng; Orya; L #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Orya; L #      (়)  BENGALI SIGN NUKTA
09E6          ; Beng; Orya; L #      (০)  BENGALI DIGIT ZERO
09EA          ; Beng; Orya; L #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Orya; L #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 5

# Bengali; Sinhala: [ঃ]

0983          ; Beng; Sinh; L #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Telugu: [ঃ]

0983          ; Beng; Telu; L #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Tifinagh: [০]

09E6          ; Beng; Tfng; L #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Cyrillic; Armenian: [опцјћһөԛԝ]

043E..043F    ; Cyrl; Armn; L #  [2] (о..п)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER PE
0446          ; Cyrl; Armn; L #      (ц)  CYRILLIC SMALL LETTER TSE
0458          ; Cyrl; Armn; L #      (ј)  CYRILLIC SMALL LETTER JE
045B          ; Cyrl; Armn; L #      (ћ)  CYRILLIC SMALL LETTER TSHE
04BB          ; Cyrl; Armn; L #      (һ)  CYRILLIC SMALL LETTER SHHA
04E9          ; Cyrl; Armn; L #      (ө)  CYRILLIC SMALL LETTER BARRED O
051B          ; Cyrl; Armn; L #      (ԛ)  CYRILLIC SMALL LETTER QA
051D          ; Cyrl; Armn; L #      (ԝ)  CYRILLIC SMALL LETTER WE

# Total code points: 9

# Cyrillic; Devanagari: [оө]

043E          ; Cyrl; Deva; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Deva; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Georgian: [уүұ]

0443          ; Cyrl; Geor; L #      (у)  CYRILLIC SMALL LETTER U
04AF          ; Cyrl; Geor; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Geor; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE

# Total code points: 3

# Cyrillic; Greek: [ако-рт-фцєіқҟҭүұӏөԑ]

0430          ; Cyrl; Grek; L #      (а)  CYRILLIC SMALL LETTER A
043A          ; Cyrl; Grek; L #      (к)  CYRILLIC SMALL LETTER KA
043E..0440    ; Cyrl; Grek; L #  [3] (о..р)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER ER
0442..0444    ; Cyrl; Grek; L #  [3] (т..ф)  CYRILLIC SMALL LETTER TE..CYRILLIC SMALL LETTER EF
0446          ; Cyrl; Grek; L #      (ц)  CYRILLIC SMALL LETTER TSE
0454          ; Cyrl; Grek; L #      (є)  CYRILLIC SMALL LETTER UKRAINIAN IE
0456          ; Cyrl; Grek; L #      (і)  CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
049B          ; Cyrl; Grek; L #      (қ)  CYRILLIC SMALL LETTER KA WITH DESCENDER
049F          ; Cyrl; Grek; L #      (ҟ)  CYRILLIC SMALL LETTER KA WITH STROKE
04AD          ; Cyrl; Grek; L #      (ҭ)  CYRILLIC SMALL LETTER TE WITH DESCENDER
04AF          ; Cyrl; Grek; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Grek; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04CF          ; Cyrl; Grek; L #      (ӏ)  CYRILLIC SMALL LETTER PALOCHKA
04E9          ; Cyrl; Grek; L #      (ө)  CYRILLIC SMALL LETTER BARRED O
0511          ; Cyrl; Grek; L #      (ԑ)  CYRILLIC SMALL LETTER REVERSED ZE

# Total code points: 19

# Cyrillic; Gujarati: [оө]

043E          ; Cyrl; Gujr; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Gujr; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Gurmukhi: [оө]

043E          ; Cyrl; Guru; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Guru; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Hebrew: [оө]

043E          ; Cyrl; Hebr; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Hebr; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Kannada: [оө]

043E          ; Cyrl; Knda; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Knda; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Lao: [оө]

043E          ; Cyrl; Laoo; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Laoo; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Latin: [агеко-ухцъѕіјћҍґғқҟҫҭүұһӏӕөԁԛԝ]

0430          ; Cyrl; Latn; L #      (а)  CYRILLIC SMALL LETTER A
0433          ; Cyrl; Latn; L #      (г)  CYRILLIC SMALL LETTER GHE
0435          ; Cyrl; Latn; L #      (е)  CYRILLIC SMALL LETTER IE
043A          ; Cyrl; Latn; L #      (к)  CYRILLIC SMALL LETTER KA
043E..0443    ; Cyrl; Latn; L #  [6] (о..у)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER U
0445..0446    ; Cyrl; Latn; L #  [2] (х..ц)  CYRILLIC SMALL LETTER HA..CYRILLIC SMALL LETTER TSE
044A          ; Cyrl; Latn; L #      (ъ)  CYRILLIC SMALL LETTER HARD SIGN
0455..0456    ; Cyrl; Latn; L #  [2] (ѕ..і)  CYRILLIC SMALL LETTER DZE..CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0458          ; Cyrl; Latn; L #      (ј)  CYRILLIC SMALL LETTER JE
045B          ; Cyrl; Latn; L #      (ћ)  CYRILLIC SMALL LETTER TSHE
048D          ; Cyrl; Latn; L #      (ҍ)  CYRILLIC SMALL LETTER SEMISOFT SIGN
0491          ; Cyrl; Latn; L #      (ґ)  CYRILLIC SMALL LETTER GHE WITH UPTURN
0493          ; Cyrl; Latn; L #      (ғ)  CYRILLIC SMALL LETTER GHE WITH STROKE
049B          ; Cyrl; Latn; L #      (қ)  CYRILLIC SMALL LETTER KA WITH DESCENDER
049F          ; Cyrl; Latn; L #      (ҟ)  CYRILLIC SMALL LETTER KA WITH STROKE
04AB          ; Cyrl; Latn; L #      (ҫ)  CYRILLIC SMALL LETTER ES WITH DESCENDER
04AD          ; Cyrl; Latn; L #      (ҭ)  CYRILLIC SMALL LETTER TE WITH DESCENDER
04AF          ; Cyrl; Latn; L #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Latn; L #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04BB          ; Cyrl; Latn; L #      (һ)  CYRILLIC SMALL LETTER SHHA
04CF          ; Cyrl; Latn; L #      (ӏ)  CYRILLIC SMALL LETTER PALOCHKA
04D5          ; Cyrl; Latn; L #      (ӕ)  CYRILLIC SMALL LIGATURE A IE
04E9          ; Cyrl; Latn; L #      (ө)  CYRILLIC SMALL LETTER BARRED O
0501          ; Cyrl; Latn; L #      (ԁ)  CYRILLIC SMALL LETTER KOMI DE
051B          ; Cyrl; Latn; L #      (ԛ)  CYRILLIC SMALL LETTER QA
051D          ; Cyrl; Latn; L #      (ԝ)  CYRILLIC SMALL LETTER WE

# Total code points: 33

# Cyrillic; Malayalam: [оө]

043E          ; Cyrl; Mlym; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Mlym; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Myanmar: [оө]

043E          ; Cyrl; Mymr; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Mymr; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Sinhala: [оө]

043E          ; Cyrl; Sinh; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Sinh; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Tamil: [оө]

043E          ; Cyrl; Taml; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Taml; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Telugu: [оө]

043E          ; Cyrl; Telu; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Telu; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Thai: [оө]

043E          ; Cyrl; Thai; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Thai; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Canadian_Aboriginal: [рхъҍԁ]

0440          ; Cyrl; Cans; L #      (р)  CYRILLIC SMALL LETTER ER
0445          ; Cyrl; Cans; L #      (х)  CYRILLIC SMALL LETTER HA
044A          ; Cyrl; Cans; L #      (ъ)  CYRILLIC SMALL LETTER HARD SIGN
048D          ; Cyrl; Cans; L #      (ҍ)  CYRILLIC SMALL LETTER SEMISOFT SIGN
0501          ; Cyrl; Cans; L #      (ԁ)  CYRILLIC SMALL LETTER KOMI DE

# Total code points: 5

# Devanagari; Armenian: [०]

0966          ; Deva; Armn; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Bengali: [ँ़]

0901          ; Deva; Beng; L #      (ँ)  DEVANAGARI SIGN CANDRABINDU
093C          ; Deva; Beng; L #      (़)  DEVANAGARI SIGN NUKTA

# Total code points: 2

# Devanagari; Cyrillic: [०]

0966          ; Deva; Cyrl; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Greek: [०]

0966          ; Deva; Grek; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Gujarati: [ँ-ः़ऽुू्०२-४८]

0901..0903    ; Deva; Gujr; L #  [3] (ँ..ः)  DEVANAGARI SIGN CANDRABINDU..DEVANAGARI SIGN VISARGA
093C..093D    ; Deva; Gujr; L #  [2] (़..ऽ)  DEVANAGARI SIGN NUKTA..DEVANAGARI SIGN AVAGRAHA
0941..0942    ; Deva; Gujr; L #  [2] (ु..ू)  DEVANAGARI VOWEL SIGN U..DEVANAGARI VOWEL SIGN UU
094D          ; Deva; Gujr; L #      (्)  DEVANAGARI SIGN VIRAMA
0966          ; Deva; Gujr; L #      (०)  DEVANAGARI DIGIT ZERO
0968..096A    ; Deva; Gujr; L #  [3] (२..४)  DEVANAGARI DIGIT TWO..DEVANAGARI DIGIT FOUR
096E          ; Deva; Gujr; L #      (८)  DEVANAGARI DIGIT EIGHT

# Total code points: 13

# Devanagari; Gurmukhi: [ं़ॆ्०]

0902          ; Deva; Guru; L #      (ं)  DEVANAGARI SIGN ANUSVARA
093C          ; Deva; Guru; L #      (़)  DEVANAGARI SIGN NUKTA
0946          ; Deva; Guru; L #      (ॆ)  DEVANAGARI VOWEL SIGN SHORT E
094D          ; Deva; Guru; L #      (्)  DEVANAGARI SIGN VIRAMA
0966          ; Deva; Guru; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 5

# Devanagari; Hebrew: [०]

0966          ; Deva; Hebr; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Kannada: [०]

0966          ; Deva; Knda; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Lao: [०]

0966          ; Deva; Laoo; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Latin: [०]

0966          ; Deva; Latn; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Malayalam: [०]

0966          ; Deva; Mlym; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Myanmar: [०]

0966          ; Deva; Mymr; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Oriya: [ँ़]

0901          ; Deva; Orya; L #      (ँ)  DEVANAGARI SIGN CANDRABINDU
093C          ; Deva; Orya; L #      (़)  DEVANAGARI SIGN NUKTA

# Total code points: 2

# Devanagari; Sinhala: [०]

0966          ; Deva; Sinh; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Tamil: [ं०]

0902          ; Deva; Taml; L #      (ं)  DEVANAGARI SIGN ANUSVARA
0966          ; Deva; Taml; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 2

# Devanagari; Telugu: [०]

0966          ; Deva; Telu; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Thai: [०]

0966          ; Deva; Thai; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Georgian; Cyrillic: [ყ]

10E7          ; Geor; Cyrl; L #      (ყ)  GEORGIAN LETTER QAR

# Total code points: 1

# Georgian; Greek: [ყ]

10E7          ; Geor; Grek; L #      (ყ)  GEORGIAN LETTER QAR

# Total code points: 1

# Georgian; Latin: [ყ]

10E7          ; Geor; Latn; L #      (ყ)  GEORGIAN LETTER QAR

# Total code points: 1

# Greek; Armenian: [δηοπσυ]

03B4          ; Grek; Armn; L #      (δ)  GREEK SMALL LETTER DELTA
03B7          ; Grek; Armn; L #      (η)  GREEK SMALL LETTER ETA
03BF..03C0    ; Grek; Armn; L #  [2] (ο..π)  GREEK SMALL LETTER OMICRON..GREEK SMALL LETTER PI
03C3          ; Grek; Armn; L #      (σ)  GREEK SMALL LETTER SIGMA
03C5          ; Grek; Armn; L #      (υ)  GREEK SMALL LETTER UPSILON

# Total code points: 6

# Greek; Bengali: [θ]

03B8          ; Grek; Beng; L #      (θ)  GREEK SMALL LETTER THETA

# Total code points: 1

# Greek; Cyrillic: [αγεηικο-ρσ-φ]

03B1          ; Grek; Cyrl; L #      (α)  GREEK SMALL LETTER ALPHA
03B3          ; Grek; Cyrl; L #      (γ)  GREEK SMALL LETTER GAMMA
03B5          ; Grek; Cyrl; L #      (ε)  GREEK SMALL LETTER EPSILON
03B7          ; Grek; Cyrl; L #      (η)  GREEK SMALL LETTER ETA
03B9..03BA    ; Grek; Cyrl; L #  [2] (ι..κ)  GREEK SMALL LETTER IOTA..GREEK SMALL LETTER KAPPA
03BF..03C1    ; Grek; Cyrl; L #  [3] (ο..ρ)  GREEK SMALL LETTER OMICRON..GREEK SMALL LETTER RHO
03C3..03C6    ; Grek; Cyrl; L #  [4] (σ..φ)  GREEK SMALL LETTER SIGMA..GREEK SMALL LETTER PHI

# Total code points: 13

# Greek; Devanagari: [οσ]

03BF          ; Grek; Deva; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Deva; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Georgian: [γ]

03B3          ; Grek; Geor; L #      (γ)  GREEK SMALL LETTER GAMMA

# Total code points: 1

# Greek; Gujarati: [οσ]

03BF          ; Grek; Gujr; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Gujr; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Gurmukhi: [οσ]

03BF          ; Grek; Guru; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Guru; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Han: [θ]

03B8          ; Grek; Hani; L #      (θ)  GREEK SMALL LETTER THETA

# Total code points: 1

# Greek; Hebrew: [νοσ]

03BD          ; Grek; Hebr; L #      (ν)  GREEK SMALL LETTER NU
03BF          ; Grek; Hebr; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Hebr; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 3

# Greek; Kannada: [οσ]

03BF          ; Grek; Knda; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Knda; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Lao: [οσ]

03BF          ; Grek; Laoo; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Laoo; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Latin: [α-γηικνο-ρσ-υ]

03B1..03B3    ; Grek; Latn; L #  [3] (α..γ)  GREEK SMALL LETTER ALPHA..GREEK SMALL LETTER GAMMA
03B7          ; Grek; Latn; L #      (η)  GREEK SMALL LETTER ETA
03B9..03BA    ; Grek; Latn; L #  [2] (ι..κ)  GREEK SMALL LETTER IOTA..GREEK SMALL LETTER KAPPA
03BD          ; Grek; Latn; L #      (ν)  GREEK SMALL LETTER NU
03BF..03C1    ; Grek; Latn; L #  [3] (ο..ρ)  GREEK SMALL LETTER OMICRON..GREEK SMALL LETTER RHO
03C3..03C5    ; Grek; Latn; L #  [3] (σ..υ)  GREEK SMALL LETTER SIGMA..GREEK SMALL LETTER UPSILON

# Total code points: 13

# Greek; Malayalam: [θοσ]

03B8          ; Grek; Mlym; L #      (θ)  GREEK SMALL LETTER THETA
03BF          ; Grek; Mlym; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Mlym; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 3

# Greek; Myanmar: [οσ]

03BF          ; Grek; Mymr; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Mymr; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Oriya: [θ]

03B8          ; Grek; Orya; L #      (θ)  GREEK SMALL LETTER THETA

# Total code points: 1

# Greek; Sinhala: [οσ]

03BF          ; Grek; Sinh; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Sinh; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Tamil: [οσ]

03BF          ; Grek; Taml; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Taml; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Telugu: [οσ]

03BF          ; Grek; Telu; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Telu; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Thai: [οσ]

03BF          ; Grek; Thai; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Thai; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Canadian_Aboriginal: [δρ]

03B4          ; Grek; Cans; L #      (δ)  GREEK SMALL LETTER DELTA
03C1          ; Grek; Cans; L #      (ρ)  GREEK SMALL LETTER RHO

# Total code points: 2

# Greek; Tifinagh: [θ]

03B8          ; Grek; Tfng; L #      (θ)  GREEK SMALL LETTER THETA

# Total code points: 1

# Gujarati; Armenian: [૦]

0AE6          ; Gujr; Armn; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Bengali: [ઁ઼]

0A81          ; Gujr; Beng; L #      (ઁ)  GUJARATI SIGN CANDRABINDU
0ABC          ; Gujr; Beng; L #      (઼)  GUJARATI SIGN NUKTA

# Total code points: 2

# Gujarati; Cyrillic: [૦]

0AE6          ; Gujr; Cyrl; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Devanagari: [ઁ-ઃ઼ઽુૂ્૦૨-૪૮]

0A81..0A83    ; Gujr; Deva; L #  [3] (ઁ..ઃ)  GUJARATI SIGN CANDRABINDU..GUJARATI SIGN VISARGA
0ABC..0ABD    ; Gujr; Deva; L #  [2] (઼..ઽ)  GUJARATI SIGN NUKTA..GUJARATI SIGN AVAGRAHA
0AC1..0AC2    ; Gujr; Deva; L #  [2] (ુ..ૂ)  GUJARATI VOWEL SIGN U..GUJARATI VOWEL SIGN UU
0ACD          ; Gujr; Deva; L #      (્)  GUJARATI SIGN VIRAMA
0AE6          ; Gujr; Deva; L #      (૦)  GUJARATI DIGIT ZERO
0AE8..0AEA    ; Gujr; Deva; L #  [3] (૨..૪)  GUJARATI DIGIT TWO..GUJARATI DIGIT FOUR
0AEE          ; Gujr; Deva; L #      (૮)  GUJARATI DIGIT EIGHT

# Total code points: 13

# Gujarati; Greek: [૦]

0AE6          ; Gujr; Grek; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Gurmukhi: [ં઼્૦]

0A82          ; Gujr; Guru; L #      (ં)  GUJARATI SIGN ANUSVARA
0ABC          ; Gujr; Guru; L #      (઼)  GUJARATI SIGN NUKTA
0ACD          ; Gujr; Guru; L #      (્)  GUJARATI SIGN VIRAMA
0AE6          ; Gujr; Guru; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 4

