# Fractional UCA Table, generated from standard UCA
# 2010-10-18, 22:18:55 GMT [MD]
# VERSION: UCA=6.0.0, UCD=6.0.0
# For a description of the format and usage, see CollationAuxiliary.html

[UCA version = 6.0.0]

0000; [,,]
1CE1; [,,]
1CE2; [,,]
1CE3; [,,]
1CE4; [,,]
1CE5; [,,]
1CE6; [,,]
1CE7; [,,]
1CE8; [,,]
200B; [,,]
200C; [,,]
200D; [,,]
200E; [,,]
200F; [,,]
202A; [,,]
202B; [,,]
202C; [,,]
202D; [,,]
202E; [,,]
2060; [,,]
2061; [,,]
2062; [,,]
2063; [,,]
2064; [,,]
206A; [,,]
206B; [,,]
206C; [,,]
206D; [,,]
206E; [,,]
206F; [,,]
2D7F; [,,]
A670; [,,]
A671; [,,]
A672; [,,]
A8E0; [,,]
A8E1; [,,]
A8E2; [,,]
A8E3; [,,]
A8E4; [,,]
A8E5; [,,]
A8E6; [,,]
A8E7; [,,]
A8E8; [,,]
A8E9; [,,]
A8EA; [,,]
A8EB; [,,]
A8EC; [,,]
A8ED; [,,]
A8EE; [,,]
A8EF; [,,]
A8F0; [,,]
A8F1; [,,]
110BD; [,,]
1D165; [,,]
1D166; [,,]
1D167; [,,]
1D168; [,,]
1D169; [,,]
1D16D; [,,]
1D16E; [,,]
1D16F; [,,]
1D170; [,,]
1D171; [,,]
1D172; [,,]
1D173; [,,]
1D174; [,,]
1D175; [,,]
1D176; [,,]
1D177; [,,]
1D178; [,,]
1D179; [,,]
1D17A; [,,]
1D17B; [,,]
1D17C; [,,]
1D17D; [,,]
1D17E; [,,]
1D17F; [,,]
1D180; [,,]
1D181; [,,]
1D182; [,,]
1D185; [,,]
1D186; [,,]
1D187; [,,]
1D188; [,,]
1D189; [,,]
1D18A; [,,]
1D18B; [,,]
1D1AA; [,,]
1D1AB; [,,]
1D1AC; [,,]
1D1AD; [,,]
1D242; [,,]
1D243; [,,]
1D244; [,,]
E0001; [,,]
E0020; [,,]
E0021; [,,]
E0022; [,,]
E0023; [,,]
E0024; [,,]
E0025; [,,]
E0026; [,,]
E0027; [,,]
E0028; [,,]
E0029; [,,]
E002A; [,,]
E002B; [,,]
E002C; [,,]
E002D; [,,]
E002E; [,,]
E002F; [,,]
E0030; [,,]
E0031; [,,]
E0032; [,,]
E0033; [,,]
E0034; [,,]
E0035; [,,]
E0036; [,,]
E0037; [,,]
E0038; [,,]
E0039; [,,]
E003A; [,,]
E003B; [,,]
E003C; [,,]
E003D; [,,]
E003E; [,,]
E003F; [,,]
E0040; [,,]
E0041; [,,]
E0042; [,,]
E0043; [,,]
E0044; [,,]
E0045; [,,]
E0046; [,,]
E0047; [,,]
E0048; [,,]
E0049; [,,]
E004A; [,,]
E004B; [,,]
E004C; [,,]
E004D; [,,]
E004E; [,,]
E004F; [,,]
E0050; [,,]
E0051; [,,]
E0052; [,,]
E0053; [,,]
E0054; [,,]
E0055; [,,]
E0056; [,,]
E0057; [,,]
E0058; [,,]
E0059; [,,]
E005A; [,,]
E005B; [,,]
E005C; [,,]
E005D; [,,]
E005E; [,,]
E005F; [,,]
E0060; [,,]
E0061; [,,]
E0062; [,,]
E0063; [,,]
E0064; [,,]
E0065; [,,]
E0066; [,,]
E0067; [,,]
E0068; [,,]
E0069; [,,]
E006A; [,,]
E006B; [,,]
E006C; [,,]
E006D; [,,]
E006E; [,,]
E006F; [,,]
E0070; [,,]
E0071; [,,]
E0072; [,,]
E0073; [,,]
E0074; [,,]
E0075; [,,]
E0076; [,,]
E0077; [,,]
E0078; [,,]
E0079; [,,]
E007A; [,,]
E007B; [,,]
E007C; [,,]
E007D; [,,]
E007E; [,,]
E007F; [,,]
E0100; [,,]
E0101; [,,]
E0102; [,,]
E0103; [,,]
E0104; [,,]
E0105; [,,]
E0106; [,,]
E0107; [,,]
E0108; [,,]
E0109; [,,]
E010A; [,,]
E010B; [,,]
E010C; [,,]
E010D; [,,]
E010E; [,,]
E010F; [,,]
E0110; [,,]
E0111; [,,]
E0112; [,,]
E0113; [,,]
E0114; [,,]
E0115; [,,]
E0116; [,,]
E0117; [,,]
E0118; [,,]
E0119; [,,]
E011A; [,,]
E011B; [,,]
E011C; [,,]
E011D; [,,]
E011E; [,,]
E011F; [,,]
E0120; [,,]
E0121; [,,]
E0122; [,,]
E0123; [,,]
E0124; [,,]
E0125; [,,]
E0126; [,,]
E0127; [,,]
E0128; [,,]
E0129; [,,]
E012A; [,,]
E012B; [,,]
E012C; [,,]
E012D; [,,]
E012E; [,,]
E012F; [,,]
E0130; [,,]
E0131; [,,]
E0132; [,,]
E0133; [,,]
E0134; [,,]
E0135; [,,]
E0136; [,,]
E0137; [,,]
E0138; [,,]
E0139; [,,]
E013A; [,,]
E013B; [,,]
E013C; [,,]
E013D; [,,]
E013E; [,,]
E013F; [,,]
E0140; [,,]
E0141; [,,]
E0142; [,,]
E0143; [,,]
E0144; [,,]
E0145; [,,]
E0146; [,,]
E0147; [,,]
E0148; [,,]
E0149; [,,]
E014A; [,,]
E014B; [,,]
E014C; [,,]
E014D; [,,]
E014E; [,,]
E014F; [,,]
E0150; [,,]
E0151; [,,]
E0152; [,,]
E0153; [,,]
E0154; [,,]
E0155; [,,]
E0156; [,,]
E0157; [,,]
E0158; [,,]
E0159; [,,]
E015A; [,,]
E015B; [,,]
E015C; [,,]
E015D; [,,]
E015E; [,,]
E015F; [,,]
E0160; [,,]
E0161; [,,]
E0162; [,,]
E0163; [,,]
E0164; [,,]
E0165; [,,]
E0166; [,,]
E0167; [,,]
E0168; [,,]
E0169; [,,]
E016A; [,,]
E016B; [,,]
E016C; [,,]
E016D; [,,]
E016E; [,,]
E016F; [,,]
E0170; [,,]
E0171; [,,]
E0172; [,,]
E0173; [,,]
E0174; [,,]
E0175; [,,]
E0176; [,,]
E0177; [,,]
E0178; [,,]
E0179; [,,]
E017A; [,,]
E017B; [,,]
E017C; [,,]
E017D; [,,]
E017E; [,,]
E017F; [,,]
E0180; [,,]
E0181; [,,]
E0182; [,,]
E0183; [,,]
E0184; [,,]
E0185; [,,]
E0186; [,,]
E0187; [,,]
E0188; [,,]
E0189; [,,]
E018A; [,,]
E018B; [,,]
E018C; [,,]
E018D; [,,]
E018E; [,,]
E018F; [,,]
E0190; [,,]
E0191; [,,]
E0192; [,,]
E0193; [,,]
E0194; [,,]
E0195; [,,]
E0196; [,,]
E0197; [,,]
E0198; [,,]
E0199; [,,]
E019A; [,,]
E019B; [,,]
E019C; [,,]
E019D; [,,]
E019E; [,,]
E019F; [,,]
E01A0; [,,]
E01A1; [,,]
E01A2; [,,]
E01A3; [,,]
E01A4; [,,]
E01A5; [,,]
E01A6; [,,]
E01A7; [,,]
E01A8; [,,]
E01A9; [,,]
E01AA; [,,]
E01AB; [,,]
E01AC; [,,]
E01AD; [,,]
E01AE; [,,]
E01AF; [,,]
E01B0; [,,]
E01B1; [,,]
E01B2; [,,]
E01B3; [,,]
E01B4; [,,]
E01B5; [,,]
E01B6; [,,]
E01B7; [,,]
E01B8; [,,]
E01B9; [,,]
E01BA; [,,]
E01BB; [,,]
E01BC; [,,]
E01BD; [,,]
E01BE; [,,]
E01BF; [,,]
E01C0; [,,]
E01C1; [,,]
E01C2; [,,]
E01C3; [,,]
E01C4; [,,]
E01C5; [,,]
E01C6; [,,]
E01C7; [,,]
E01C8; [,,]
E01C9; [,,]
E01CA; [,,]
E01CB; [,,]
E01CC; [,,]
E01CD; [,,]
E01CE; [,,]
E01CF; [,,]
E01D0; [,,]
E01D1; [,,]
E01D2; [,,]
E01D3; [,,]
E01D4; [,,]
E01D5; [,,]
E01D6; [,,]
E01D7; [,,]
E01D8; [,,]
E01D9; [,,]
E01DA; [,,]
E01DB; [,,]
E01DC; [,,]
E01DD; [,,]
E01DE; [,,]
E01DF; [,,]
E01E0; [,,]
E01E1; [,,]
E01E2; [,,]
E01E3; [,,]
E01E4; [,,]
E01E5; [,,]
E01E6; [,,]
E01E7; [,,]
E01E8; [,,]
E01E9; [,,]
E01EA; [,,]
E01EB; [,,]
E01EC; [,,]
E01ED; [,,]
E01EE; [,,]
E01EF; [,,]
FE00; [,,]
FE01; [,,]
FE02; [,,]
FE03; [,,]
FE04; [,,]
FE05; [,,]
FE06; [,,]
FE07; [,,]
FE08; [,,]
FE09; [,,]
FE0A; [,,]
FE0B; [,,]
FE0C; [,,]
FE0D; [,,]
FE0E; [,,]
FE0F; [,,]
FE21; [,,]
FE23; [,,]
FE24; [,,]
FE25; [,,]
FE26; [,,]
FE73; [,,]
FEFF; [,,]
FFF9; [,,]
FFFA; [,,]
FFFB; [,,]
0332; [, 87, 05]
0313; [, 89, 05]
0343; [, 89, 05]
0486; [, 89, 05]
2CF1; [, 89, 05]
0314; [, 8B, 05]
0485; [, 8B, 05]
2CF0; [, 8B, 05]
0301; [, 8D, 05]
0341; [, 8D, 05]
0954; [, 8D, 05]
0300; [, 8F, 05]
0340; [, 8F, 05]
0953; [, 8F, 05]
0306; [, 91, 05]
0302; [, 93, 05]
030C; [, 97, 05]
030A; [, 99, 05]
0342; [, 9B, 05]
0308; [, 9D, 05]
0344; [, 9D, 05][, 8D, 05]
030B; [, 9F, 05]
0303; [, A1, 05]
0307; [, A3, 05]
0338; [, A5, 05]
0327; [, A7, 05]
0328; [, A9, 05]
0304; [, AB, 05]
030D; [, AD, 05]
030E; [, AD, 05]
0312; [, AD, 05]
0315; [, AD, 05]
031A; [, AD, 05]
033D; [, AD, 05]
033E; [, AD, 05]
033F; [, AD, 05]
0346; [, AD, 05]
034A; [, AD, 05]
034B; [, AD, 05]
034C; [, AD, 05]
0350; [, AD, 05]
0351; [, AD, 05]
0352; [, AD, 05]
0357; [, AD, 05]
035B; [, AD, 05]
035D; [, AD, 05]
035E; [, AD, 05]
0484; [, AD, 05]
0487; [, AD, 05]
0741; [, AD, 05]
0745; [, AD, 05]
17CB; [, AD, 05]
17CC; [, AD, 05]
17CD; [, AD, 05]
17CE; [, AD, 05]
17CF; [, AD, 05]
17D0; [, AD, 05]
17D1; [, AD, 05]
17DD; [, AD, 05]
1BE6; [, AD, 05]
1DC0; [, AD, 05]
1DC1; [, AD, 05]
1DC3; [, AD, 05]
1DC4; [, AD, 05]
1DC5; [, AD, 05]
1DC6; [, AD, 05]
1DC7; [, AD, 05]
1DC8; [, AD, 05]
1DC9; [, AD, 05]
1DCB; [, AD, 05]
1DCC; [, AD, 05]
1DCD; [, AD, 05]
1DCE; [, AD, 05]
1DD1; [, AD, 05]
1DFE; [, AD, 05]
20F0; [, AD, 05]
2CEF; [, AD, 05]
A67C; [, AD, 05]
A67D; [, AD, 05]
0316; [, AF, 05]
0317; [, AF, 05]
0318; [, AF, 05]
0319; [, AF, 05]
031C; [, AF, 05]
031D; [, AF, 05]
031E; [, AF, 05]
031F; [, AF, 05]
0320; [, AF, 05]
0329; [, AF, 05]
032A; [, AF, 05]
032B; [, AF, 05]
032C; [, AF, 05]
032F; [, AF, 05]
0333; [, AF, 05]
033A; [, AF, 05]
033B; [, AF, 05]
033C; [, AF, 05]
0347; [, AF, 05]
0348; [, AF, 05]
0349; [, AF, 05]
034D; [, AF, 05]
034E; [, AF, 05]
0353; [, AF, 05]
0354; [, AF, 05]
0355; [, AF, 05]
0356; [, AF, 05]
0359; [, AF, 05]
035A; [, AF, 05]
035C; [, AF, 05]
035F; [, AF, 05]
0362; [, AF, 05]
0742; [, AF, 05]
0746; [, AF, 05]
0859; [, AF, 05]
085A; [, AF, 05]
085B; [, AF, 05]
1DC2; [, AF, 05]
1DCF; [, AF, 05]
1DD0; [, AF, 05]
1DFC; [, AF, 05]
1DFD; [, AF, 05]
1DFF; [, AF, 05]
20EC; [, AF, 05]
20ED; [, AF, 05]
20EE; [, AF, 05]
20EF; [, AF, 05]
10A0D; [, AF, 05]
0336; [, B1, 05]
0337; [, B1, 05]
20D8; [, B1, 05]
20D9; [, B1, 05]
20DA; [, B1, 05]
20E5; [, B1, 05]
20EA; [, B1, 05]
20EB; [, B1, 05]
20DD; [, B3, 05]
20DE; [, B3, 05]
20DF; [, B3, 05]
20E0; [, B3, 05]
20E2; [, B3, 05]
20E3; [, B3, 05]
20E4; [, B3, 05]
0305; [, B5, 05]
0309; [, B7, 05]
030F; [, B9, 05]
0310; [, BB, 05]
0311; [, BD, 05]
031B; [, BF, 05]
0321; [, C1, 05]
0322; [, C3, 05]
0323; [, C5, 05]
0324; [, C7, 05]
0325; [, C9, 05]
0326; [, CB, 05]
032D; [, CD, 05]
032E; [, CF, 05]
0330; [, D0 0D, 05]
0331; [, D0 1D, 05]
0334; [, D0 2D, 05]
0335; [, D0 3D, 05]
0339; [, D0 4D, 05]
0345; [, D0 5D, 05]
0358; [, D0 6D, 05]
0360; [, D0 7D, 05]
FE22; [, D0 7D, 05]
0361; [, D0 8D, 05]
FE20; [, D0 8D, 05]
0483; [, D0 9D, 05]
A66F; [, D0 AD, 05]
05B0; [, D0 BD, 05]
05B1; [, D0 CD, 05]
05B2; [, D0 DD, 05]
05B3; [, D0 ED, 05]
05B4; [, D0 FD, 05]
05B5; [, D1 11, 05]
05B6; [, D1 21, 05]
05B7; [, D1 31, 05]
05B8; [, D1 41, 05]
05C7; [, D1 41, 05]
05B9; [, D1 51, 05]
05BA; [, D1 51, 05]
05BB; [, D1 61, 05]
05C2; [, D1 71, 05]
05C1; [, D1 81, 05]
05BC; [, D1 91, 05]
05BF; [, D1 A1, 05]
FB1E; [, D1 B1, 05]
081C; [, D1 C1, 05]
081D; [, D1 C1, 05]
081E; [, D1 D1, 05]
081F; [, D1 D1, 05]
0820; [, D1 D1, 05]
0821; [, D1 E1, 05]
0822; [, D1 E1, 05]
0823; [, D1 E1, 05]
0824; [, D1 F1, 05]
0825; [, D1 F1, 05]
0826; [, D2 05, 05]
0827; [, D2 05, 05]
0828; [, D2 15, 05]
0829; [, D2 15, 05]
082A; [, D2 15, 05]
082B; [, D2 25, 05]
082C; [, D2 35, 05]
0818; [, D2 45, 05]
0819; [, D2 55, 05]
082D; [, D2 65, 05]
064B; [, D2 75, 05]
FE71; [, D2 75, 2F]
FE70; [, D2 75, 33]
064C; [, D2 85, 05]
FE72; [, D2 85, 33]
FC5E; [, D2 85, 33][, D2 D5, 33]
064D; [, D2 95, 05]
FE74; [, D2 95, 33]
FC5F; [, D2 95, 33][, D2 D5, 33]
064E; [, D2 A5, 05]
FE77; [, D2 A5, 2F]
FE76; [, D2 A5, 33]
FCF2; [, D2 A5, 2F][, D2 D5, 2F]
FC60; [, D2 A5, 33][, D2 D5, 33]
064F; [, D2 B5, 05]
FE79; [, D2 B5, 2F]
FE78; [, D2 B5, 33]
FCF3; [, D2 B5, 2F][, D2 D5, 2F]
FC61; [, D2 B5, 33][, D2 D5, 33]
0650; [, D2 C5, 05]
FE7B; [, D2 C5, 2F]
FE7A; [, D2 C5, 33]
FCF4; [, D2 C5, 2F][, D2 D5, 2F]
FC62; [, D2 C5, 33][, D2 D5, 33]
0651; [, D2 D5, 05]
FE7D; [, D2 D5, 2F]
FE7C; [, D2 D5, 33]
FC63; [, D2 D5, 33][, D3 C9, 33]
0652; [, D2 E5, 05]
FE7F; [, D2 E5, 2F]
FE7E; [, D2 E5, 33]
0653; [, D2 F5, 05]
0654; [, D3 09, 05]
0655; [, D3 19, 05]
065F; [, D3 29, 05]
0656; [, D3 39, 05]
0657; [, D3 49, 05]
0658; [, D3 59, 05]
0659; [, D3 69, 05]
065A; [, D3 79, 05]
065B; [, D3 89, 05]
065C; [, D3 99, 05]
065D; [, D3 A9, 05]
065E; [, D3 B9, 05]
0670; [, D3 C9, 05]
0711; [, D3 D9, 05]
0730; [, D3 E9, 05]
0731; [, D3 F9, 05]
0732; [, D4 0D, 05]
0733; [, D4 1D, 05]
0734; [, D4 2D, 05]
0735; [, D4 3D, 05]
0736; [, D4 4D, 05]
0737; [, D4 5D, 05]
0738; [, D4 6D, 05]
0739; [, D4 7D, 05]
073A; [, D4 8D, 05]
073B; [, D4 9D, 05]
073C; [, D4 AD, 05]
073D; [, D4 BD, 05]
073E; [, D4 CD, 05]
073F; [, D4 DD, 05]
07EB; [, D4 ED, 05]
07EC; [, D4 FD, 05]
07ED; [, D5 11, 05]
07EE; [, D5 21, 05]
07EF; [, D5 31, 05]
07F0; [, D5 41, 05]
07F1; [, D5 51, 05]
07F2; [, D5 61, 05]
07F3; [, D5 71, 05]
135F; [, D5 81, 05]
135E; [, D5 91, 05]
135D; [, D5 A1, 05]
A6F0; [, D5 B1, 05]
A6F1; [, D5 C1, 05]
093C; [, D5 D1, 05]
0900; [, D5 E1, 05]
0901; [, D5 E1, 05]
0902; [, D5 F1, 05]
1CED; [, D5 F1, 05]
0903; [, D6 05, 05]
1CF2; [, D6 05, 05]
09BC; [, D6 15, 05]
0981; [, D6 25, 05]
0982; [, D6 35, 05]
0983; [, D6 45, 05]
0A3C; [, D6 55, 05]
0A01; [, D6 65, 05]
0A02; [, D6 75, 05]
0A03; [, D6 85, 05]
0A70; [, D6 95, 05]
0A71; [, D6 A5, 05]
0ABC; [, D6 B5, 05]
0A81; [, D6 C5, 05]
0A82; [, D6 D5, 05]
0A83; [, D6 E5, 05]
0B3C; [, D6 F5, 05]
0B01; [, D7 09, 05]
0B02; [, D7 19, 05]
0B03; [, D7 29, 05]
0B82; [, D7 39, 05]
0C01; [, D7 49, 05]
0C02; [, D7 59, 05]
0C03; [, D7 69, 05]
0CBC; [, D7 79, 05]
0C82; [, D7 89, 05]
0C83; [, D7 99, 05]
0D02; [, D7 A9, 05]
0D03; [, D7 B9, 05]
0D82; [, D7 C9, 05]
0D83; [, D7 D9, 05]
1B34; [, D7 E9, 05]
1B00; [, D7 F9, 05]
1B01; [, D8 0D, 05]
1B02; [, D8 1D, 05]
1B03; [, D8 2D, 05]
1B04; [, D8 3D, 05]
A9B3; [, D8 4D, 05]
A980; [, D8 5D, 05]
A981; [, D8 6D, 05]
A982; [, D8 7D, 05]
A983; [, D8 8D, 05]
1B80; [, D8 9D, 05]
1B81; [, D8 AD, 05]
1B82; [, D8 BD, 05]
ABEC; [, D8 CD, 05]
A80B; [, D8 DD, 05]
A880; [, D8 ED, 05]
A881; [, D8 FD, 05]
11000; [, D9 11, 05]
11001; [, D9 21, 05]
11002; [, D9 31, 05]
10A0E; [, D9 41, 05]
10A0F; [, D9 51, 05]
10A38; [, D9 61, 05]
10A39; [, D9 71, 05]
10A3A; [, D9 81, 05]
110BA; [, D9 91, 05]
11080; [, D9 A1, 05]
11081; [, D9 B1, 05]
11082; [, D9 C1, 05]
0E4E; [, D9 D1, 05]
0E47; [, D9 E1, 05]
0E48; [, D9 F1, 05]
0E49; [, DA 05, 05]
0E4A; [, DA 15, 05]
0E4B; [, DA 25, 05]
0E4C; [, DA 35, 05]
0E4D; [, DA 45, 05]
0EC8; [, DA 55, 05]
0EC9; [, DA 65, 05]
0ECA; [, DA 75, 05]
0ECB; [, DA 85, 05]
0ECC; [, DA 95, 05]
0ECD; [, DA A5, 05]
AABF; [, DA B5, 05]
AAC1; [, DA C5, 05]
0F39; [, DA D5, 05]
0F7E; [, DA E5, 05]
0F7F; [, DA F5, 05]
1C37; [, DB 09, 05]
A92B; [, DB 19, 05]
A92C; [, DB 29, 05]
A92D; [, DB 39, 05]
1036; [, DB 49, 05]
1037; [, DB 59, 05]
1038; [, DB 69, 05]
108D; [, DB 79, 05]
17C6; [, DB 89, 05]
17C7; [, DB 99, 05]
17C8; [, DB A9, 05]
17C9; [, DB B9, 05]
17CA; [, DB C9, 05]
1A74; [, DB D9, 05]
1A75; [, DB E9, 05]
1A76; [, DB F9, 05]
1A77; [, DC 0D, 05]
1A78; [, DC 1D, 05]
1A79; [, DC 2D, 05]
1A7A; [, DC 3D, 05]
1A7B; [, DC 4D, 05]
1A7C; [, DC 5D, 05]
1939; [, DC 6D, 05]
193A; [, DC 7D, 05]
193B; [, DC 8D, 05]
302A; [, DC 9D, 05]
302B; [, DC AD, 05]
302C; [, DC BD, 05]
302D; [, DC CD, 05]
302E; [, DC DD, 05]
302F; [, DC ED, 05]
3099; [, DC FD, 05]
FF9E; [, DC FD, A3]
309A; [, DD 11, 05]
FF9F; [, DD 11, A3]
20D0; [, DD 21, 05]
20D1; [, DD 31, 05]
20D2; [, DD 41, 05]
20D3; [, DD 41, 05]
20D4; [, DD 51, 05]
20D5; [, DF 69, 05]
20D6; [, DF 79, 05]
20D7; [, DF 89, 05]
20DB; [, DF 99, 05]
20DC; [, E0 2D, 05]
20E1; [, E0 3D, 05]
20E6; [, E0 4D, 05]
20E7; [, E0 5D, 05]
20E8; [, E0 6D, 05]
20E9; [, E0 7D, 05]
101FD; [, E0 8D, 05]

0009; [03 40, 05, 05]

000A; [03 42, 05, 05]

000B; [03 44, 05, 05]

000C; [03 46, 05, 05]

000D; [03 48, 05, 05]

0085; [03 4A, 05, 05]

180E; [03 4C, 05, 05]

2028; [03 4E, 05, 05]

2029; [03 50, 05, 05]

0020; [04, 05, 05]
3000; [04, 05, 07]
2000; [04, 05, 09]
2001; [04, 05, 09]
2002; [04, 05, 09]
2003; [04, 05, 09]
2004; [04, 05, 09]
2005; [04, 05, 09]
2006; [04, 05, 09]
2008; [04, 05, 09]
2009; [04, 05, 09]
200A; [04, 05, 09]
205F; [04, 05, 09]
00A0; [04, 05, 35]
2007; [04, 05, 35]
202F; [04, 05, 35]

1680; [05 40, 05, 05]

203E; [06 0A, 05, 05]
FE49; [06 0A, 05, 09]
FE4A; [06 0A, 05, 09]
FE4B; [06 0A, 05, 09]
FE4C; [06 0A, 05, 09]

005F; [06 0C, 05, 05]
FF3F; [06 0C, 05, 07]
FE4D; [06 0C, 05, 09]
FE4E; [06 0C, 05, 09]
FE4F; [06 0C, 05, 09]
FE33; [06 0C, 05, 2B]
FE34; [06 0C, 05, 2B]

2017; [06 0E, 05, 05]

002D; [06 10, 05, 05]
FF0D; [06 10, 05, 07]
FE63; [06 10, 05, 1D]

058A; [06 12, 05, 05]

1400; [06 14 04, 05, 05]

1B60; [06 14 0C, 05, 05]

1806; [06 14 14, 05, 05]

1807; [06 14 1C, 05, 05]

2010; [06 15, 05, 05]
2011; [06 15, 05, 35]

2012; [06 17, 05, 05]

2013; [06 19, 05, 05]
FE32; [06 19, 05, 2B]

2014; [06 1B, 05, 05]
FE58; [06 1B, 05, 1D]
FE31; [06 1B, 05, 2B]

2015; [06 1D, 05, 05]

2053; [06 1F, 05, 05]

2E17; [06 21, 05, 05]

301C; [06 23, 05, 05]

3030; [06 25, 05, 05]

30A0; [06 27, 05, 05]

30FB; [06 29, 05, 05]
FF65; [06 29, 05, A3]

002C; [07, 05, 05]
FF0C; [07, 05, 07]
FE50; [07, 05, 1D]
FE10; [07, 05, 2B]

055D; [08 40, 05, 05]

060C; [08 42, 05, 05]

060D; [08 44, 05, 05]

066B; [08 46, 05, 05]

066C; [08 48, 05, 05]

07F8; [08 4A 04, 05, 05]

1802; [08 4B, 05, 05]

1808; [08 4D 04, 05, 05]

A4FE; [08 4D 0C, 05, 05]

A60D; [08 4D 14, 05, 05]

A6F5; [08 4D 1C, 05, 05]

3001; [08 4E, 05, 05]
FE51; [08 4E, 05, 1D]
FF64; [08 4E, 05, A3]
FE11; [08 4E, 05, 2B]

FE45; [08 50, 05, 05]

FE46; [08 52, 05, 05]

003B; [08 54, 05, 05]
037E; [08 54, 05, 05]
FF1B; [08 54, 05, 07]
FE54; [08 54, 05, 1D]
FE14; [08 54, 05, 2B]

061B; [08 56, 05, 05]

204F; [08 58, 05, 05]

A6F6; [08 5A 04, 05, 05]

003A; [08 5B, 05, 05]
FF1A; [08 5B, 05, 07]
FE55; [08 5B, 05, 1D]
FE13; [08 5B, 05, 2B]
2A74; [08 5B, 05, 09][08 5B, 05, 09][0D 73, 05, 3D]

0589; [08 5D, 05, 05]

061E; [08 5F, 05, 05]

0703; [08 61 04, 05, 05]

0704; [08 61 0C, 05, 05]

0705; [08 61 14, 05, 05]

0706; [08 61 1C, 05, 05]

0707; [08 61 24, 05, 05]

0708; [08 61 2C, 05, 05]

0830; [08 61 34, 05, 05]

0831; [08 61 3C, 05, 05]

0832; [08 61 44, 05, 05]

0833; [08 61 4C, 05, 05]

0834; [08 61 54, 05, 05]

0835; [08 61 5C, 05, 05]

