# LineBreak-6.0.0.txt
# Date: 2010-08-18, 17:25:00 PDT [KW]
#
# Line Break Properties
#
# This file is a normative contributory data file in the
# Unicode Character Database.
# It contains both normative and informative data.
#
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# The format is two fields separated by a semicolon.
# Field 0: Unicode value
# Field 1: LineBreak property, consisting of one of the following values:
#   Normative:
#         "BK", "CR", "LF", "CM", "SG", "GL", "CB", "SP", "ZW",
#         "NL", "WJ", "JL", "JV", "JT", "H2", "H3"
#   Informative:
#         "XX", "OP", "CL", "CP", "QU", "NS", "EX", "SY",
#         "IS", "PR", "PO", "NU", "AL", "ID", "IN", "HY",
#         "BB", "BA", "SA", "AI", "B2"
#  - All code points, assigned and unassigned, that are not listed
#         explicitly are given the value "XX".
# The unassigned code points that default to "ID" include ranges in the
# following blocks:
#     CJK Unified Ideographs Extension A:       U+3400..U+4DBF
#     CJK Unified Ideographs:                   U+4E00..U+9FFF
#     CJK Compatibility Ideographs:             U+F900..U+FAFF
#     CJK Unified Ideographs Extension B:      U+20000..U+2A6DF
#     CJK Unified Ideographs Extension C:      U+2A700..U+2B73F
#     CJK Unified Ideographs Extension D:      U+2B740..U+2B81F
#     CJK Compatibility Ideographs Supplement: U+2F800..U+2FA1F
#     and any other reserved code points on
#         Planes 2 and 3:                      U+20000..U+2FFFD
#                                              U+30000..U+3FFFD
#  - Characters ranges are specified as for other property files in
#         the Unicode Character Database.
#
# The Unicode name of each character is provided in a comment for help
# in identifying the characters.
#
# See UAX #14: Unicode Line Breaking Algorithm, for more information
#
# @missing: 0000..10FFFF; XX
0AAA..0AB0;AL
0AB2..0AB3;AL
0AB5..0AB9;AL
0ABC;CM
0ABD;AL
0ABE..0AC5;CM
0AC7..0AC9;CM
0ACB..0ACD;CM
0AD0;AL
0AE0..0AE1;AL
0AE2..0AE3;CM
0AE6..0AEF;NU
0AF1;PR
0B01..0B03;CM
0B05..0B0C;AL
0B0F..0B10;AL
0B13..0B28;AL
0B2A..0B30;AL
0B32..0B33;AL
0B35..0B39;AL
0B3C;CM
0B3D;AL
0B3E..0B44;CM
0B47..0B48;CM
0B4B..0B4D;CM
0B56..0B57;CM
0B5C..0B5D;AL
0B5F..0B61;AL
0B62..0B63;CM
0B66..0B6F;NU
0B70..0B77;AL
0B82;CM
0B83;AL
0B85..0B8A;AL
0B8E..0B90;AL
0B92..0B95;AL
0B99..0B9A;AL
0B9C;AL
0B9E..0B9F;AL
0BA3..0BA4;AL
0BA8..0BAA;AL
0BAE..0BB9;AL
0BBE..0BC2;CM
0BC6..0BC8;CM
0BCA..0BCD;CM
0BD0;AL
0BD7;CM
0BE6..0BEF;NU
0BF0..0BF8;AL
0BF9;PR
0BFA;AL
0C01..0C03;CM
0C05..0C0C;AL
0C0E..0C10;AL
0C12..0C28;AL
0C2A..0C33;AL
0C35..0C39;AL
0C3D;AL
0C3E..0C44;CM
0C46..0C48;CM
0C4A..0C4D;CM
0C55..0C56;CM
0C58..0C59;AL
0C60..0C61;AL
0C62..0C63;CM
0C66..0C6F;NU
0C78..0C7F;AL
0C82..0C83;CM
0C85..0C8C;AL
0C8E..0C90;AL
0C92..0CA8;AL
0CAA..0CB3;AL
0CB5..0CB9;AL
0CBC;CM
0CBD;AL
0CBE..0CC4;CM
0CC6..0CC8;CM
0CCA..0CCD;CM
0CD5..0CD6;CM
0CDE;AL
0CE0..0CE1;AL
0CE2..0CE3;CM
0CE6..0CEF;NU
0CF1..0CF2;AL
0D02..0D03;CM
0D05..0D0C;AL
0D0E..0D10;AL
0D12..0D3A;AL
0D3D;AL
0D3E..0D44;CM
0D46..0D48;CM
0D4A..0D4D;CM
0D4E;AL
0D57;CM
0D60..0D61;AL
0D62..0D63;CM
0D66..0D6F;NU
0D70..0D75;AL
0D79;PO
0D7A..0D7F;AL
0D82..0D83;CM
0D85..0D96;AL
0D9A..0DB1;AL
0DB3..0DBB;AL
0DBD;AL
0DC0..0DC6;AL
0DCA;CM
0DCF..0DD4;CM
0DD6;CM
0DD8..0DDF;CM
0DF2..0DF3;CM
0DF4;AL
0E01..0E3A;SA
0E3F;PR
0E40..0E4E;SA
0E4F;AL
0E50..0E59;NU
0E5A..0E5B;BA
0E81..0E82;SA
0E84;SA
0E87..0E88;SA
0E8A;SA
0E8D;SA
0E94..0E97;SA
0E99..0E9F;SA
0EA1..0EA3;SA
0EA5;SA
0EA7;SA
0EAA..0EAB;SA
0EAD..0EB9;SA
0EBB..0EBD;SA
0EC0..0EC4;SA
0EC6;SA
0EC8..0ECD;SA
0ED0..0ED9;NU
0EDC..0EDD;SA
0F00;AL
0F01..0F04;BB
0F05;AL
0F06..0F07;BB
0F08;GL
0F09..0F0A;BB
0F0B;BA
0F0C;GL
0F0D..0F11;EX
0F12;GL
0F13;AL
0F14;EX
0F15..0F17;AL
0F18..0F19;CM
0F1A..0F1F;AL
0F20..0F29;NU
0F2A..0F33;AL
0F34;BA
0F35;CM
0F36;AL
0F37;CM
0F38;AL
0F39;CM
0F3A;OP
0F3B;CL
0F3C;OP
0F3D;CL
0F3E..0F3F;CM
0F40..0F47;AL
0F49..0F6C;AL
0F71..0F7E;CM
0F7F;BA
0F80..0F84;CM
0F85;BA
0F86..0F87;CM
0F88..0F8C;AL
0F8D..0F97;CM
0F99..0FBC;CM
0FBE..0FBF;BA
0FC0..0FC5;AL
0FC6;CM
0FC7..0FCC;AL
0FCE..0FCF;AL
0FD0..0FD1;BB
0FD2;BA
0FD3;BB
0FD4..0FD8;AL
0FD9..0FDA;GL
1000..103F;SA
1040..1049;NU
104A..104B;BA
104C..104F;AL
1050..108F;SA
1090..1099;NU
109A..109F;SA
10A0..10C5;AL
10D0..10FC;AL
1100..115F;JL
1160..11A7;JV
11A8..11FF;JT
1200..1248;AL
124A..124D;AL
1250..1256;AL
1258;AL
125A..125D;AL
1260..1288;AL
128A..128D;AL
1290..12B0;AL
12B2..12B5;AL
12B8..12BE;AL
12C0;AL
12C2..12C5;AL
12C8..12D6;AL
12D8..1310;AL
1312..1315;AL
1318..135A;AL
135D..135F;CM
1360;AL
1361;BA
1362..137C;AL
1380..1399;AL
13A0..13F4;AL
1400;BA
1401..167F;AL
1680;BA
1681..169A;AL
169B;OP
169C;CL
16A0..16EA;AL
16EB..16ED;BA
16EE..16F0;AL
1700..170C;AL
170E..1711;AL
1712..1714;CM
1720..1731;AL
1732..1734;CM
1735..1736;BA
1740..1751;AL
1752..1753;CM
1760..176C;AL
176E..1770;AL
1772..1773;CM
1780..17D3;SA
17D4..17D5;BA
17D6;NS
17D7;SA
17D8;BA
17D9;AL
17DA;BA
17DB;PR
17DC..17DD;SA
17E0..17E9;NU
17F0..17F9;AL
1800..1801;AL
1802..1803;EX
1804..1805;BA
1806;BB
1807;AL
1808..1809;EX
180A;AL
180B..180D;CM
180E;GL
1810..1819;NU
1820..1877;AL
1880..18A8;AL
18A9;CM
18AA;AL
18B0..18F5;AL
1900..191C;AL
1920..192B;CM
1930..193B;CM
1940;AL
1944..1945;EX
1946..194F;NU
1950..196D;SA
1970..1974;SA
1980..19AB;SA
19B0..19C9;SA
19D0..19D9;NU
19DA;SA
19DE..19DF;SA
19E0..1A16;AL
1A17..1A1B;CM
1A1E..1A1F;AL
1A20..1A5E;SA
1A60..1A7C;SA
1A7F;CM
1A80..1A89;NU
1A90..1A99;NU
1AA0..1AAD;SA
1B00..1B04;CM
1B05..1B33;AL
1B34..1B44;CM
1B45..1B4B;AL
1B50..1B59;NU
1B5A..1B5B;BA
1B5C;AL
1B5D..1B60;BA
1B61..1B6A;AL
1B6B..1B73;CM
1B74..1B7C;AL
1B80..1B82;CM
1B83..1BA0;AL
1BA1..1BAA;CM
1BAE..1BAF;AL
1BB0..1BB9;NU
1BC0..1BE5;AL
1BE6..1BF3;CM
1BFC..1C23;AL
1C24..1C37;CM
1C3B..1C3F;BA
1C40..1C49;NU
1C4D..1C4F;AL
1C50..1C59;NU
1C5A..1C7D;AL
1C7E..1C7F;BA
1CD0..1CD2;CM
1CD3;AL
1CD4..1CE8;CM
1CE9..1CEC;AL
1CED;CM
1CEE..1CF1;AL
1CF2;CM
1D00..1DBF;AL
1DC0..1DE6;CM
1DFC..1DFF;CM
1E00..1F15;AL
1F18..1F1D;AL
1F20..1F45;AL
1F48..1F4D;AL
1F50..1F57;AL
1F59;AL
1F5B;AL
1F5D;AL
1F5F..1F7D;AL
1F80..1FB4;AL
1FB6..1FC4;AL
1FC6..1FD3;AL
1FD6..1FDB;AL
1FDD..1FEF;AL
1FF2..1FF4;AL
1FF6..1FFC;AL
1FFD;BB
1FFE;AL
2000..2006;BA
2007;GL
2008..200A;BA
200B;ZW
200C..200F;CM
2010;BA
2011;GL
2012..2013;BA
2014;B2
2015..2016;AI
2017;AL
2018..2019;QU
201A;OP
201B..201D;QU
201E;OP
201F;QU
2020..2021;AI
2022..2023;AL
2024..2026;IN
2027;BA
2028..2029;BK
202A..202E;CM
202F;GL
2030..2037;PO
2038;AL
2039..203A;QU
203B;AI
203C..203D;NS
203E..2043;AL
2044;IS
2045;OP
2046;CL
2047..2049;NS
204A..2055;AL
2056;BA
2057;AL
2058..205B;BA
205C;AL
205D..205F;BA
2060;WJ
2061..2064;AL
206A..206F;CM
2070..2071;AL
2074;AI
2075..207C;AL
207D;OP
207E;CL
207F;AI
2080;AL
2081..2084;AI
2085..208C;AL
208D;OP
208E;CL
2090..209C;AL
20A0..20A6;PR
20A7;PO
20A8..20B5;PR
20B6;PO
20B7..20B9;PR
20D0..20F0;CM
2100..2102;AL
2103;PO
2104;AL
2105;AI
2106..2108;AL
2109;PO
210A..2112;AL
2113;AI
2114..2115;AL
2116;PR
2117..2120;AL
2121..2122;AI
2123..212A;AL
212B;AI
212C..2153;AL
2154..2155;AI
2156..215A;AL
215B;AI
215C..215D;AL
215E;AI
215F;AL
2160..216B;AI
216C..216F;AL
2170..2179;AI
217A..2188;AL
2189;AI
2190..2199;AI
219A..21D1;AL
21D2;AI
21D3;AL
21D4;AI
21D5..21FF;AL
2200;AI
2201;AL
2202..2203;AI
2204..2206;AL
2207..2208;AI
2209..220A;AL
220B;AI
220C..220E;AL
220F;AI
2210;AL
2211;AI
2212..2213;PR
2214;AL
2215;AI
2216..2219;AL
221A;AI
221B..221C;AL
221D..2220;AI
2221..2222;AL
2223;AI
2224;AL
2225;AI
2226;AL
2227..222C;AI
222D;AL
222E;AI
222F..2233;AL
2234..2237;AI
2238..223B;AL
223C..223D;AI
223E..2247;AL
2248;AI
2249..224B;AL
224C;AI
224D..2251;AL
2252;AI
2253..225F;AL
2260..2261;AI
2262..2263;AL
2264..2267;AI
2268..2269;AL
226A..226B;AI
226C..226D;AL
226E..226F;AI
2270..2281;AL
2282..2283;AI
2284..2285;AL
2286..2287;AI
2288..2294;AL
2295;AI
2296..2298;AL
2299;AI
229A..22A4;AL
22A5;AI
22A6..22BE;AL
22BF;AI
22C0..2311;AL
2312;AI
2313..2328;AL
2329;OP
232A;CL
232B..23F3;AL
2400..2426;AL
2440..244A;AL
2460..24FE;AI
24FF;AL
2500..254B;AI
254C..254F;AL
2550..2574;AI
2575..257F;AL
2580..258F;AI
2590..2591;AL
2592..2595;AI
2596..259F;AL
25A0..25A1;AI
25A2;AL
25A3..25A9;AI
25AA..25B1;AL
25B2..25B3;AI
25B4..25B5;AL
25B6..25B7;AI
25B8..25BB;AL
25BC..25BD;AI
25BE..25BF;AL
25C0..25C1;AI
25C2..25C5;AL
25C6..25C8;AI
25C9..25CA;AL
25CB;AI
25CC..25CD;AL
25CE..25D1;AI
25D2..25E1;AL
25E2..25E5;AI
25E6..25EE;AL
25EF;AI
25F0..2604;AL
2605..2606;AI
2607..2608;AL
2609;AI
260A..260D;AL
260E..260F;AI
2610..2613;AL
2614..2617;AI
2618..261B;AL
261C;AI
261D;AL
261E;AI
261F..263F;AL
2640;AI
2641;AL
2642;AI
2643..265F;AL
2660..2661;AI
2662;AL
2663..2665;AI
2666;AL
2667..266A;AI
266B;AL
266C..266D;AI
266E;AL
266F;AI
2670..269D;AL
269E..269F;AI
26A0..26BD;AL
26BE..26BF;AI
26C0..26C3;AL
26C4..26CD;AI
26CE;AL
26CF..26E1;AI
26E2;AL
26E3;AI
26E4..26E7;AL
26E8..26FF;AI
2701..2756;AL
2757;AI
2758..275A;AL
275B..275E;QU
275F..2761;AL
2762..2763;EX
2764..2767;AL
2768;OP
2769;CL
276A;OP
276B;CL
276C;OP
276D;CL
276E;OP
276F;CL
2770;OP
2771;CL
2772;OP
2773;CL
2774;OP
2775;CL
2776..2793;AI
2794..27C4;AL
27C5;OP
27C6;CL
27C7..27CA;AL
27CC;AL
27CE..27E5;AL
27E6;OP
27E7;CL
27E8;OP
27E9;CL
27EA;OP
27EB;CL
27EC;OP
27ED;CL
27EE;OP
27EF;CL
27F0..2982;AL
2983;OP
2984;CL
2985;OP
2986;CL
2987;OP
2988;CL
2989;OP
298A;CL
298B;OP
298C;CL
298D;OP
298E;CL
298F;OP
2990;CL
2991;OP
2992;CL
2993;OP
2994;CL
2995;OP
2996;CL
2997;OP
2998;CL
2999..29D7;AL
29D8;OP
29D9;CL
29DA;OP
29DB;CL
29DC..29FB;AL
29FC;OP
29FD;CL
29FE..2B4C;AL
2B50..2B54;AL
2B55..2B59;AI
2C00..2C2E;AL
2C30..2C5E;AL
2C60..2CEE;AL
2CEF..2CF1;CM
2CF9;EX
2CFA..2CFC;BA
2CFD;AL
2CFE;EX
2CFF;BA
2D00..2D25;AL
2D30..2D65;AL
2D6F;AL
2D70;BA
2D7F;CM
2D80..2D96;AL
2DA0..2DA6;AL
2DA8..2DAE;AL
2DB0..2DB6;AL
2DB8..2DBE;AL
2DC0..2DC6;AL
2DC8..2DCE;AL
2DD0..2DD6;AL
2DD8..2DDE;AL
2DE0..2DFF;CM
2E00..2E0D;QU
2E0E..2E15;BA
2E16;AL
2E17;BA
2E18;OP
2E19;BA
2E1A..2E1B;AL
2E1C..2E1D;QU
2E1E..2E1F;AL
2E20..2E21;QU
2E22;OP
2E23;CL
2E24;OP
2E25;CL
2E26;OP
2E27;CL
2E28;OP
2E29;CL
2E2A..2E2D;BA
2E2E;EX
2E2F;AL
2E30..2E31;BA
2E80..2E99;ID
2E9B..2EF3;ID
2F00..2FD5;ID
2FF0..2FFB;ID
3000;ID
3001..3002;CL
3003..3004;ID
3005;NS
3006..3007;ID
3008;OP
3009;CL
300A;OP
300B;CL
300C;OP
300D;CL
300E;OP
300F;CL
3010;OP
3011;CL
3012..3013;ID
3014;OP
3015;CL
3016;OP
3017;CL
3018;OP
3019;CL
301A;OP
301B;CL
301C;NS
301D;OP
301E..301F;CL
3020..3029;ID
302A..302F;CM
3030..303A;ID
303B..303C;NS
303D..303F;ID
3041;NS
3042;ID
3043;NS
3044;ID
3045;NS
3046;ID
3047;NS
3048;ID
3049;NS
304A..3062;ID
3063;NS
3064..3082;ID
3083;NS
3084;ID
3085;NS
3086;ID
3087;NS
3088..308D;ID
308E;NS
308F..3094;ID
3095..3096;NS
3099..309A;CM
309B..309E;NS
309F;ID
30A0..30A1;NS
30A2;ID
30A3;NS
30A4;ID
30A5;NS
30A6;ID
30A7;NS
30A8;ID
30A9;NS
30AA..30C2;ID
30C3;NS
30C4..30E2;ID
30E3;NS
30E4;ID
30E5;NS
30E6;ID
30E7;NS
30E8..30ED;ID
30EE;NS
30EF..30F4;ID
30F5..30F6;NS
30F7..30FA;ID
30FB..30FE;NS
30FF;ID
3105..312D;ID
3131..318E;ID
3190..31BA;ID
31C0..31E3;ID
31F0..31FF;NS
3200..321E;ID
3220..3247;ID
3248..324F;AI
3250..32FE;ID
3300..33FF;ID
3400..4DB5;ID
4DB6..4DBF;ID
4DC0..4DFF;AL
4E00..9FCB;ID
9FCC..9FFF;ID
A000..A014;ID
A015;NS
A016..A48C;ID
A490..A4C6;ID
A4D0..A4FD;AL
A4FE..A4FF;BA
A500..A60C;AL
A60D;BA
A60E;EX
A60F;BA
A610..A61F;AL
A620..A629;NU
A62A..A62B;AL
A640..A66E;AL
A66F..A672;CM
A673;AL
A67C..A67D;CM
A67E..A697;AL
A6A0..A6EF;AL
A6F0..A6F1;CM
A6F2;AL
A6F3..A6F7;BA
A700..A78E;AL
A790..A791;AL
A7A0..A7A9;AL
A7FA..A801;AL
A802;CM
A803..A805;AL
A806;CM
A807..A80A;AL
A80B;CM
A80C..A822;AL
A823..A827;CM
A828..A82B;AL
A830..A837;AL
A838;PO
A839;AL
A840..A873;AL
A874..A875;BB
A876..A877;EX
A880..A881;CM
A882..A8B3;AL
A8B4..A8C4;CM
A8CE..A8CF;BA
A8D0..A8D9;NU
A8E0..A8F1;CM
A8F2..A8FB;AL
A900..A909;NU
A90A..A925;AL
A926..A92D;CM
A92E..A92F;BA
A930..A946;AL
A947..A953;CM
A95F;AL
A960..A97C;JL
A980..A983;CM
A984..A9B2;AL
A9B3..A9C0;CM
A9C1..A9C6;AL
A9C7..A9C9;BA
A9CA..A9CD;AL
A9CF;AL
A9D0..A9D9;NU
A9DE..A9DF;AL
AA00..AA28;AL
AA29..AA36;CM
AA40..AA42;AL
AA43;CM
AA44..AA4B;AL
AA4C..AA4D;CM
AA50..AA59;NU
AA5C;AL
AA5D..AA5F;BA
AA60..AA7B;SA
AA80..AAC2;SA
AADB..AADF;SA
AB01..AB06;AL
AB09..AB0E;AL
AB11..AB16;AL
AB20..AB26;AL
AB28..AB2E;AL
ABC0..ABE2;AL
ABE3..ABEA;CM
ABEB;BA
ABEC..ABED;CM
ABF0..ABF9;NU
AC00;H2
AC01..AC1B;H3
AC1C;H2
AC1D..AC37;H3
AC38;H2
AC39..AC53;H3
AC54;H2
AC55..AC6F;H3
AC70;H2
AC71..AC8B;H3
AC8C;H2
AC8D..ACA7;H3
ACA8;H2
ACA9..ACC3;H3
ACC4;H2
ACC5..ACDF;H3
ACE0;H2
ACE1..ACFB;H3
ACFC;H2
ACFD..AD17;H3
AD18;H2
AD19..AD33;H3
AD34;H2
AD35..AD4F;H3
AD50;H2
AD51..AD6B;H3
AD6C;H2
AD6D..AD87;H3
AD88;H2
AD89..ADA3;H3
ADA4;H2
ADA5..ADBF;H3
ADC0;H2
ADC1..ADDB;H3
ADDC;H2
ADDD..ADF7;H3
ADF8;H2
ADF9..AE13;H3
AE14;H2
AE15..AE2F;H3
AE30;H2
AE31..AE4B;H3
AE4C;H2
AE4D..AE67;H3
AE68;H2
AE69..AE83;H3
AE84;H2
AE85..AE9F;H3
AEA0;H2
AEA1..AEBB;H3
AEBC;H2
AEBD..AED7;H3
AED8;H2
AED9..AEF3;H3
AEF4;H2
AEF5..AF0F;H3
AF10;H2
AF11..AF2B;H3
AF2C;H2
AF2D..AF47;H3
AF48;H2
AF49..AF63;H3
AF64;H2
AF65..AF7F;H3
AF80;H2
AF81..AF9B;H3
AF9C;H2
AF9D..AFB7;H3
AFB8;H2
AFB9..AFD3;H3
AFD4;H2
AFD5..AFEF;H3
AFF0;H2
AFF1..B00B;H3
B00C;H2
B00D..B027;H3
B028;H2
B029..B043;H3
B044;H2
B045..B05F;H3
B060;H2
B061..B07B;H3
B07C;H2
B07D..B097;H3
B098;H2
B099..B0B3;H3
B0B4;H2
B0B5..B0CF;H3
B0D0;H2
B0D1..B0EB;H3
B0EC;H2
B0ED..B107;H3
B108;H2
B109..B123;H3
B124;H2
B125..B13F;H3
B140;H2
B141..B15B;H3
B15C;H2
B15D..B177;H3
B178;H2
B179..B193;H3
B194;H2
B195..B1AF;H3
B1B0;H2
B1B1..B1CB;H3
B1CC;H2
B1CD..B1E7;H3
B1E8;H2
B1E9..B203;H3
B204;H2
B205..B21F;H3
B220;H2
B221..B23B;H3
B23C;H2
B23D..B257;H3
B258;H2
B259..B273;H3
B274;H2
B275..B28F;H3
B290;H2
B291..B2AB;H3
B2AC;H2
B2AD..B2C7;H3
B2C8;H2
B2C9..B2E3;H3
B2E4;H2
B2E5..B2FF;H3
B300;H2
B301..B31B;H3
B31C;H2
B31D..B337;H3
B338;H2
B339..B353;H3
B354;H2
B355..B36F;H3
B370;H2
B371..B38B;H3
B38C;H2
B38D..B3A7;H3
B3A8;H2
B3A9..B3C3;H3
B3C4;H2
B3C5..B3DF;H3
B3E0;H2
B3E1..B3FB;H3
B3FC;H2
B3FD..B417;H3
B418;H2
B419..B433;H3
B434;H2
B435..B44F;H3
B450;H2
B451..B46B;H3
B46C;H2
B46D..B487;H3
B488;H2
B489..B4A3;H3
B4A4;H2
B4A5..B4BF;H3
B4C0;H2
B4C1..B4DB;H3
B4DC;H2
B4DD..B4F7;H3
B4F8;H2
B4F9..B513;H3
B514;H2
B515..B52F;H3
B530;H2
B531..B54B;H3
B54C;H2
B54D..B567;H3
B568;H2
B569..B583;H3
B584;H2
B585..B59F;H3
B5A0;H2
B5A1..B5BB;H3
B5BC;H2
B5BD..B5D7;H3
B5D8;H2
B5D9..B5F3;H3
B5F4;H2
B5F5..B60F;H3
B610;H2
B611..B62B;H3
B62C;H2
B62D..B647;H3
B648;H2
B649..B663;H3
B664;H2
B665..B67F;H3
B680;H2
B681..B69B;H3
B69C;H2
B69D..B6B7;H3
B6B8;H2
B6B9..B6D3;H3
B6D4;H2
B6D5..B6EF;H3
B6F0;H2
B6F1..B70B;H3
B70C;H2
B70D..B727;H3
B728;H2
B729..B743;H3
B744;H2
B745..B75F;H3
B760;H2
B761..B77B;H3
B77C;H2
B77D..B797;H3
B798;H2
B799..B7B3;H3
B7B4;H2
B7B5..B7CF;H3
B7D0;H2
B7D1..B7EB;H3
B7EC;H2
B7ED..B807;H3
B808;H2
B809..B823;H3
B824;H2
B825..B83F;H3
B840;H2
B841..B85B;H3
B85C;H2
B85D..B877;H3
B878;H2
B879..B893;H3
B894;H2
B895..B8AF;H3
B8B0;H2
B8B1..B8CB;H3
B8CC;H2
B8CD..B8E7;H3
B8E8;H2
B8E9..B903;H3
B904;H2
B905..B91F;H3
B920;H2
B921..B93B;H3
B93C;H2
B93D..B957;H3
B958;H2
B959..B973;H3
B974;H2
B975..B98F;H3
B990;H2
B991..B9AB;H3
B9AC;H2
B9AD..B9C7;H3
B9C8;H2
B9C9..B9E3;H3
B9E4;H2
B9E5..B9FF;H3
BA00;H2
