# Scripts-6.0.0.txt
# Date: 2010-08-19, 00:48:47 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Script

#  All code points not explicitly listed for Script
#  have the value Unknown (Zzzz).

# @missing: 0000..10FFFF; Unknown

# ================================================

0000..001F    ; Common
2320..2321    ; Common
2322..2328    ; Common
2329          ; Common
232A          ; Common
232B..237B    ; Common
237C          ; Common
237D..239A    ; Common
239B..23B3    ; Common
23B4..23DB    ; Common
23DC..23E1    ; Common
23E2..23F3    ; Common
2400..2426    ; Common
2440..244A    ; Common
2460..249B    ; Common
249C..24E9    ; Common
24EA..24FF    ; Common
2500..25B6    ; Common
25B7          ; Common
25B8..25C0    ; Common
25C1          ; Common
25C2..25F7    ; Common
25F8..25FF    ; Common
2600..266E    ; Common
266F          ; Common
2670..26FF    ; Common
2701..2767    ; Common
2768          ; Common
2769          ; Common
276A          ; Common
276B          ; Common
276C          ; Common
276D          ; Common
276E          ; Common
276F          ; Common
2770          ; Common
2771          ; Common
2772          ; Common
2773          ; Common
2774          ; Common
2775          ; Common
2776..2793    ; Common
2794..27BF    ; Common
27C0..27C4    ; Common
27C5          ; Common
27C6          ; Common
27C7..27CA    ; Common
27CC          ; Common
27CE..27E5    ; Common
27E6          ; Common
27E7          ; Common
27E8          ; Common
27E9          ; Common
27EA          ; Common
27EB          ; Common
27EC          ; Common
27ED          ; Common
27EE          ; Common
27EF          ; Common
27F0..27FF    ; Common
2900..2982    ; Common
2983          ; Common
2984          ; Common
2985          ; Common
2986          ; Common
2987          ; Common
2988          ; Common
2989          ; Common
298A          ; Common
298B          ; Common
298C          ; Common
298D          ; Common
298E          ; Common
298F          ; Common
2990          ; Common
2991          ; Common
2992          ; Common
2993          ; Common
2994          ; Common
2995          ; Common
2996          ; Common
2997          ; Common
2998          ; Common
2999..29D7    ; Common
29D8          ; Common
29D9          ; Common
29DA          ; Common
29DB          ; Common
29DC..29FB    ; Common
29FC          ; Common
29FD          ; Common
29FE..2AFF    ; Common
2B00..2B2F    ; Common
2B30..2B44    ; Common
2B45..2B46    ; Common
2B47..2B4C    ; Common
2B50..2B59    ; Common
2E00..2E01    ; Common
2E02          ; Common
2E03          ; Common
2E04          ; Common
2E05          ; Common
2E06..2E08    ; Common
2E09          ; Common
2E0A          ; Common
2E0B          ; Common
2E0C          ; Common
2E0D          ; Common
2E0E..2E16    ; Common
2E17          ; Common
2E18..2E19    ; Common
2E1A          ; Common
2E1B          ; Common
2E1C          ; Common
2E1D          ; Common
2E1E..2E1F    ; Common
2E20          ; Common
2E21          ; Common
2E22          ; Common
2E23          ; Common
2E24          ; Common
2E25          ; Common
2E26          ; Common
2E27          ; Common
2E28          ; Common
2E29          ; Common
2E2A..2E2E    ; Common
2E2F          ; Common
2E30..2E31    ; Common
2FF0..2FFB    ; Common
3000          ; Common
3001..3003    ; Common
3004          ; Common
3006          ; Common
3008          ; Common
3009          ; Common
300A          ; Common
300B          ; Common
300C          ; Common
300D          ; Common
300E          ; Common
300F          ; Common
3010          ; Common
3011          ; Common
3012..3013    ; Common
3014          ; Common
3015          ; Common
3016          ; Common
3017          ; Common
3018          ; Common
3019          ; Common
301A          ; Common
301B          ; Common
301C          ; Common
301D          ; Common
301E..301F    ; Common
3020          ; Common
3030          ; Common
3031..3035    ; Common
3036..3037    ; Common
303C          ; Common
303D          ; Common
303E..303F    ; Common
309B..309C    ; Common
30A0          ; Common
30FB          ; Common
30FC          ; Common
3190..3191    ; Common
3192..3195    ; Common
3196..319F    ; Common
31C0..31E3    ; Common
3220..3229    ; Common
322A..3250    ; Common
3251..325F    ; Common
327F          ; Common
3280..3289    ; Common
328A..32B0    ; Common
32B1..32BF    ; Common
32C0..32CF    ; Common
3358..33FF    ; Common
4DC0..4DFF    ; Common
A700..A716    ; Common
A717..A71F    ; Common
A720..A721    ; Common
A788          ; Common
A789..A78A    ; Common
A830..A835    ; Common
A836..A837    ; Common
A838          ; Common
A839          ; Common
FD3E          ; Common
FD3F          ; Common
FDFD          ; Common
FE10..FE16    ; Common
FE17          ; Common
FE18          ; Common
FE19          ; Common
FE30          ; Common
FE31..FE32    ; Common
FE33..FE34    ; Common
FE35          ; Common
FE36          ; Common
FE37          ; Common
FE38          ; Common
FE39          ; Common
FE3A          ; Common
FE3B          ; Common
FE3C          ; Common
FE3D          ; Common
FE3E          ; Common
FE3F          ; Common
FE40          ; Common
FE41          ; Common
FE42          ; Common
FE43          ; Common
FE44          ; Common
FE45..FE46    ; Common
FE47          ; Common
FE48          ; Common
FE49..FE4C    ; Common
FE4D..FE4F    ; Common
FE50..FE52    ; Common
FE54..FE57    ; Common
FE58          ; Common
FE59          ; Common
FE5A          ; Common
FE5B          ; Common
FE5C          ; Common
FE5D          ; Common
FE5E          ; Common
FE5F..FE61    ; Common
FE62          ; Common
FE63          ; Common
FE64..FE66    ; Common
FE68          ; Common
FE69          ; Common
FE6A..FE6B    ; Common
FEFF          ; Common
FF01..FF03    ; Common
FF04          ; Common
FF05..FF07    ; Common
FF08          ; Common
FF09          ; Common
FF0A          ; Common
FF0B          ; Common
FF0C          ; Common
FF0D          ; Common
FF0E..FF0F    ; Common
FF10..FF19    ; Common
FF1A..FF1B    ; Common
FF1C..FF1E    ; Common
FF1F..FF20    ; Common
FF3B          ; Common
FF3C          ; Common
FF3D          ; Common
FF3E          ; Common
FF3F          ; Common
FF40          ; Common
FF5B          ; Common
FF5C          ; Common
FF5D          ; Common
FF5E          ; Common
FF5F          ; Common
FF60          ; Common
FF61          ; Common
FF62          ; Common
FF63          ; Common
FF64..FF65    ; Common
FF70          ; Common
FF9E..FF9F    ; Common
FFE0..FFE1    ; Common
FFE2          ; Common
FFE3          ; Common
FFE4          ; Common
FFE5..FFE6    ; Common
FFE8          ; Common
FFE9..FFEC    ; Common
FFED..FFEE    ; Common
FFF9..FFFB    ; Common
FFFC..FFFD    ; Common
10100..10101  ; Common
10102         ; Common
10107..10133  ; Common
10137..1013F  ; Common
10190..1019B  ; Common
101D0..101FC  ; Common
1D000..1D0F5  ; Common
1D100..1D126  ; Common
1D129..1D164  ; Common
1D165..1D166  ; Common
1D16A..1D16C  ; Common
1D16D..1D172  ; Common
1D173..1D17A  ; Common
1D183..1D184  ; Common
1D18C..1D1A9  ; Common
1D1AE..1D1DD  ; Common
1D300..1D356  ; Common
1D360..1D371  ; Common
1D400..1D454  ; Common
1D456..1D49C  ; Common
1D49E..1D49F  ; Common
1D4A2         ; Common
1D4A5..1D4A6  ; Common
1D4A9..1D4AC  ; Common
1D4AE..1D4B9  ; Common
1D4BB         ; Common
1D4BD..1D4C3  ; Common
1D4C5..1D505  ; Common
1D507..1D50A  ; Common
1D50D..1D514  ; Common
1D516..1D51C  ; Common
1D51E..1D539  ; Common
1D53B..1D53E  ; Common
1D540..1D544  ; Common
1D546         ; Common
1D54A..1D550  ; Common
1D552..1D6A5  ; Common
1D6A8..1D6C0  ; Common
1D6C1         ; Common
1D6C2..1D6DA  ; Common
1D6DB         ; Common
1D6DC..1D6FA  ; Common
1D6FB         ; Common
1D6FC..1D714  ; Common
1D715         ; Common
1D716..1D734  ; Common
1D735         ; Common
1D736..1D74E  ; Common
1D74F         ; Common
1D750..1D76E  ; Common
1D76F         ; Common
1D770..1D788  ; Common
1D789         ; Common
1D78A..1D7A8  ; Common
1D7A9         ; Common
1D7AA..1D7C2  ; Common
1D7C3         ; Common
1D7C4..1D7CB  ; Common
1D7CE..1D7FF  ; Common
1F000..1F02B  ; Common
1F030..1F093  ; Common
1F0A0..1F0AE  ; Common
1F0B1..1F0BE  ; Common
1F0C1..1F0CF  ; Common
1F0D1..1F0DF  ; Common
1F100..1F10A  ; Common
1F110..1F12E  ; Common
1F130..1F169  ; Common
1F170..1F19A  ; Common
1F1E6..1F1FF  ; Common
1F201..1F202  ; Common
1F210..1F23A  ; Common
1F240..1F248  ; Common
1F250..1F251  ; Common
1F300..1F320  ; Common
1F330..1F335  ; Common
1F337..1F37C  ; Common
1F380..1F393  ; Common
1F3A0..1F3C4  ; Common
1F3C6..1F3CA  ; Common
1F3E0..1F3F0  ; Common
1F400..1F43E  ; Common
1F440         ; Common
1F442..1F4F7  ; Common
1F4F9..1F4FC  ; Common
1F500..1F53D  ; Common
1F550..1F567  ; Common
1F5FB..1F5FF  ; Common
1F601..1F610  ; Common
1F612..1F614  ; Common
1F616         ; Common
1F618         ; Common
1F61A         ; Common
1F61C..1F61E  ; Common
1F620..1F625  ; Common
1F628..1F62B  ; Common
1F62D         ; Common
1F630..1F633  ; Common
1F635..1F640  ; Common
1F645..1F64F  ; Common
1F680..1F6C5  ; Common
1F700..1F773  ; Common
E0001         ; Common
E0020..E007F  ; Common

# Total code points: 6379

# ================================================

0041..005A    ; Latin
0061..007A    ; Latin
00AA          ; Latin
00BA          ; Latin
00C0..00D6    ; Latin
00D8..00F6    ; Latin
00F8..01BA    ; Latin
01BB          ; Latin
01BC..01BF    ; Latin
01C0..01C3    ; Latin
01C4..0293    ; Latin
0294          ; Latin
0295..02AF    ; Latin
02B0..02B8    ; Latin
02E0..02E4    ; Latin
1D00..1D25    ; Latin
1D2C..1D5C    ; Latin
1D62..1D65    ; Latin
1D6B..1D77    ; Latin
1D79..1D9A    ; Latin
1D9B..1DBE    ; Latin
1E00..1EFF    ; Latin
2071          ; Latin
207F          ; Latin
2090..209C    ; Latin
212A..212B    ; Latin
2132          ; Latin
214E          ; Latin
2160..2182    ; Latin
2183..2184    ; Latin
2185..2188    ; Latin
2C60..2C7C    ; Latin
2C7D          ; Latin
2C7E..2C7F    ; Latin
A722..A76F    ; Latin
A770          ; Latin
A771..A787    ; Latin
A78B..A78E    ; Latin
A790..A791    ; Latin
A7A0..A7A9    ; Latin
A7FA          ; Latin
A7FB..A7FF    ; Latin
FB00..FB06    ; Latin
FF21..FF3A    ; Latin
FF41..FF5A    ; Latin

# Total code points: 1267

# ================================================

0370..0373    ; Greek
0375          ; Greek
0376..0377    ; Greek
037A          ; Greek
037B..037D    ; Greek
0384          ; Greek
0386          ; Greek
0388..038A    ; Greek
038C          ; Greek
038E..03A1    ; Greek
03A3..03E1    ; Greek
03F0..03F5    ; Greek
03F6          ; Greek
03F7..03FF    ; Greek
1D26..1D2A    ; Greek
1D5D..1D61    ; Greek
1D66..1D6A    ; Greek
1DBF          ; Greek
1F00..1F15    ; Greek
1F18..1F1D    ; Greek
1F20..1F45    ; Greek
1F48..1F4D    ; Greek
1F50..1F57    ; Greek
1F59          ; Greek
1F5B          ; Greek
1F5D          ; Greek
1F5F..1F7D    ; Greek
1F80..1FB4    ; Greek
1FB6..1FBC    ; Greek
1FBD          ; Greek
1FBE          ; Greek
1FBF..1FC1    ; Greek
1FC2..1FC4    ; Greek
1FC6..1FCC    ; Greek
1FCD..1FCF    ; Greek
1FD0..1FD3    ; Greek
1FD6..1FDB    ; Greek
1FDD..1FDF    ; Greek
1FE0..1FEC    ; Greek
1FED..1FEF    ; Greek
1FF2..1FF4    ; Greek
1FF6..1FFC    ; Greek
1FFD..1FFE    ; Greek
2126          ; Greek
10140..10174  ; Greek
10175..10178  ; Greek
10179..10189  ; Greek
1018A         ; Greek
1D200..1D241  ; Greek
1D242..1D244  ; Greek
1D245         ; Greek

# Total code points: 511

# ================================================

0400..0481    ; Cyrillic
0482          ; Cyrillic
0483..0484    ; Cyrillic
0487          ; Cyrillic
0488..0489    ; Cyrillic
048A..0527    ; Cyrillic
1D2B          ; Cyrillic
1D78          ; Cyrillic
2DE0..2DFF    ; Cyrillic
A640..A66D    ; Cyrillic
A66E          ; Cyrillic
A66F          ; Cyrillic
A670..A672    ; Cyrillic
A673          ; Cyrillic
A67C..A67D    ; Cyrillic
A67E          ; Cyrillic
A67F          ; Cyrillic
A680..A697    ; Cyrillic

# Total code points: 408

# ================================================

0531..0556    ; Armenian
0559          ; Armenian
055A..055F    ; Armenian
0561..0587    ; Armenian
058A          ; Armenian
FB13..FB17    ; Armenian

# Total code points: 90

# ================================================

0591..05BD    ; Hebrew
05BE          ; Hebrew
05BF          ; Hebrew
05C0          ; Hebrew
05C1..05C2    ; Hebrew
05C3          ; Hebrew
05C4..05C5    ; Hebrew
05C6          ; Hebrew
05C7          ; Hebrew
05D0..05EA    ; Hebrew
05F0..05F2    ; Hebrew
05F3..05F4    ; Hebrew
FB1D          ; Hebrew
FB1E          ; Hebrew
FB1F..FB28    ; Hebrew
FB29          ; Hebrew
FB2A..FB36    ; Hebrew
FB38..FB3C    ; Hebrew
FB3E          ; Hebrew
FB40..FB41    ; Hebrew
FB43..FB44    ; Hebrew
FB46..FB4F    ; Hebrew

# Total code points: 133

# ================================================

0600..0603    ; Arabic
0606..0608    ; Arabic
0609..060A    ; Arabic
060B          ; Arabic
060D          ; Arabic
060E..060F    ; Arabic
0610..061A    ; Arabic
061E          ; Arabic
0620..063F    ; Arabic
0641..064A    ; Arabic
0656..065E    ; Arabic
066A..066D    ; Arabic
066E..066F    ; Arabic
0671..06D3    ; Arabic
06D4          ; Arabic
06D5          ; Arabic
06D6..06DC    ; Arabic
06DE          ; Arabic
06DF..06E4    ; Arabic
06E5..06E6    ; Arabic
06E7..06E8    ; Arabic
06E9          ; Arabic
06EA..06ED    ; Arabic
06EE..06EF    ; Arabic
06F0..06F9    ; Arabic
06FA..06FC    ; Arabic
06FD..06FE    ; Arabic
06FF          ; Arabic
0750..077F    ; Arabic
FB50..FBB1    ; Arabic
FBB2..FBC1    ; Arabic
FBD3..FD3D    ; Arabic
FD50..FD8F    ; Arabic
FD92..FDC7    ; Arabic
FDF0..FDFB    ; Arabic
FDFC          ; Arabic
FE70..FE74    ; Arabic
FE76..FEFC    ; Arabic
10E60..10E7E  ; Arabic

# Total code points: 1051

# ================================================

0700..070D    ; Syriac
070F          ; Syriac
0710          ; Syriac
0711          ; Syriac
0712..072F    ; Syriac
0730..074A    ; Syriac
074D..074F    ; Syriac

# Total code points: 77

# ================================================

0780..07A5    ; Thaana
07A6..07B0    ; Thaana
07B1          ; Thaana

# Total code points: 50

# ================================================

0900..0902    ; Devanagari
0903          ; Devanagari
0904..0939    ; Devanagari
093A          ; Devanagari
093B          ; Devanagari
093C          ; Devanagari
093D          ; Devanagari
093E..0940    ; Devanagari
0941..0948    ; Devanagari
0949..094C    ; Devanagari
094D          ; Devanagari
094E..094F    ; Devanagari
0950          ; Devanagari
0953..0957    ; Devanagari
0958..0961    ; Devanagari
0962..0963    ; Devanagari
0966..096F    ; Devanagari
0971          ; Devanagari
0972..0977    ; Devanagari
0979..097F    ; Devanagari
A8E0..A8F1    ; Devanagari
A8F2..A8F7    ; Devanagari
A8F8..A8FA    ; Devanagari
A8FB          ; Devanagari

# Total code points: 150

# ================================================

0981          ; Bengali
0982..0983    ; Bengali
0985..098C    ; Bengali
098F..0990    ; Bengali
0993..09A8    ; Bengali
09AA..09B0    ; Bengali
09B2          ; Bengali
09B6..09B9    ; Bengali
09BC          ; Bengali
09BD          ; Bengali
09BE..09C0    ; Bengali
09C1..09C4    ; Bengali
09C7..09C8    ; Bengali
09CB..09CC    ; Bengali
09CD          ; Bengali
09CE          ; Bengali
09D7          ; Bengali
09DC..09DD    ; Bengali
09DF..09E1    ; Bengali
09E2..09E3    ; Bengali
09E6..09EF    ; Bengali
09F0..09F1    ; Bengali
09F2..09F3    ; Bengali
09F4..09F9    ; Bengali
09FA          ; Bengali
09FB          ; Bengali

# Total code points: 92

# ================================================

0A01..0A02    ; Gurmukhi
0A03          ; Gurmukhi
0A05..0A0A    ; Gurmukhi
0A0F..0A10    ; Gurmukhi
0A13..0A28    ; Gurmukhi
0A2A..0A30    ; Gurmukhi
0A32..0A33    ; Gurmukhi
0A35..0A36    ; Gurmukhi
0A38..0A39    ; Gurmukhi
0A3C          ; Gurmukhi
0A3E..0A40    ; Gurmukhi
0A41..0A42    ; Gurmukhi
0A47..0A48    ; Gurmukhi
0A4B..0A4D    ; Gurmukhi
0A51          ; Gurmukhi
0A59..0A5C    ; Gurmukhi
0A5E          ; Gurmukhi
0A66..0A6F    ; Gurmukhi
0A70..0A71    ; Gurmukhi
0A72..0A74    ; Gurmukhi
0A75          ; Gurmukhi

# Total code points: 79

# ================================================

0A81..0A82    ; Gujarati
0A83          ; Gujarati
0A85..0A8D    ; Gujarati
0A8F..0A91    ; Gujarati
0A93..0AA8    ; Gujarati
0AAA..0AB0    ; Gujarati
0AB2..0AB3    ; Gujarati
0AB5..0AB9    ; Gujarati
0ABC          ; Gujarati
0ABD          ; Gujarati
0ABE..0AC0    ; Gujarati
0AC1..0AC5    ; Gujarati
0AC7..0AC8    ; Gujarati
0AC9          ; Gujarati
0ACB..0ACC    ; Gujarati
0ACD          ; Gujarati
0AD0          ; Gujarati
0AE0..0AE1    ; Gujarati
0AE2..0AE3    ; Gujarati
0AE6..0AEF    ; Gujarati
0AF1          ; Gujarati

# Total code points: 83

# ================================================

0B01          ; Oriya
0B02..0B03    ; Oriya
0B05..0B0C    ; Oriya
0B0F..0B10    ; Oriya
0B13..0B28    ; Oriya
0B2A..0B30    ; Oriya
0B32..0B33    ; Oriya
0B35..0B39    ; Oriya
0B3C          ; Oriya
0B3D          ; Oriya
0B3E          ; Oriya
0B3F          ; Oriya
0B40          ; Oriya
0B41..0B44    ; Oriya
0B47..0B48    ; Oriya
0B4B..0B4C    ; Oriya
0B4D          ; Oriya
0B56          ; Oriya
0B57          ; Oriya
0B5C..0B5D    ; Oriya
0B5F..0B61    ; Oriya
0B62..0B63    ; Oriya
0B66..0B6F    ; Oriya
0B70          ; Oriya
0B71          ; Oriya
0B72..0B77    ; Oriya

# Total code points: 90

# ================================================

0B82          ; Tamil
0B83          ; Tamil
0B85..0B8A    ; Tamil
0B8E..0B90    ; Tamil
0B92..0B95    ; Tamil
0B99..0B9A    ; Tamil
0B9C          ; Tamil
0B9E..0B9F    ; Tamil
0BA3..0BA4    ; Tamil
0BA8..0BAA    ; Tamil
0BAE..0BB9    ; Tamil
0BBE..0BBF    ; Tamil
0BC0          ; Tamil
0BC1..0BC2    ; Tamil
0BC6..0BC8    ; Tamil
0BCA..0BCC    ; Tamil
0BCD          ; Tamil
0BD0          ; Tamil
0BD7          ; Tamil
0BE6..0BEF    ; Tamil
0BF0..0BF2    ; Tamil
0BF3..0BF8    ; Tamil
0BF9          ; Tamil
0BFA          ; Tamil

# Total code points: 72

# ================================================

0C01..0C03    ; Telugu
0C05..0C0C    ; Telugu
0C0E..0C10    ; Telugu
0C12..0C28    ; Telugu
0C2A..0C33    ; Telugu
0C35..0C39    ; Telugu
0C3D          ; Telugu
0C3E..0C40    ; Telugu
0C41..0C44    ; Telugu
0C46..0C48    ; Telugu
0C4A..0C4D    ; Telugu
0C55..0C56    ; Telugu
0C58..0C59    ; Telugu
0C60..0C61    ; Telugu
0C62..0C63    ; Telugu
0C66..0C6F    ; Telugu
0C78..0C7E    ; Telugu
0C7F          ; Telugu

# Total code points: 93

# ================================================

0C82..0C83    ; Kannada
0C85..0C8C    ; Kannada
0C8E..0C90    ; Kannada
0C92..0CA8    ; Kannada
0CAA..0CB3    ; Kannada
0CB5..0CB9    ; Kannada
0CBC          ; Kannada
0CBD          ; Kannada
0CBE          ; Kannada
0CBF          ; Kannada
0CC0..0CC4    ; Kannada
0CC6          ; Kannada
0CC7..0CC8    ; Kannada
0CCA..0CCB    ; Kannada
0CCC..0CCD    ; Kannada
0CD5..0CD6    ; Kannada
0CDE          ; Kannada
0CE0..0CE1    ; Kannada
0CE2..0CE3    ; Kannada
0CE6..0CEF    ; Kannada
0CF1..0CF2    ; Kannada

# Total code points: 86

# ================================================

0D02..0D03    ; Malayalam
0D05..0D0C    ; Malayalam
0D0E..0D10    ; Malayalam
0D12..0D3A    ; Malayalam
0D3D          ; Malayalam
0D3E..0D40    ; Malayalam
0D41..0D44    ; Malayalam
0D46..0D48    ; Malayalam
0D4A..0D4C    ; Malayalam
0D4D          ; Malayalam
0D4E          ; Malayalam
0D57          ; Malayalam
0D60..0D61    ; Malayalam
0D62..0D63    ; Malayalam
0D66..0D6F    ; Malayalam
0D70..0D75    ; Malayalam
0D79          ; Malayalam
0D7A..0D7F    ; Malayalam

# Total code points: 98

# ================================================

0D82..0D83    ; Sinhala
0D85..0D96    ; Sinhala
0D9A..0DB1    ; Sinhala
0DB3..0DBB    ; Sinhala
0DBD          ; Sinhala
0DC0..0DC6    ; Sinhala
0DCA          ; Sinhala
0DCF..0DD1    ; Sinhala
0DD2..0DD4    ; Sinhala
0DD6          ; Sinhala
0DD8..0DDF    ; Sinhala
0DF2..0DF3    ; Sinhala
0DF4          ; Sinhala

# Total code points: 80

# ================================================

0E01..0E30    ; Thai
0E31          ; Thai
0E32..0E33    ; Thai
0E34..0E3A    ; Thai
0E40..0E45    ; Thai
0E46          ; Thai
0E47..0E4E    ; Thai
0E4F          ; Thai
0E50..0E59    ; Thai
0E5A..0E5B    ; Thai

# Total code points: 86

# ================================================

0E81..0E82    ; Lao
0E84          ; Lao
0E87..0E88    ; Lao
0E8A          ; Lao
0E8D          ; Lao
0E94..0E97    ; Lao
0E99..0E9F    ; Lao
0EA1..0EA3    ; Lao
0EA5          ; Lao
0EA7          ; Lao
0EAA..0EAB    ; Lao
0EAD..0EB0    ; Lao
0EB1          ; Lao
0EB2..0EB3    ; Lao
0EB4..0EB9    ; Lao
0EBB..0EBC    ; Lao
0EBD          ; Lao
0EC0..0EC4    ; Lao
0EC6          ; Lao
0EC8..0ECD    ; Lao
0ED0..0ED9    ; Lao
0EDC..0EDD    ; Lao

# Total code points: 65

# ================================================

0F00          ; Tibetan
0F01..0F03    ; Tibetan
0F04..0F12    ; Tibetan
0F13..0F17    ; Tibetan
0F18..0F19    ; Tibetan
0F1A..0F1F    ; Tibetan
0F20..0F29    ; Tibetan
0F2A..0F33    ; Tibetan
0F34          ; Tibetan
0F35          ; Tibetan
0F36          ; Tibetan
0F37          ; Tibetan
0F38          ; Tibetan
0F39          ; Tibetan
0F3A          ; Tibetan
0F3B          ; Tibetan
0F3C          ; Tibetan
0F3D          ; Tibetan
0F3E..0F3F    ; Tibetan
0F40..0F47    ; Tibetan
0F49..0F6C    ; Tibetan
0F71..0F7E    ; Tibetan
0F7F          ; Tibetan
0F80..0F84    ; Tibetan
0F85          ; Tibetan
0F86..0F87    ; Tibetan
0F88..0F8C    ; Tibetan
0F8D..0F97    ; Tibetan
0F99..0FBC    ; Tibetan
0FBE..0FC5    ; Tibetan
0FC6          ; Tibetan
0FC7..0FCC    ; Tibetan
0FCE..0FCF    ; Tibetan
0FD0..0FD4    ; Tibetan
0FD9..0FDA    ; Tibetan

# Total code points: 207

# ================================================

1000..102A    ; Myanmar
102B..102C    ; Myanmar
102D..1030    ; Myanmar
1031          ; Myanmar
1032..1037    ; Myanmar
1038          ; Myanmar
1039..103A    ; Myanmar
103B..103C    ; Myanmar
103D..103E    ; Myanmar
103F          ; Myanmar
1040..1049    ; Myanmar
104A..104F    ; Myanmar
1050..1055    ; Myanmar
1056..1057    ; Myanmar
1058..1059    ; Myanmar
105A..105D    ; Myanmar
105E..1060    ; Myanmar
1061          ; Myanmar
1062..1064    ; Myanmar
1065..1066    ; Myanmar
1067..106D    ; Myanmar
106E..1070    ; Myanmar
1071..1074    ; Myanmar
1075..1081    ; Myanmar
1082          ; Myanmar
1083..1084    ; Myanmar
1085..1086    ; Myanmar
1087..108C    ; Myanmar
108D          ; Myanmar
108E          ; Myanmar
108F          ; Myanmar
1090..1099    ; Myanmar
