# DerivedNormalizationProps-6.0.0.txt
# Date: 2010-05-20, 15:14:12 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Derived Property: FC_NFKC_Closure  (DEPRECATED as of Unicode 6.0.0)
#  Generated from computing: b = NFKC(Fold(a)); c = NFKC(Fold(b));
#  Then if (c != b) add the mapping from a to c to the set of
#  mappings that constitute the FC_NFKC_Closure list
#  Uses the full case folding from CaseFolding.txt, without the T option.

037A  ; FC_NFKC; 0020 03B9
1D6B6 ; FC_NFKC; 03BF
1D6B7 ; FC_NFKC; 03C0
1D6B8 ; FC_NFKC; 03C1
1D6B9 ; FC_NFKC; 03B8
1D6BA ; FC_NFKC; 03C3
1D6BB ; FC_NFKC; 03C4
1D6BC ; FC_NFKC; 03C5
1D6BD ; FC_NFKC; 03C6
1D6BE ; FC_NFKC; 03C7
1D6BF ; FC_NFKC; 03C8
1D6C0 ; FC_NFKC; 03C9
1D6D3 ; FC_NFKC; 03C3
1D6E2 ; FC_NFKC; 03B1
1D6E3 ; FC_NFKC; 03B2
1D6E4 ; FC_NFKC; 03B3
1D6E5 ; FC_NFKC; 03B4
1D6E6 ; FC_NFKC; 03B5
1D6E7 ; FC_NFKC; 03B6
1D6E8 ; FC_NFKC; 03B7
1D6E9 ; FC_NFKC; 03B8
1D6EA ; FC_NFKC; 03B9
1D6EB ; FC_NFKC; 03BA
1D6EC ; FC_NFKC; 03BB
1D6ED ; FC_NFKC; 03BC
1D6EE ; FC_NFKC; 03BD
1D6EF ; FC_NFKC; 03BE
1D6F0 ; FC_NFKC; 03BF
1D6F1 ; FC_NFKC; 03C0
1D6F2 ; FC_NFKC; 03C1
1D6F3 ; FC_NFKC; 03B8
1D6F4 ; FC_NFKC; 03C3
1D6F5 ; FC_NFKC; 03C4
1D6F6 ; FC_NFKC; 03C5
1D6F7 ; FC_NFKC; 03C6
1D6F8 ; FC_NFKC; 03C7
1D6F9 ; FC_NFKC; 03C8
1D6FA ; FC_NFKC; 03C9
1D70D ; FC_NFKC; 03C3
1D71C ; FC_NFKC; 03B1
1D71D ; FC_NFKC; 03B2
1D71E ; FC_NFKC; 03B3
1D71F ; FC_NFKC; 03B4
1D720 ; FC_NFKC; 03B5
1D721 ; FC_NFKC; 03B6
1D722 ; FC_NFKC; 03B7
1D723 ; FC_NFKC; 03B8
1D724 ; FC_NFKC; 03B9
1D725 ; FC_NFKC; 03BA
1D726 ; FC_NFKC; 03BB
1D727 ; FC_NFKC; 03BC
1D728 ; FC_NFKC; 03BD
1D729 ; FC_NFKC; 03BE
1D72A ; FC_NFKC; 03BF
1D72B ; FC_NFKC; 03C0
1D72C ; FC_NFKC; 03C1
1D72D ; FC_NFKC; 03B8
1D72E ; FC_NFKC; 03C3
1D72F ; FC_NFKC; 03C4
1D730 ; FC_NFKC; 03C5
1D731 ; FC_NFKC; 03C6
1D732 ; FC_NFKC; 03C7
1D733 ; FC_NFKC; 03C8
1D734 ; FC_NFKC; 03C9
1D747 ; FC_NFKC; 03C3
1D756 ; FC_NFKC; 03B1
1D757 ; FC_NFKC; 03B2
1D758 ; FC_NFKC; 03B3
1D759 ; FC_NFKC; 03B4
1D75A ; FC_NFKC; 03B5
1D75B ; FC_NFKC; 03B6
1D75C ; FC_NFKC; 03B7
1D75D ; FC_NFKC; 03B8
1D75E ; FC_NFKC; 03B9
1D75F ; FC_NFKC; 03BA
1D760 ; FC_NFKC; 03BB
1D761 ; FC_NFKC; 03BC
1D762 ; FC_NFKC; 03BD
1D763 ; FC_NFKC; 03BE
1D764 ; FC_NFKC; 03BF
1D765 ; FC_NFKC; 03C0
1D766 ; FC_NFKC; 03C1
1D767 ; FC_NFKC; 03B8
1D768 ; FC_NFKC; 03C3
1D769 ; FC_NFKC; 03C4
1D76A ; FC_NFKC; 03C5
1D76B ; FC_NFKC; 03C6
1D76C ; FC_NFKC; 03C7
1D76D ; FC_NFKC; 03C8
1D76E ; FC_NFKC; 03C9
1D781 ; FC_NFKC; 03C3
1D790 ; FC_NFKC; 03B1
1D791 ; FC_NFKC; 03B2
1D792 ; FC_NFKC; 03B3
1D793 ; FC_NFKC; 03B4
1D794 ; FC_NFKC; 03B5
1D795 ; FC_NFKC; 03B6
1D796 ; FC_NFKC; 03B7
1D797 ; FC_NFKC; 03B8
1D798 ; FC_NFKC; 03B9
1D799 ; FC_NFKC; 03BA
1D79A ; FC_NFKC; 03BB
1D79B ; FC_NFKC; 03BC
1D79C ; FC_NFKC; 03BD
1D79D ; FC_NFKC; 03BE
1D79E ; FC_NFKC; 03BF
1D79F ; FC_NFKC; 03C0
1D7A0 ; FC_NFKC; 03C1
1D7A1 ; FC_NFKC; 03B8
1D7A2 ; FC_NFKC; 03C3
1D7A3 ; FC_NFKC; 03C4
1D7A4 ; FC_NFKC; 03C5
1D7A5 ; FC_NFKC; 03C6
1D7A6 ; FC_NFKC; 03C7
1D7A7 ; FC_NFKC; 03C8
1D7A8 ; FC_NFKC; 03C9
1D7BB ; FC_NFKC; 03C3
1D7CA ; FC_NFKC; 03DD
1F110 ; FC_NFKC; 0028 0061 0029
1F111 ; FC_NFKC; 0028 0062 0029
1F112 ; FC_NFKC; 0028 0063 0029
1F113 ; FC_NFKC; 0028 0064 0029
1F114 ; FC_NFKC; 0028 0065 0029
1F115 ; FC_NFKC; 0028 0066 0029
1F116 ; FC_NFKC; 0028 0067 0029
1F117 ; FC_NFKC; 0028 0068 0029
1F118 ; FC_NFKC; 0028 0069 0029
1F119 ; FC_NFKC; 0028 006A 0029
1F11A ; FC_NFKC; 0028 006B 0029
1F11B ; FC_NFKC; 0028 006C 0029
1F11C ; FC_NFKC; 0028 006D 0029
1F11D ; FC_NFKC; 0028 006E 0029
1F11E ; FC_NFKC; 0028 006F 0029
1F11F ; FC_NFKC; 0028 0070 0029
1F120 ; FC_NFKC; 0028 0071 0029
1F121 ; FC_NFKC; 0028 0072 0029
1F122 ; FC_NFKC; 0028 0073 0029
1F123 ; FC_NFKC; 0028 0074 0029
1F124 ; FC_NFKC; 0028 0075 0029
1F125 ; FC_NFKC; 0028 0076 0029
1F126 ; FC_NFKC; 0028 0077 0029
1F127 ; FC_NFKC; 0028 0078 0029
1F128 ; FC_NFKC; 0028 0079 0029
1F129 ; FC_NFKC; 0028 007A 0029
1F12A ; FC_NFKC; 3014 0073 3015
1F12B ; FC_NFKC; 0063
1F12C ; FC_NFKC; 0072
1F12D ; FC_NFKC; 0063 0064
1F12E ; FC_NFKC; 0077 007A
1F130 ; FC_NFKC; 0061
1F131 ; FC_NFKC; 0062
1F132 ; FC_NFKC; 0063
1F133 ; FC_NFKC; 0064
1F134 ; FC_NFKC; 0065
1F135 ; FC_NFKC; 0066
1F136 ; FC_NFKC; 0067
1F137 ; FC_NFKC; 0068
1F138 ; FC_NFKC; 0069
1F139 ; FC_NFKC; 006A
1F13A ; FC_NFKC; 006B
1F13B ; FC_NFKC; 006C
1F13C ; FC_NFKC; 006D
1F13D ; FC_NFKC; 006E
1F13E ; FC_NFKC; 006F
1F13F ; FC_NFKC; 0070
1F140 ; FC_NFKC; 0071
1F141 ; FC_NFKC; 0072
1F142 ; FC_NFKC; 0073
1F143 ; FC_NFKC; 0074
1F144 ; FC_NFKC; 0075
1F145 ; FC_NFKC; 0076
1F146 ; FC_NFKC; 0077
1F147 ; FC_NFKC; 0078
1F148 ; FC_NFKC; 0079
1F149 ; FC_NFKC; 007A
1F14A ; FC_NFKC; 0068 0076
1F14B ; FC_NFKC; 006D 0076
1F14C ; FC_NFKC; 0073 0064
1F14D ; FC_NFKC; 0073 0073
1F14E ; FC_NFKC; 0070 0070 0076
1F14F ; FC_NFKC; 0077 0063
1F190 ; FC_NFKC; 0064 006A

# Total code points: 630

# ================================================

# Derived Property: Full_Composition_Exclusion
#  Generated from: Composition Exclusions + Singletons + Non-Starter Decompositions

0340..0341    ; Full_Composition_Exclusion
0343..0344    ; Full_Composition_Exclusion
0374          ; Full_Composition_Exclusion
037E          ; Full_Composition_Exclusion
0387          ; Full_Composition_Exclusion
0958..095F    ; Full_Composition_Exclusion
09DC..09DD    ; Full_Composition_Exclusion
09DF          ; Full_Composition_Exclusion
0A33          ; Full_Composition_Exclusion
0A36          ; Full_Composition_Exclusion
0A59..0A5B    ; Full_Composition_Exclusion
0A5E          ; Full_Composition_Exclusion
0B5C..0B5D    ; Full_Composition_Exclusion
0F43          ; Full_Composition_Exclusion
0F4D          ; Full_Composition_Exclusion
0F52          ; Full_Composition_Exclusion
0F57          ; Full_Composition_Exclusion
0F5C          ; Full_Composition_Exclusion
0F69          ; Full_Composition_Exclusion
0F73          ; Full_Composition_Exclusion
0F75..0F76    ; Full_Composition_Exclusion
0F78          ; Full_Composition_Exclusion
0F81          ; Full_Composition_Exclusion
0F93          ; Full_Composition_Exclusion
0F9D          ; Full_Composition_Exclusion
0FA2          ; Full_Composition_Exclusion
0FA7          ; Full_Composition_Exclusion
0FAC          ; Full_Composition_Exclusion
0FB9          ; Full_Composition_Exclusion
1F71          ; Full_Composition_Exclusion
1F73          ; Full_Composition_Exclusion
1F75          ; Full_Composition_Exclusion
1F77          ; Full_Composition_Exclusion
1F79          ; Full_Composition_Exclusion
1F7B          ; Full_Composition_Exclusion
1F7D          ; Full_Composition_Exclusion
1FBB          ; Full_Composition_Exclusion
1FBE          ; Full_Composition_Exclusion
1FC9          ; Full_Composition_Exclusion
1FCB          ; Full_Composition_Exclusion
1FD3          ; Full_Composition_Exclusion
1FDB          ; Full_Composition_Exclusion
1FE3          ; Full_Composition_Exclusion
1FEB          ; Full_Composition_Exclusion
1FEE..1FEF    ; Full_Composition_Exclusion
1FF9          ; Full_Composition_Exclusion
1FFB          ; Full_Composition_Exclusion
1FFD          ; Full_Composition_Exclusion
2000..2001    ; Full_Composition_Exclusion
2126          ; Full_Composition_Exclusion
212A..212B    ; Full_Composition_Exclusion
2329          ; Full_Composition_Exclusion
232A          ; Full_Composition_Exclusion
2ADC          ; Full_Composition_Exclusion
F900..FA0D    ; Full_Composition_Exclusion
FA10          ; Full_Composition_Exclusion
FA12          ; Full_Composition_Exclusion
FA15..FA1E    ; Full_Composition_Exclusion
