# PropList-6.0.0.txt
# Date: 2010-08-19, 00:48:28 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

0009..000D    ; White_Space
0E4D          ; Other_Alphabetic
0EB1          ; Other_Alphabetic
0EB4..0EB9    ; Other_Alphabetic
0EBB..0EBC    ; Other_Alphabetic
0ECD          ; Other_Alphabetic
0F71..0F7E    ; Other_Alphabetic
0F7F          ; Other_Alphabetic
0F80..0F81    ; Other_Alphabetic
0F8D..0F97    ; Other_Alphabetic
0F99..0FBC    ; Other_Alphabetic
102B..102C    ; Other_Alphabetic
102D..1030    ; Other_Alphabetic
1031          ; Other_Alphabetic
1032..1036    ; Other_Alphabetic
1038          ; Other_Alphabetic
103B..103C    ; Other_Alphabetic
103D..103E    ; Other_Alphabetic
1056..1057    ; Other_Alphabetic
1058..1059    ; Other_Alphabetic
105E..1060    ; Other_Alphabetic
1062          ; Other_Alphabetic
1067..1068    ; Other_Alphabetic
1071..1074    ; Other_Alphabetic
1082          ; Other_Alphabetic
1083..1084    ; Other_Alphabetic
1085..1086    ; Other_Alphabetic
109C          ; Other_Alphabetic
109D          ; Other_Alphabetic
135F          ; Other_Alphabetic
1712..1713    ; Other_Alphabetic
1732..1733    ; Other_Alphabetic
1752..1753    ; Other_Alphabetic
1772..1773    ; Other_Alphabetic
17B6          ; Other_Alphabetic
17B7..17BD    ; Other_Alphabetic
17BE..17C5    ; Other_Alphabetic
17C6          ; Other_Alphabetic
17C7..17C8    ; Other_Alphabetic
18A9          ; Other_Alphabetic
1920..1922    ; Other_Alphabetic
1923..1926    ; Other_Alphabetic
1927..1928    ; Other_Alphabetic
1929..192B    ; Other_Alphabetic
1930..1931    ; Other_Alphabetic
1932          ; Other_Alphabetic
1933..1938    ; Other_Alphabetic
19B0..19C0    ; Other_Alphabetic
19C8..19C9    ; Other_Alphabetic
1A17..1A18    ; Other_Alphabetic
1A19..1A1B    ; Other_Alphabetic
1A55          ; Other_Alphabetic
1A56          ; Other_Alphabetic
1A57          ; Other_Alphabetic
1A58..1A5E    ; Other_Alphabetic
1A61          ; Other_Alphabetic
1A62          ; Other_Alphabetic
1A63..1A64    ; Other_Alphabetic
1A65..1A6C    ; Other_Alphabetic
1A6D..1A72    ; Other_Alphabetic
1A73..1A74    ; Other_Alphabetic
1B00..1B03    ; Other_Alphabetic
1B04          ; Other_Alphabetic
1B35          ; Other_Alphabetic
1B36..1B3A    ; Other_Alphabetic
1B3B          ; Other_Alphabetic
1B3C          ; Other_Alphabetic
1B3D..1B41    ; Other_Alphabetic
1B42          ; Other_Alphabetic
1B43          ; Other_Alphabetic
1B80..1B81    ; Other_Alphabetic
1B82          ; Other_Alphabetic
1BA1          ; Other_Alphabetic
1BA2..1BA5    ; Other_Alphabetic
1BA6..1BA7    ; Other_Alphabetic
1BA8..1BA9    ; Other_Alphabetic
1BE7          ; Other_Alphabetic
1BE8..1BE9    ; Other_Alphabetic
1BEA..1BEC    ; Other_Alphabetic
1BED          ; Other_Alphabetic
1BEE          ; Other_Alphabetic
1BEF..1BF1    ; Other_Alphabetic
1C24..1C2B    ; Other_Alphabetic
1C2C..1C33    ; Other_Alphabetic
1C34..1C35    ; Other_Alphabetic
1CF2          ; Other_Alphabetic
24B6..24E9    ; Other_Alphabetic
2DE0..2DFF    ; Other_Alphabetic
A823..A824    ; Other_Alphabetic
A825..A826    ; Other_Alphabetic
A827          ; Other_Alphabetic
A880..A881    ; Other_Alphabetic
A8B4..A8C3    ; Other_Alphabetic
A926..A92A    ; Other_Alphabetic
A947..A951    ; Other_Alphabetic
A952          ; Other_Alphabetic
A980..A982    ; Other_Alphabetic
A983          ; Other_Alphabetic
A9B4..A9B5    ; Other_Alphabetic
A9B6..A9B9    ; Other_Alphabetic
A9BA..A9BB    ; Other_Alphabetic
A9BC          ; Other_Alphabetic
A9BD..A9BF    ; Other_Alphabetic
AA29..AA2E    ; Other_Alphabetic
AA2F..AA30    ; Other_Alphabetic
AA31..AA32    ; Other_Alphabetic
AA33..AA34    ; Other_Alphabetic
AA35..AA36    ; Other_Alphabetic
AA43          ; Other_Alphabetic
AA4C          ; Other_Alphabetic
AA4D          ; Other_Alphabetic
AAB0          ; Other_Alphabetic
AAB2..AAB4    ; Other_Alphabetic
AAB7..AAB8    ; Other_Alphabetic
AABE          ; Other_Alphabetic
ABE3..ABE4    ; Other_Alphabetic
ABE5          ; Other_Alphabetic
ABE6..ABE7    ; Other_Alphabetic
ABE8          ; Other_Alphabetic
ABE9..ABEA    ; Other_Alphabetic
FB1E          ; Other_Alphabetic
10A01..10A03  ; Other_Alphabetic
10A05..10A06  ; Other_Alphabetic
10A0C..10A0F  ; Other_Alphabetic
11000         ; Other_Alphabetic
11001         ; Other_Alphabetic
11002         ; Other_Alphabetic
11038..11045  ; Other_Alphabetic
11082         ; Other_Alphabetic
110B0..110B2  ; Other_Alphabetic
110B3..110B6  ; Other_Alphabetic
110B7..110B8  ; Other_Alphabetic

# Total code points: 795

# ================================================

3006          ; Ideographic
3007          ; Ideographic
3021..3029    ; Ideographic
3038..303A    ; Ideographic
3400..4DB5    ; Ideographic
4E00..9FCB    ; Ideographic
F900..FA2D    ; Ideographic
FA30..FA6D    ; Ideographic
FA70..FAD9    ; Ideographic
20000..2A6D6  ; Ideographic
2A700..2B734  ; Ideographic
2B740..2B81D  ; Ideographic
2F800..2FA1D  ; Ideographic

# Total code points: 75630

# ================================================

005E          ; Diacritic
0060          ; Diacritic
00A8          ; Diacritic
00AF          ; Diacritic
00B4          ; Diacritic
00B7          ; Diacritic
00B8          ; Diacritic
02B0..02C1    ; Diacritic
02C2..02C5    ; Diacritic
02C6..02D1    ; Diacritic
02D2..02DF    ; Diacritic
02E0..02E4    ; Diacritic
02E5..02EB    ; Diacritic
02EC          ; Diacritic
02ED          ; Diacritic
02EE          ; Diacritic
02EF..02FF    ; Diacritic
0300..034E    ; Diacritic
0350..0357    ; Diacritic
035D..0362    ; Diacritic
0374          ; Diacritic
0375          ; Diacritic
037A          ; Diacritic
0384..0385    ; Diacritic
0483..0487    ; Diacritic
0559          ; Diacritic
0591..05A1    ; Diacritic
05A3..05BD    ; Diacritic
05BF          ; Diacritic
05C1..05C2    ; Diacritic
05C4          ; Diacritic
064B..0652    ; Diacritic
0657..0658    ; Diacritic
06DF..06E0    ; Diacritic
06E5..06E6    ; Diacritic
06EA..06EC    ; Diacritic
0730..074A    ; Diacritic
07A6..07B0    ; Diacritic
07EB..07F3    ; Diacritic
07F4..07F5    ; Diacritic
0818..0819    ; Diacritic
093C          ; Diacritic
094D          ; Diacritic
0951..0954    ; Diacritic
0971          ; Diacritic
09BC          ; Diacritic
09CD          ; Diacritic
0A3C          ; Diacritic
0A4D          ; Diacritic
0ABC          ; Diacritic
0ACD          ; Diacritic
0B3C          ; Diacritic
0B4D          ; Diacritic
0BCD          ; Diacritic
0C4D          ; Diacritic
0CBC          ; Diacritic
0CCD          ; Diacritic
0D4D          ; Diacritic
0DCA          ; Diacritic
0E47..0E4C    ; Diacritic
0E4E          ; Diacritic
0EC8..0ECC    ; Diacritic
0F18..0F19    ; Diacritic
0F35          ; Diacritic
0F37          ; Diacritic
0F39          ; Diacritic
0F3E..0F3F    ; Diacritic
0F82..0F84    ; Diacritic
0F86..0F87    ; Diacritic
0FC6          ; Diacritic
1037          ; Diacritic
1039..103A    ; Diacritic
1087..108C    ; Diacritic
108D          ; Diacritic
108F          ; Diacritic
109A..109B    ; Diacritic
17C9..17D3    ; Diacritic
17DD          ; Diacritic
1939..193B    ; Diacritic
1A75..1A7C    ; Diacritic
1A7F          ; Diacritic
1B34          ; Diacritic
1B44          ; Diacritic
1B6B..1B73    ; Diacritic
1BAA          ; Diacritic
1C36..1C37    ; Diacritic
1C78..1C7D    ; Diacritic
1CD0..1CD2    ; Diacritic
1CD3          ; Diacritic
1CD4..1CE0    ; Diacritic
1CE1          ; Diacritic
1CE2..1CE8    ; Diacritic
1CED          ; Diacritic
1D2C..1D61    ; Diacritic
1D62..1D6A    ; Diacritic
1DC4..1DCF    ; Diacritic
1DFD..1DFF    ; Diacritic
1FBD          ; Diacritic
1FBF..1FC1    ; Diacritic
1FCD..1FCF    ; Diacritic
1FDD..1FDF    ; Diacritic
1FED..1FEF    ; Diacritic
1FFD..1FFE    ; Diacritic
2CEF..2CF1    ; Diacritic
2E2F          ; Diacritic
302A..302F    ; Diacritic
3099..309A    ; Diacritic
309B..309C    ; Diacritic
30FC          ; Diacritic
A66F          ; Diacritic
A67C..A67D    ; Diacritic
A67F          ; Diacritic
A6F0..A6F1    ; Diacritic
A717..A71F    ; Diacritic
A720..A721    ; Diacritic
A788          ; Diacritic
A8C4          ; Diacritic
A8E0..A8F1    ; Diacritic
A92B..A92D    ; Diacritic
A92E          ; Diacritic
A953          ; Diacritic
A9B3          ; Diacritic
A9C0          ; Diacritic
AA7B          ; Diacritic
AABF          ; Diacritic
AAC0          ; Diacritic
AAC1          ; Diacritic
AAC2          ; Diacritic
ABEC          ; Diacritic
ABED          ; Diacritic
FB1E          ; Diacritic
FE20..FE26    ; Diacritic
FF3E          ; Diacritic
FF40          ; Diacritic
FF70          ; Diacritic
FF9E..FF9F    ; Diacritic
FFE3          ; Diacritic
110B9..110BA  ; Diacritic
1D167..1D169  ; Diacritic
1D16D..1D172  ; Diacritic
1D17B..1D182  ; Diacritic
1D185..1D18B  ; Diacritic
1D1AA..1D1AD  ; Diacritic

# Total code points: 639

# ================================================

00B7          ; Extender
02D0..02D1    ; Extender
0640          ; Extender
07FA          ; Extender
0E46          ; Extender
0EC6          ; Extender
1843          ; Extender
1AA7          ; Extender
1C36          ; Extender
1C7B          ; Extender
3005          ; Extender
3031..3035    ; Extender
309D..309E    ; Extender
30FC..30FE    ; Extender
A015          ; Extender
A60C          ; Extender
A9CF          ; Extender
AA70          ; Extender
AADD          ; Extender
FF70          ; Extender

# Total code points: 28

# ================================================

02B0..02B8    ; Other_Lowercase
02C0..02C1    ; Other_Lowercase
02E0..02E4    ; Other_Lowercase
0345          ; Other_Lowercase
037A          ; Other_Lowercase
1D2C..1D61    ; Other_Lowercase
1D78          ; Other_Lowercase
1D9B..1DBF    ; Other_Lowercase
2090..2094    ; Other_Lowercase
2170..217F    ; Other_Lowercase
24D0..24E9    ; Other_Lowercase
2C7D          ; Other_Lowercase
A770          ; Other_Lowercase

# Total code points: 159

# ================================================

2160..216F    ; Other_Uppercase
24B6..24CF    ; Other_Uppercase

# Total code points: 42

# ================================================

FDD0..FDEF    ; Noncharacter_Code_Point
FFFE..FFFF    ; Noncharacter_Code_Point
1FFFE..1FFFF  ; Noncharacter_Code_Point
2FFFE..2FFFF  ; Noncharacter_Code_Point
3FFFE..3FFFF  ; Noncharacter_Code_Point
4FFFE..4FFFF  ; Noncharacter_Code_Point
5FFFE..5FFFF  ; Noncharacter_Code_Point
6FFFE..6FFFF  ; Noncharacter_Code_Point
7FFFE..7FFFF  ; Noncharacter_Code_Point
8FFFE..8FFFF  ; Noncharacter_Code_Point
9FFFE..9FFFF  ; Noncharacter_Code_Point
AFFFE..AFFFF  ; Noncharacter_Code_Point
BFFFE..BFFFF  ; Noncharacter_Code_Point
CFFFE..CFFFF  ; Noncharacter_Code_Point
DFFFE..DFFFF  ; Noncharacter_Code_Point
EFFFE..EFFFF  ; Noncharacter_Code_Point
FFFFE..FFFFF  ; Noncharacter_Code_Point
10FFFE..10FFFF; Noncharacter_Code_Point

# Total code points: 66

# ================================================

09BE          ; Other_Grapheme_Extend
09D7          ; Other_Grapheme_Extend
0B3E          ; Other_Grapheme_Extend
0B57          ; Other_Grapheme_Extend
0BBE          ; Other_Grapheme_Extend
0BD7          ; Other_Grapheme_Extend
0CC2          ; Other_Grapheme_Extend
0CD5..0CD6    ; Other_Grapheme_Extend
0D3E          ; Other_Grapheme_Extend
0D57          ; Other_Grapheme_Extend
0DCF          ; Other_Grapheme_Extend
0DDF          ; Other_Grapheme_Extend
200C..200D    ; Other_Grapheme_Extend
FF9E..FF9F    ; Other_Grapheme_Extend
1D165         ; Other_Grapheme_Extend
1D16E..1D172  ; Other_Grapheme_Extend

# Total code points: 23

# ================================================

2FF0..2FF1    ; IDS_Binary_Operator
2FF4..2FFB    ; IDS_Binary_Operator

# Total code points: 10

# ================================================

2FF2..2FF3    ; IDS_Trinary_Operator

# Total code points: 2

# ================================================

2E80..2E99    ; Radical
2E9B..2EF3    ; Radical
2F00..2FD5    ; Radical

# Total code points: 329

# ================================================

3400..4DB5    ; Unified_Ideograph
4E00..9FCB    ; Unified_Ideograph
FA0E..FA0F    ; Unified_Ideograph
FA11          ; Unified_Ideograph
FA13..FA14    ; Unified_Ideograph
FA1F          ; Unified_Ideograph
FA21          ; Unified_Ideograph
FA23..FA24    ; Unified_Ideograph
FA27..FA29    ; Unified_Ideograph
20000..2A6D6  ; Unified_Ideograph
2A700..2B734  ; Unified_Ideograph
2B740..2B81D  ; Unified_Ideograph

# Total code points: 74616

# ================================================

034F          ; Other_Default_Ignorable_Code_Point
115F..1160    ; Other_Default_Ignorable_Code_Point
2065..2069    ; Other_Default_Ignorable_Code_Point
3164          ; Other_Default_Ignorable_Code_Point
FFA0          ; Other_Default_Ignorable_Code_Point
FFF0..FFF8    ; Other_Default_Ignorable_Code_Point
E0000         ; Other_Default_Ignorable_Code_Point
E0002..E001F  ; Other_Default_Ignorable_Code_Point
E0080..E00FF  ; Other_Default_Ignorable_Code_Point
E01F0..E0FFF  ; Other_Default_Ignorable_Code_Point

# Total code points: 3778

# ================================================

0149          ; Deprecated
0673          ; Deprecated
0F77          ; Deprecated
0F79          ; Deprecated
17A3..17A4    ; Deprecated
206A..206F    ; Deprecated
2329          ; Deprecated
232A          ; Deprecated
E0001         ; Deprecated
E0020..E007F  ; Deprecated

# Total code points: 111

# ================================================

0069..006A    ; Soft_Dotted
012F          ; Soft_Dotted
0249          ; Soft_Dotted
0268          ; Soft_Dotted
029D          ; Soft_Dotted
02B2          ; Soft_Dotted
03F3          ; Soft_Dotted
0456          ; Soft_Dotted
0458          ; Soft_Dotted
1D62          ; Soft_Dotted
1D96          ; Soft_Dotted
1DA4          ; Soft_Dotted
1DA8          ; Soft_Dotted
1E2D          ; Soft_Dotted
1ECB          ; Soft_Dotted
2071          ; Soft_Dotted
2148..2149    ; Soft_Dotted
2C7C          ; Soft_Dotted
1D422..1D423  ; Soft_Dotted
1D456..1D457  ; Soft_Dotted
1D48A..1D48B  ; Soft_Dotted
