# SentenceBreakProperty-6.0.0.txt
# Date: 2010-08-19, 00:48:47 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2010 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

000D          ; CR
0C41..0C44    ; Extend
0C46..0C48    ; Extend
0C4A..0C4D    ; Extend
0C55..0C56    ; Extend
0C62..0C63    ; Extend
0C82..0C83    ; Extend
0CBC          ; Extend
0CBE          ; Extend
0CBF          ; Extend
0CC0..0CC4    ; Extend
0CC6          ; Extend
0CC7..0CC8    ; Extend
0CCA..0CCB    ; Extend
0CCC..0CCD    ; Extend
0CD5..0CD6    ; Extend
0CE2..0CE3    ; Extend
0D02..0D03    ; Extend
0D3E..0D40    ; Extend
0D41..0D44    ; Extend
0D46..0D48    ; Extend
0D4A..0D4C    ; Extend
0D4D          ; Extend
0D57          ; Extend
0D62..0D63    ; Extend
0D82..0D83    ; Extend
0DCA          ; Extend
0DCF..0DD1    ; Extend
0DD2..0DD4    ; Extend
0DD6          ; Extend
0DD8..0DDF    ; Extend
0DF2..0DF3    ; Extend
0E31          ; Extend
0E34..0E3A    ; Extend
0E47..0E4E    ; Extend
0EB1          ; Extend
0EB4..0EB9    ; Extend
0EBB..0EBC    ; Extend
0EC8..0ECD    ; Extend
0F18..0F19    ; Extend
0F35          ; Extend
0F37          ; Extend
0F39          ; Extend
0F3E..0F3F    ; Extend
0F71..0F7E    ; Extend
0F7F          ; Extend
0F80..0F84    ; Extend
0F86..0F87    ; Extend
0F8D..0F97    ; Extend
0F99..0FBC    ; Extend
0FC6          ; Extend
102B..102C    ; Extend
102D..1030    ; Extend
1031          ; Extend
1032..1037    ; Extend
1038          ; Extend
1039..103A    ; Extend
103B..103C    ; Extend
103D..103E    ; Extend
1056..1057    ; Extend
1058..1059    ; Extend
105E..1060    ; Extend
1062..1064    ; Extend
1067..106D    ; Extend
1071..1074    ; Extend
1082          ; Extend
1083..1084    ; Extend
1085..1086    ; Extend
1087..108C    ; Extend
108D          ; Extend
108F          ; Extend
109A..109C    ; Extend
109D          ; Extend
135D..135F    ; Extend
1712..1714    ; Extend
1732..1734    ; Extend
1752..1753    ; Extend
1772..1773    ; Extend
17B6          ; Extend
17B7..17BD    ; Extend
17BE..17C5    ; Extend
17C6          ; Extend
17C7..17C8    ; Extend
17C9..17D3    ; Extend
17DD          ; Extend
180B..180D    ; Extend
18A9          ; Extend
1920..1922    ; Extend
1923..1926    ; Extend
1927..1928    ; Extend
1929..192B    ; Extend
1930..1931    ; Extend
1932          ; Extend
1933..1938    ; Extend
1939..193B    ; Extend
19B0..19C0    ; Extend
19C8..19C9    ; Extend
1A17..1A18    ; Extend
1A19..1A1B    ; Extend
1A55          ; Extend
1A56          ; Extend
1A57          ; Extend
1A58..1A5E    ; Extend
1A60          ; Extend
1A61          ; Extend
1A62          ; Extend
1A63..1A64    ; Extend
1A65..1A6C    ; Extend
1A6D..1A72    ; Extend
1A73..1A7C    ; Extend
1A7F          ; Extend
1B00..1B03    ; Extend
1B04          ; Extend
1B34          ; Extend
1B35          ; Extend
1B36..1B3A    ; Extend
1B3B          ; Extend
1B3C          ; Extend
1B3D..1B41    ; Extend
1B42          ; Extend
1B43..1B44    ; Extend
1B6B..1B73    ; Extend
1B80..1B81    ; Extend
1B82          ; Extend
1BA1          ; Extend
1BA2..1BA5    ; Extend
1BA6..1BA7    ; Extend
1BA8..1BA9    ; Extend
1BAA          ; Extend
1BE6          ; Extend
1BE7          ; Extend
1BE8..1BE9    ; Extend
1BEA..1BEC    ; Extend
1BED          ; Extend
1BEE          ; Extend
1BEF..1BF1    ; Extend
1BF2..1BF3    ; Extend
1C24..1C2B    ; Extend
1C2C..1C33    ; Extend
1C34..1C35    ; Extend
1C36..1C37    ; Extend
1CD0..1CD2    ; Extend
1CD4..1CE0    ; Extend
1CE1          ; Extend
1CE2..1CE8    ; Extend
1CED          ; Extend
1CF2          ; Extend
1DC0..1DE6    ; Extend
1DFC..1DFF    ; Extend
200C..200D    ; Extend
20D0..20DC    ; Extend
20DD..20E0    ; Extend
20E1          ; Extend
20E2..20E4    ; Extend
20E5..20F0    ; Extend
2CEF..2CF1    ; Extend
2D7F          ; Extend
2DE0..2DFF    ; Extend
302A..302F    ; Extend
3099..309A    ; Extend
A66F          ; Extend
A670..A672    ; Extend
A67C..A67D    ; Extend
A6F0..A6F1    ; Extend
A802          ; Extend
A806          ; Extend
A80B          ; Extend
A823..A824    ; Extend
A825..A826    ; Extend
A827          ; Extend
A880..A881    ; Extend
A8B4..A8C3    ; Extend
A8C4          ; Extend
A8E0..A8F1    ; Extend
A926..A92D    ; Extend
A947..A951    ; Extend
A952..A953    ; Extend
A980..A982    ; Extend
A983          ; Extend
A9B3          ; Extend
A9B4..A9B5    ; Extend
A9B6..A9B9    ; Extend
A9BA..A9BB    ; Extend
A9BC          ; Extend
A9BD..A9C0    ; Extend
AA29..AA2E    ; Extend
AA2F..AA30    ; Extend
AA31..AA32    ; Extend
AA33..AA34    ; Extend
AA35..AA36    ; Extend
AA43          ; Extend
AA4C          ; Extend
AA4D          ; Extend
AA7B          ; Extend
AAB0          ; Extend
AAB2..AAB4    ; Extend
AAB7..AAB8    ; Extend
AABE..AABF    ; Extend
AAC1          ; Extend
ABE3..ABE4    ; Extend
ABE5          ; Extend
ABE6..ABE7    ; Extend
ABE8          ; Extend
ABE9..ABEA    ; Extend
ABEC          ; Extend
ABED          ; Extend
FB1E          ; Extend
FE00..FE0F    ; Extend
FE20..FE26    ; Extend
FF9E..FF9F    ; Extend
101FD         ; Extend
10A01..10A03  ; Extend
10A05..10A06  ; Extend
10A0C..10A0F  ; Extend
10A38..10A3A  ; Extend
10A3F         ; Extend
11000         ; Extend
11001         ; Extend
11002         ; Extend
11038..11046  ; Extend
11080..11081  ; Extend
11082         ; Extend
110B0..110B2  ; Extend
110B3..110B6  ; Extend
110B7..110B8  ; Extend
110B9..110BA  ; Extend
1D165..1D166  ; Extend
1D167..1D169  ; Extend
1D16D..1D172  ; Extend
1D17B..1D182  ; Extend
1D185..1D18B  ; Extend
1D1AA..1D1AD  ; Extend
1D242..1D244  ; Extend
E0100..E01EF  ; Extend

# Total code points: 1502

# ================================================

0085          ; Sep
2028          ; Sep
2029          ; Sep

# Total code points: 3

# ================================================

00AD          ; Format
0600..0603    ; Format
06DD          ; Format
070F          ; Format
17B4..17B5    ; Format
200B          ; Format
200E..200F    ; Format
202A..202E    ; Format
2060..2064    ; Format
206A..206F    ; Format
FEFF          ; Format
FFF9..FFFB    ; Format
110BD         ; Format
1D173..1D17A  ; Format
E0001         ; Format
E0020..E007F  ; Format

# Total code points: 138

# ================================================

0009          ; Sp
000B..000C    ; Sp
0020          ; Sp
00A0          ; Sp
1680          ; Sp
180E          ; Sp
2000..200A    ; Sp
202F          ; Sp
205F          ; Sp
3000          ; Sp

# Total code points: 21

# ================================================

0061..007A    ; Lower
00AA          ; Lower
00B5          ; Lower
00BA          ; Lower
00DF..00F6    ; Lower
00F8..00FF    ; Lower
0101          ; Lower
0103          ; Lower
0105          ; Lower
0107          ; Lower
0109          ; Lower
010B          ; Lower
010D          ; Lower
010F          ; Lower
0111          ; Lower
0113          ; Lower
0115          ; Lower
0117          ; Lower
0119          ; Lower
011B          ; Lower
011D          ; Lower
011F          ; Lower
0121          ; Lower
0123          ; Lower
0125          ; Lower
0127          ; Lower
0129          ; Lower
012B          ; Lower
012D          ; Lower
012F          ; Lower
0131          ; Lower
0133          ; Lower
0135          ; Lower
0137..0138    ; Lower
013A          ; Lower
013C          ; Lower
013E          ; Lower
0140          ; Lower
0142          ; Lower
0144          ; Lower
0146          ; Lower
0148..0149    ; Lower
014B          ; Lower
014D          ; Lower
014F          ; Lower
0151          ; Lower
0153          ; Lower
0155          ; Lower
0157          ; Lower
0159          ; Lower
015B          ; Lower
015D          ; Lower
015F          ; Lower
0161          ; Lower
0163          ; Lower
0165          ; Lower
0167          ; Lower
0169          ; Lower
016B          ; Lower
016D          ; Lower
016F          ; Lower
0171          ; Lower
0173          ; Lower
0175          ; Lower
0177          ; Lower
017A          ; Lower
017C          ; Lower
017E..0180    ; Lower
0183          ; Lower
0185          ; Lower
0188          ; Lower
018C..018D    ; Lower
0192          ; Lower
0195          ; Lower
0199..019B    ; Lower
019E          ; Lower
01A1          ; Lower
01A3          ; Lower
01A5          ; Lower
01A8          ; Lower
01AA..01AB    ; Lower
01AD          ; Lower
01B0          ; Lower
01B4          ; Lower
01B6          ; Lower
01B9..01BA    ; Lower
01BD..01BF    ; Lower
01C6          ; Lower
01C9          ; Lower
01CC          ; Lower
01CE          ; Lower
01D0          ; Lower
01D2          ; Lower
01D4          ; Lower
01D6          ; Lower
01D8          ; Lower
01DA          ; Lower
01DC..01DD    ; Lower
01DF          ; Lower
01E1          ; Lower
01E3          ; Lower
01E5          ; Lower
01E7          ; Lower
01E9          ; Lower
01EB          ; Lower
01ED          ; Lower
01EF..01F0    ; Lower
01F3          ; Lower
01F5          ; Lower
01F9          ; Lower
01FB          ; Lower
01FD          ; Lower
01FF          ; Lower
0201          ; Lower
0203          ; Lower
0205          ; Lower
0207          ; Lower
0209          ; Lower
020B          ; Lower
020D          ; Lower
020F          ; Lower
0211          ; Lower
0213          ; Lower
0215          ; Lower
0217          ; Lower
0219          ; Lower
021B          ; Lower
021D          ; Lower
021F          ; Lower
0221          ; Lower
0223          ; Lower
0225          ; Lower
0227          ; Lower
0229          ; Lower
022B          ; Lower
022D          ; Lower
022F          ; Lower
0231          ; Lower
0233..0239    ; Lower
023C          ; Lower
023F..0240    ; Lower
0242          ; Lower
0247          ; Lower
0249          ; Lower
024B          ; Lower
024D          ; Lower
024F..0293    ; Lower
0295..02AF    ; Lower
02B0..02B8    ; Lower
02C0..02C1    ; Lower
02E0..02E4    ; Lower
0371          ; Lower
0373          ; Lower
0377          ; Lower
037A          ; Lower
037B..037D    ; Lower
0390          ; Lower
03AC..03CE    ; Lower
03D0..03D1    ; Lower
03D5..03D7    ; Lower
03D9          ; Lower
03DB          ; Lower
03DD          ; Lower
03DF          ; Lower
03E1          ; Lower
03E3          ; Lower
03E5          ; Lower
03E7          ; Lower
03E9          ; Lower
03EB          ; Lower
03ED          ; Lower
03EF..03F3    ; Lower
03F5          ; Lower
03F8          ; Lower
03FB..03FC    ; Lower
0430..045F    ; Lower
0461          ; Lower
0463          ; Lower
0465          ; Lower
0467          ; Lower
0469          ; Lower
046B          ; Lower
046D          ; Lower
046F          ; Lower
0471          ; Lower
0473          ; Lower
0475          ; Lower
0477          ; Lower
0479          ; Lower
047B          ; Lower
047D          ; Lower
047F          ; Lower
0481          ; Lower
048B          ; Lower
048D          ; Lower
048F          ; Lower
0491          ; Lower
0493          ; Lower
0495          ; Lower
0497          ; Lower
0499          ; Lower
049B          ; Lower
049D          ; Lower
049F          ; Lower
04A1          ; Lower
04A3          ; Lower
04A5          ; Lower
04A7          ; Lower
04A9          ; Lower
04AB          ; Lower
04AD          ; Lower
04AF          ; Lower
04B1          ; Lower
04B3          ; Lower
04B5          ; Lower
04B7          ; Lower
04B9          ; Lower
04BB          ; Lower
04BD          ; Lower
04BF          ; Lower
04C2          ; Lower
04C4          ; Lower
04C6          ; Lower
04C8          ; Lower
04CA          ; Lower
04CC          ; Lower
04CE..04CF    ; Lower
04D1          ; Lower
04D3          ; Lower
04D5          ; Lower
04D7          ; Lower
04D9          ; Lower
04DB          ; Lower
04DD          ; Lower
04DF          ; Lower
04E1          ; Lower
04E3          ; Lower
04E5          ; Lower
04E7          ; Lower
04E9          ; Lower
04EB          ; Lower
04ED          ; Lower
04EF          ; Lower
04F1          ; Lower
04F3          ; Lower
04F5          ; Lower
04F7          ; Lower
04F9          ; Lower
04FB          ; Lower
04FD          ; Lower
04FF          ; Lower
0501          ; Lower
0503          ; Lower
0505          ; Lower
0507          ; Lower
0509          ; Lower
050B          ; Lower
050D          ; Lower
050F          ; Lower
0511          ; Lower
0513          ; Lower
0515          ; Lower
0517          ; Lower
0519          ; Lower
051B          ; Lower
051D          ; Lower
051F          ; Lower
0521          ; Lower
0523          ; Lower
0525          ; Lower
0527          ; Lower
0561..0587    ; Lower
1D00..1D2B    ; Lower
1D2C..1D61    ; Lower
1D62..1D77    ; Lower
1D78          ; Lower
1D79..1D9A    ; Lower
1D9B..1DBF    ; Lower
1E01          ; Lower
1E03          ; Lower
1E05          ; Lower
1E07          ; Lower
1E09          ; Lower
1E0B          ; Lower
1E0D          ; Lower
1E0F          ; Lower
1E11          ; Lower
1E13          ; Lower
1E15          ; Lower
1E17          ; Lower
1E19          ; Lower
1E1B          ; Lower
1E1D          ; Lower
1E1F          ; Lower
1E21          ; Lower
1E23          ; Lower
1E25          ; Lower
1E27          ; Lower
1E29          ; Lower
1E2B          ; Lower
1E2D          ; Lower
1E2F          ; Lower
1E31          ; Lower
1E33          ; Lower
1E35          ; Lower
1E37          ; Lower
1E39          ; Lower
1E3B          ; Lower
1E3D          ; Lower
1E3F          ; Lower
1E41          ; Lower
1E43          ; Lower
1E45          ; Lower
1E47          ; Lower
1E49          ; Lower
1E4B          ; Lower
1E4D          ; Lower
1E4F          ; Lower
1E51          ; Lower
1E53          ; Lower
1E55          ; Lower
1E57          ; Lower
1E59          ; Lower
1E5B          ; Lower
1E5D          ; Lower
1E5F          ; Lower
1E61          ; Lower
1E63          ; Lower
1E65          ; Lower
1E67          ; Lower
1E69          ; Lower
1E6B          ; Lower
1E6D          ; Lower
1E6F          ; Lower
1E71          ; Lower
1E73          ; Lower
1E75          ; Lower
1E77          ; Lower
1E79          ; Lower
1E7B          ; Lower
1E7D          ; Lower
1E7F          ; Lower
1E81          ; Lower
1E83          ; Lower
1E85          ; Lower
1E87          ; Lower
1E89          ; Lower
1E8B          ; Lower
1E8D          ; Lower
1E8F          ; Lower
1E91          ; Lower
1E93          ; Lower
1E95..1E9D    ; Lower
1E9F          ; Lower
1EA1          ; Lower
1EA3          ; Lower
1EA5          ; Lower
1EA7          ; Lower
1EA9          ; Lower
1EAB          ; Lower
1EAD          ; Lower
1EAF          ; Lower
1EB1          ; Lower
1EB3          ; Lower
1EB5          ; Lower
1EB7          ; Lower
1EB9          ; Lower
1EBB          ; Lower
1EBD          ; Lower
1EBF          ; Lower
1EC1          ; Lower
1EC3          ; Lower
1EC5          ; Lower
1EC7          ; Lower
1EC9          ; Lower
1ECB          ; Lower
1ECD          ; Lower
1ECF          ; Lower
1ED1          ; Lower
1ED3          ; Lower
1ED5          ; Lower
1ED7          ; Lower
1ED9          ; Lower
1EDB          ; Lower
1EDD          ; Lower
1EDF          ; Lower
1EE1          ; Lower
1EE3          ; Lower
1EE5          ; Lower
1EE7          ; Lower
1EE9          ; Lower
1EEB          ; Lower
1EED          ; Lower
1EEF          ; Lower
1EF1          ; Lower
1EF3          ; Lower
1EF5          ; Lower
1EF7          ; Lower
1EF9          ; Lower
1EFB          ; Lower
1EFD          ; Lower
1EFF..1F07    ; Lower
1F10..1F15    ; Lower
1F20..1F27    ; Lower
1F30..1F37    ; Lower
1F40..1F45    ; Lower
1F50..1F57    ; Lower
1F60..1F67    ; Lower
1F70..1F7D    ; Lower
1F80..1F87    ; Lower
1F90..1F97    ; Lower
1FA0..1FA7    ; Lower
1FB0..1FB4    ; Lower
1FB6..1FB7    ; Lower
1FBE          ; Lower
1FC2..1FC4    ; Lower
1FC6..1FC7    ; Lower
1FD0..1FD3    ; Lower
1FD6..1FD7    ; Lower
1FE0..1FE7    ; Lower
1FF2..1FF4    ; Lower
1FF6..1FF7    ; Lower
2090..2094    ; Lower
210A          ; Lower
210E..210F    ; Lower
2113          ; Lower
212F          ; Lower
2134          ; Lower
2139          ; Lower
213C..213D    ; Lower
2146..2149    ; Lower
214E          ; Lower
2170..217F    ; Lower
2184          ; Lower
24D0..24E9    ; Lower
2C30..2C5E    ; Lower
2C61          ; Lower
2C65..2C66    ; Lower
2C68          ; Lower
2C6A          ; Lower
2C6C          ; Lower
2C71          ; Lower
2C73..2C74    ; Lower
2C76..2C7C    ; Lower
2C7D          ; Lower
2C81          ; Lower
2C83          ; Lower
2C85          ; Lower
2C87          ; Lower
2C89          ; Lower
2C8B          ; Lower
2C8D          ; Lower
2C8F          ; Lower
2C91          ; Lower
2C93          ; Lower
2C95          ; Lower
2C97          ; Lower
2C99          ; Lower
2C9B          ; Lower
2C9D          ; Lower
2C9F          ; Lower
2CA1          ; Lower
2CA3          ; Lower
2CA5          ; Lower
2CA7          ; Lower
2CA9          ; Lower
2CAB          ; Lower
2CAD          ; Lower
2CAF          ; Lower
2CB1          ; Lower
2CB3          ; Lower
2CB5          ; Lower
2CB7          ; Lower
2CB9          ; Lower
2CBB          ; Lower
2CBD          ; Lower
2CBF          ; Lower
2CC1          ; Lower
2CC3          ; Lower
2CC5          ; Lower
2CC7          ; Lower
2CC9          ; Lower
2CCB          ; Lower
2CCD          ; Lower
2CCF          ; Lower
2CD1          ; Lower
2CD3          ; Lower
2CD5          ; Lower
2CD7          ; Lower
2CD9          ; Lower
2CDB          ; Lower
2CDD          ; Lower
2CDF          ; Lower
2CE1          ; Lower
2CE3..2CE4    ; Lower
2CEC          ; Lower
2CEE          ; Lower
2D00..2D25    ; Lower
A641          ; Lower
A643          ; Lower
A645          ; Lower
A647          ; Lower
A649          ; Lower
A64B          ; Lower
A64D          ; Lower
A64F          ; Lower
A651          ; Lower
A653          ; Lower
A655          ; Lower
A657          ; Lower
A659          ; Lower
A65B          ; Lower
A65D          ; Lower
A65F          ; Lower
A661          ; Lower
A663          ; Lower
A665          ; Lower
A667          ; Lower
A669          ; Lower
A66B          ; Lower
A66D          ; Lower
A681          ; Lower
A683          ; Lower
A685          ; Lower
A687          ; Lower
A689          ; Lower
A68B          ; Lower
A68D          ; Lower
A68F          ; Lower
A691          ; Lower
A693          ; Lower
A695          ; Lower
A697          ; Lower
A723          ; Lower
A725          ; Lower
A727          ; Lower
A729          ; Lower
A72B          ; Lower
A72D          ; Lower
A72F..A731    ; Lower
A733          ; Lower
A735          ; Lower
A737          ; Lower
A739          ; Lower
A73B          ; Lower
A73D          ; Lower
A73F          ; Lower
A741          ; Lower
A743          ; Lower
A745          ; Lower
A747          ; Lower
A749          ; Lower
A74B          ; Lower
A74D          ; Lower
A74F          ; Lower
A751          ; Lower
A753          ; Lower
A755          ; Lower
A757          ; Lower
A759          ; Lower
A75B          ; Lower
A75D          ; Lower
A75F          ; Lower
A761          ; Lower
A763          ; Lower
A765          ; Lower
A767          ; Lower
A769          ; Lower
A76B          ; Lower
A76D          ; Lower
A76F          ; Lower
A770          ; Lower
A771..A778    ; Lower
A77A          ; Lower
A77C          ; Lower
A77F          ; Lower
A781          ; Lower
A783          ; Lower
A785          ; Lower
A787          ; Lower
A78C          ; Lower
A78E          ; Lower
A791          ; Lower
A7A1          ; Lower
A7A3          ; Lower
A7A5          ; Lower
A7A7          ; Lower
A7A9          ; Lower
A7FA          ; Lower
FB00..FB06    ; Lower
FB13..FB17    ; Lower
FF41..FF5A    ; Lower
10428..1044F  ; Lower
1D41A..1D433  ; Lower
1D44E..1D454  ; Lower
1D456..1D467  ; Lower
1D482..1D49B  ; Lower
1D4B6..1D4B9  ; Lower
1D4BB         ; Lower
1D4BD..1D4C3  ; Lower
1D4C5..1D4CF  ; Lower
1D4EA..1D503  ; Lower
1D51E..1D537  ; Lower
1D552..1D56B  ; Lower
1D586..1D59F  ; Lower
1D5BA..1D5D3  ; Lower
1D5EE..1D607  ; Lower
1D622..1D63B  ; Lower
1D656..1D66F  ; Lower
1D68A..1D6A5  ; Lower
1D6C2..1D6DA  ; Lower
1D6DC..1D6E1  ; Lower
1D6FC..1D714  ; Lower
1D716..1D71B  ; Lower
1D736..1D74E  ; Lower
1D750..1D755  ; Lower
1D770..1D788  ; Lower
1D78A..1D78F  ; Lower
1D7AA..1D7C2  ; Lower
1D7C4..1D7C9  ; Lower
1D7CB         ; Lower

# Total code points: 1917

# ================================================

0041..005A    ; Upper
00C0..00D6    ; Upper
00D8..00DE    ; Upper
0100          ; Upper
0102          ; Upper
0104          ; Upper
0106          ; Upper
0108          ; Upper
010A          ; Upper
010C          ; Upper
010E          ; Upper
0110          ; Upper
0112          ; Upper
0114          ; Upper
0116          ; Upper
0118          ; Upper
011A          ; Upper
011C          ; Upper
011E          ; Upper
0120          ; Upper
0122          ; Upper
0124          ; Upper
0126          ; Upper
0128          ; Upper
012A          ; Upper
012C          ; Upper
012E          ; Upper
0130          ; Upper
0132          ; Upper
0134          ; Upper
0136          ; Upper
0139          ; Upper
013B          ; Upper
013D          ; Upper
013F          ; Upper
0141          ; Upper
0143          ; Upper
0145          ; Upper
0147          ; Upper
014A          ; Upper
014C          ; Upper
014E          ; Upper
0150          ; Upper
0152          ; Upper
0154          ; Upper
0156          ; Upper
0158          ; Upper
015A          ; Upper
015C          ; Upper
015E          ; Upper
0160          ; Upper
0162          ; Upper
0164          ; Upper
0166          ; Upper
0168          ; Upper
016A          ; Upper
016C          ; Upper
016E          ; Upper
0170          ; Upper
0172          ; Upper
0174          ; Upper
0176          ; Upper
0178..0179    ; Upper
017B          ; Upper
017D          ; Upper
0181..0182    ; Upper
0184          ; Upper
0186..0187    ; Upper
0189..018B    ; Upper
018E..0191    ; Upper
0193..0194    ; Upper
0196..0198    ; Upper
019C..019D    ; Upper
019F..01A0    ; Upper
01A2          ; Upper
01A4          ; Upper
01A6..01A7    ; Upper
01A9          ; Upper
01AC          ; Upper
01AE..01AF    ; Upper
01B1..01B3    ; Upper
01B5          ; Upper
01B7..01B8    ; Upper
01BC          ; Upper
01C4..01C5    ; Upper
01C7..01C8    ; Upper
01CA..01CB    ; Upper
01CD          ; Upper
01CF          ; Upper
01D1          ; Upper
01D3          ; Upper
01D5          ; Upper
01D7          ; Upper
01D9          ; Upper
01DB          ; Upper
01DE          ; Upper
01E0          ; Upper
01E2          ; Upper
01E4          ; Upper
01E6          ; Upper
01E8          ; Upper
01EA          ; Upper
01EC          ; Upper
01EE          ; Upper
01F1..01F2    ; Upper
01F4          ; Upper
01F6..01F8    ; Upper
01FA          ; Upper
01FC          ; Upper
01FE          ; Upper
0200          ; Upper
0202          ; Upper
0204          ; Upper
0206          ; Upper
0208          ; Upper
020A          ; Upper
020C          ; Upper
020E          ; Upper
0210          ; Upper
0212          ; Upper
0214          ; Upper
0216          ; Upper
0218          ; Upper
021A          ; Upper
021C          ; Upper
021E          ; Upper
0220          ; Upper
0222          ; Upper
0224          ; Upper
0226          ; Upper
0228          ; Upper
022A          ; Upper
022C          ; Upper
022E          ; Upper
0230          ; Upper
0232          ; Upper
023A..023B    ; Upper
023D..023E    ; Upper
0241          ; Upper
0243..0246    ; Upper
0248          ; Upper
024A          ; Upper
024C          ; Upper
024E          ; Upper
0370          ; Upper
0372          ; Upper
0376          ; Upper
0386          ; Upper
0388..038A    ; Upper
038C          ; Upper
038E..038F    ; Upper
0391..03A1    ; Upper
03A3..03AB    ; Upper
03CF          ; Upper
03D2..03D4    ; Upper
03D8          ; Upper
03DA          ; Upper
03DC          ; Upper
03DE          ; Upper
03E0          ; Upper
03E2          ; Upper
03E4          ; Upper
03E6          ; Upper
03E8          ; Upper
03EA          ; Upper
03EC          ; Upper
03EE          ; Upper
03F4          ; Upper
03F7          ; Upper
03F9..03FA    ; Upper
03FD..042F    ; Upper
0460          ; Upper
0462          ; Upper
0464          ; Upper
0466          ; Upper
0468          ; Upper
046A          ; Upper
046C          ; Upper
046E          ; Upper
0470          ; Upper
0472          ; Upper
0474          ; Upper
0476          ; Upper
0478          ; Upper
047A          ; Upper
047C          ; Upper
047E          ; Upper
0480          ; Upper
048A          ; Upper
048C          ; Upper
048E          ; Upper
0490          ; Upper
0492          ; Upper
0494          ; Upper
0496          ; Upper
0498          ; Upper
049A          ; Upper
049C          ; Upper
049E          ; Upper
04A0          ; Upper
04A2          ; Upper
04A4          ; Upper
04A6          ; Upper
04A8          ; Upper
04AA          ; Upper
04AC          ; Upper
04AE          ; Upper
04B0          ; Upper
04B2          ; Upper
04B4          ; Upper
04B6          ; Upper
04B8          ; Upper
04BA          ; Upper
04BC          ; Upper
04BE          ; Upper
04C0..04C1    ; Upper
04C3          ; Upper
04C5          ; Upper
04C7          ; Upper
04C9          ; Upper
04CB          ; Upper
04CD          ; Upper
04D0          ; Upper
04D2          ; Upper
04D4          ; Upper
04D6          ; Upper
04D8          ; Upper
04DA          ; Upper
04DC          ; Upper
04DE          ; Upper
04E0          ; Upper
04E2          ; Upper
04E4          ; Upper
04E6          ; Upper
04E8          ; Upper
04EA          ; Upper
04EC          ; Upper
04EE          ; Upper
04F0          ; Upper
04F2          ; Upper
04F4          ; Upper
04F6          ; Upper
04F8          ; Upper
04FA          ; Upper
04FC          ; Upper
04FE          ; Upper
0500          ; Upper
